DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,7.60,OCH,7.60,7.60,7.60,27000.00
28/12/2017,7.00,OCH,6.00,7.00,6.00,27800.00
27/12/2017,6.40,OCH,6.10,6.40,6.10,10500.00
26/12/2017,6.00,OCH,5.80,6.00,5.80,400.00
25/12/2017,5.80,OCH,5.40,5.80,5.40,3000.00
22/12/2017,5.30,OCH,5.30,5.30,5.30,0.00
21/12/2017,5.30,OCH,5.00,5.30,5.00,900.00
20/12/2017,5.40,OCH,5.40,5.40,5.40,2200.00
19/12/2017,5.80,OCH,5.80,5.80,5.80,0.00
18/12/2017,5.80,OCH,5.10,6.00,5.00,24100.00
15/12/2017,5.50,OCH,5.40,5.50,5.40,6700.00
14/12/2017,5.90,OCH,5.90,5.90,5.90,0.00
13/12/2017,5.90,OCH,5.90,5.90,5.90,0.00
12/12/2017,5.90,OCH,6.40,6.40,5.90,6400.00
11/12/2017,6.50,OCH,6.40,6.50,6.40,1400.00
08/12/2017,7.10,OCH,7.10,7.10,7.10,0.00
07/12/2017,7.10,OCH,7.10,7.10,7.10,0.00
06/12/2017,7.10,OCH,7.10,7.10,7.10,200.00
05/12/2017,7.10,OCH,7.10,7.10,7.10,1000.00
04/12/2017,7.10,OCH,7.10,7.10,7.10,0.00
01/12/2017,7.10,OCH,7.10,7.10,7.10,0.00
30/11/2017,7.10,OCH,7.10,7.10,7.10,0.00
29/11/2017,7.10,OCH,7.10,7.10,7.10,100.00
28/11/2017,6.50,OCH,6.50,6.50,6.50,0.00
27/11/2017,6.50,OCH,6.50,6.50,6.50,100.00
24/11/2017,7.20,OCH,7.20,7.20,7.20,0.00
23/11/2017,7.20,OCH,6.50,7.20,6.50,1100.00
22/11/2017,7.20,OCH,7.20,7.20,7.20,0.00
21/11/2017,7.20,OCH,7.20,7.20,7.20,0.00
20/11/2017,7.20,OCH,7.20,7.20,7.20,0.00
17/11/2017,7.20,OCH,8.50,8.50,7.20,200.00
16/11/2017,8.00,OCH,8.00,8.00,8.00,0.00
15/11/2017,8.00,OCH,7.00,8.00,7.00,300.00
14/11/2017,7.70,OCH,7.70,7.70,7.70,0.00
13/11/2017,7.70,OCH,7.70,7.70,7.70,0.00
10/11/2017,7.70,OCH,6.80,7.70,6.80,1100.00
09/11/2017,7.50,OCH,7.50,7.50,7.50,0.00
08/11/2017,7.50,OCH,7.50,7.50,7.50,2000.00
07/11/2017,7.50,OCH,7.50,7.50,7.50,0.00
06/11/2017,7.50,OCH,7.50,7.50,7.50,0.00
03/11/2017,7.50,OCH,7.50,7.50,7.50,0.00
02/11/2017,7.50,OCH,8.80,8.80,7.50,2100.00
01/11/2017,8.30,OCH,7.00,8.30,7.00,800.00
31/10/2017,7.70,OCH,6.30,7.70,6.30,1200.00
30/10/2017,7.00,OCH,6.80,7.00,6.70,10000.00
27/10/2017,7.40,OCH,7.40,7.40,7.40,3000.00
26/10/2017,8.20,OCH,8.20,8.20,8.20,17200.00
25/10/2017,9.10,OCH,9.10,9.10,9.10,100.00
24/10/2017,8.40,OCH,8.40,8.40,8.40,100.00
23/10/2017,7.80,OCH,7.80,7.80,7.80,0.00
20/10/2017,7.80,OCH,7.80,7.80,7.80,2100.00
19/10/2017,7.10,OCH,7.10,7.10,7.10,0.00
18/10/2017,7.10,OCH,7.10,7.10,7.10,0.00
17/10/2017,7.10,OCH,7.70,7.70,7.10,2100.00
16/10/2017,7.00,OCH,7.70,7.70,7.00,900.00
13/10/2017,7.70,OCH,7.80,7.80,7.70,9100.00
12/10/2017,8.50,OCH,8.50,8.50,8.50,0.00
11/10/2017,8.50,OCH,8.30,8.50,8.20,1600.00
10/10/2017,9.10,OCH,8.60,10.40,8.60,500.00
09/10/2017,9.50,OCH,7.90,9.50,7.90,4300.00
06/10/2017,8.70,OCH,9.30,9.30,8.70,500.00
05/10/2017,9.40,OCH,9.40,9.40,9.40,100.00
