DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,48.55,PAC,48.80,48.80,47.00,165230.00
28/12/2017,47.80,PAC,46.00,47.80,46.00,83110.00
27/12/2017,46.20,PAC,47.00,47.60,46.10,127370.00
26/12/2017,47.20,PAC,47.50,47.95,47.20,81750.00
25/12/2017,47.50,PAC,48.50,48.50,47.50,90570.00
22/12/2017,48.80,PAC,49.80,49.80,48.40,42640.00
21/12/2017,49.00,PAC,48.30,49.50,48.30,33730.00
20/12/2017,48.00,PAC,49.00,49.90,48.00,75770.00
19/12/2017,49.50,PAC,50.30,50.30,49.00,49520.00
18/12/2017,50.00,PAC,49.00,50.10,48.90,68860.00
15/12/2017,50.00,PAC,49.00,50.00,48.50,39640.00
14/12/2017,49.00,PAC,48.60,49.50,48.30,44960.00
13/12/2017,49.50,PAC,50.50,50.50,48.10,8990.00
12/12/2017,49.00,PAC,49.00,51.00,47.50,94290.00
11/12/2017,49.00,PAC,49.50,50.80,49.00,46040.00
08/12/2017,50.80,PAC,51.10,51.10,49.50,27850.00
07/12/2017,49.70,PAC,50.00,51.50,49.00,81300.00
06/12/2017,50.00,PAC,50.80,51.30,49.90,170580.00
05/12/2017,52.00,PAC,53.00,53.40,51.00,86510.00
04/12/2017,52.70,PAC,52.80,53.90,52.20,181390.00
01/12/2017,51.80,PAC,51.80,52.50,51.30,284220.00
30/11/2017,51.00,PAC,50.00,52.00,49.60,347960.00
29/11/2017,49.20,PAC,48.90,49.20,48.60,56490.00
28/11/2017,48.90,PAC,49.40,49.40,48.70,18590.00
27/11/2017,48.90,PAC,48.50,49.00,47.60,28850.00
24/11/2017,48.50,PAC,48.20,50.00,47.50,119360.00
23/11/2017,48.50,PAC,49.00,49.50,48.40,63110.00
22/11/2017,49.00,PAC,49.00,49.00,48.80,44960.00
21/11/2017,49.50,PAC,49.00,49.50,48.70,45570.00
20/11/2017,49.50,PAC,49.50,49.50,48.50,23130.00
17/11/2017,48.90,PAC,49.90,49.90,48.70,110880.00
16/11/2017,50.00,PAC,49.50,50.30,49.50,35780.00
15/11/2017,49.90,PAC,50.00,50.00,48.90,19170.00
14/11/2017,49.90,PAC,48.00,50.50,48.00,93580.00
13/11/2017,48.00,PAC,48.50,49.00,48.00,43590.00
10/11/2017,49.10,PAC,49.00,49.20,48.90,16980.00
09/11/2017,49.00,PAC,49.20,49.80,48.70,36670.00
08/11/2017,49.90,PAC,50.00,50.00,49.20,46170.00
07/11/2017,50.00,PAC,49.45,51.00,48.50,44580.00
06/11/2017,49.00,PAC,50.00,50.00,48.20,26280.00
03/11/2017,48.70,PAC,47.50,48.80,47.50,18280.00
02/11/2017,48.40,PAC,48.50,49.40,47.00,23770.00
01/11/2017,49.00,PAC,49.40,49.40,48.30,44650.00
31/10/2017,48.60,PAC,50.00,50.00,48.00,40620.00
30/10/2017,49.00,PAC,49.40,49.40,48.50,12800.00
27/10/2017,49.40,PAC,48.40,49.80,48.40,17090.00
26/10/2017,48.50,PAC,48.40,49.70,48.40,56550.00
25/10/2017,49.00,PAC,51.00,51.00,49.00,75370.00
24/10/2017,51.00,PAC,50.00,51.00,49.50,34960.00
23/10/2017,51.00,PAC,52.20,53.70,50.80,61010.00
20/10/2017,52.60,PAC,54.00,54.00,52.60,27630.00
19/10/2017,54.30,PAC,52.80,54.30,51.80,104630.00
18/10/2017,53.50,PAC,55.90,56.00,53.50,116220.00
17/10/2017,56.00,PAC,56.00,56.50,55.70,27090.00
16/10/2017,56.00,PAC,56.00,57.00,55.70,89000.00
13/10/2017,56.40,PAC,54.20,56.40,54.20,187000.00
12/10/2017,54.50,PAC,53.00,54.50,52.40,167530.00
11/10/2017,53.00,PAC,53.50,53.50,52.50,98450.00
10/10/2017,53.20,PAC,53.20,54.00,52.60,24010.00
09/10/2017,53.20,PAC,52.60,53.60,52.60,46930.00
06/10/2017,52.60,PAC,52.70,53.50,52.50,17010.00
05/10/2017,52.70,PAC,52.30,53.30,52.30,22510.00
04/10/2017,53.00,PAC,53.10,53.10,52.50,22930.00
03/10/2017,53.00,PAC,53.00,53.00,52.40,27490.00
02/10/2017,53.00,PAC,54.00,54.00,53.00,42060.00
29/09/2017,53.40,PAC,54.00,54.20,52.80,32330.00
28/09/2017,53.50,PAC,52.50,54.00,52.50,304170.00
27/09/2017,52.50,PAC,52.80,52.80,51.70,48180.00
26/09/2017,52.00,PAC,53.20,53.20,51.80,38850.00
25/09/2017,53.20,PAC,51.30,53.20,50.50,179200.00
22/09/2017,51.50,PAC,52.10,52.50,51.50,100850.00
21/09/2017,52.70,PAC,53.60,53.80,52.00,37300.00
20/09/2017,54.50,PAC,52.00,54.50,51.90,216610.00
19/09/2017,51.90,PAC,52.40,53.20,51.60,80820.00
18/09/2017,53.20,PAC,53.10,53.50,52.20,44470.00
15/09/2017,53.50,PAC,53.20,55.00,53.00,59730.00
14/09/2017,54.00,PAC,51.00,54.00,50.60,349170.00
13/09/2017,50.50,PAC,50.00,51.20,50.00,51850.00
12/09/2017,50.00,PAC,50.40,51.20,49.80,40150.00
11/09/2017,50.00,PAC,51.80,51.80,49.90,68740.00
08/09/2017,51.30,PAC,51.10,51.50,50.90,48610.00
07/09/2017,50.40,PAC,48.90,50.80,48.90,64670.00
06/09/2017,48.75,PAC,49.00,49.30,48.40,56380.00
05/09/2017,48.40,PAC,47.00,48.40,47.00,70430.00
01/09/2017,47.00,PAC,46.30,47.10,46.30,15020.00
31/08/2017,46.60,PAC,47.20,47.20,46.50,36900.00
30/08/2017,46.60,PAC,47.15,47.50,46.50,48770.00
29/08/2017,46.55,PAC,46.30,47.10,46.30,32060.00
28/08/2017,47.30,PAC,47.40,47.40,46.50,33750.00
25/08/2017,47.40,PAC,49.20,49.20,46.00,19640.00
24/08/2017,46.00,PAC,47.00,47.60,45.50,43230.00
23/08/2017,47.60,PAC,47.80,47.90,46.50,10020.00
22/08/2017,47.80,PAC,48.60,48.60,46.90,24600.00
21/08/2017,47.90,PAC,49.00,49.00,47.90,44510.00
18/08/2017,48.50,PAC,48.40,49.00,48.20,53730.00
17/08/2017,48.10,PAC,49.80,50.00,48.00,35670.00
16/08/2017,49.80,PAC,49.10,49.90,49.10,10440.00
15/08/2017,49.10,PAC,49.10,50.20,49.00,26220.00
14/08/2017,49.10,PAC,49.00,50.40,49.00,11860.00
11/08/2017,50.00,PAC,49.50,50.40,49.50,29870.00
10/08/2017,50.00,PAC,48.50,50.50,48.50,43300.00
09/08/2017,48.60,PAC,50.50,50.90,48.50,53670.00
08/08/2017,50.50,PAC,51.10,51.40,50.40,53280.00
07/08/2017,51.50,PAC,51.50,51.90,51.10,80940.00
04/08/2017,51.30,PAC,51.00,51.80,50.90,86590.00
03/08/2017,51.70,PAC,50.70,51.90,50.70,75530.00
02/08/2017,51.80,PAC,51.50,52.40,50.80,64140.00
01/08/2017,51.80,PAC,52.10,52.10,50.70,89020.00
31/07/2017,52.10,PAC,53.10,53.10,50.60,32120.00
28/07/2017,52.50,PAC,53.40,53.40,52.00,22410.00
27/07/2017,52.80,PAC,53.50,53.90,52.50,84900.00
26/07/2017,52.50,PAC,50.80,52.50,50.70,213610.00
25/07/2017,50.80,PAC,51.30,51.30,50.40,21220.00
24/07/2017,50.40,PAC,49.50,51.00,49.50,154840.00
21/07/2017,51.20,PAC,51.50,52.50,50.40,89890.00
20/07/2017,51.20,PAC,50.00,51.90,49.80,59610.00
19/07/2017,51.20,PAC,48.30,52.00,48.30,68390.00
18/07/2017,48.90,PAC,50.50,52.50,48.60,120170.00
17/07/2017,51.00,PAC,54.00,54.00,51.00,160240.00
14/07/2017,54.00,PAC,54.80,55.00,52.50,160770.00
13/07/2017,54.50,PAC,54.00,54.90,54.00,149370.00
12/07/2017,53.90,PAC,53.80,54.80,53.00,168180.00
11/07/2017,52.90,PAC,52.00,53.00,51.50,62460.00
10/07/2017,52.70,PAC,53.60,53.60,51.80,91720.00
07/07/2017,53.50,PAC,53.50,55.00,53.40,176000.00
06/07/2017,53.10,PAC,54.00,54.00,53.00,88080.00
05/07/2017,52.80,PAC,52.00,52.80,51.60,117950.00
