DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,36.00,PAN,36.00,38.40,36.00,120100.00
28/12/2017,35.95,PAN,35.95,35.95,33.60,163740.00
27/12/2017,33.60,PAN,33.30,33.90,33.20,29070.00
26/12/2017,33.00,PAN,33.00,35.00,32.80,28390.00
25/12/2017,33.85,PAN,33.20,33.85,33.20,250.00
22/12/2017,34.00,PAN,34.00,34.00,34.00,1000.00
21/12/2017,33.90,PAN,33.30,35.00,33.30,12650.00
20/12/2017,33.10,PAN,33.50,33.50,33.00,8780.00
19/12/2017,33.60,PAN,33.65,33.65,33.50,1380.00
18/12/2017,33.80,PAN,33.30,33.80,33.20,13220.00
15/12/2017,34.00,PAN,33.95,34.00,33.50,27620.00
14/12/2017,33.70,PAN,33.15,33.70,33.15,4380.00
13/12/2017,33.70,PAN,33.90,33.90,33.70,180.00
12/12/2017,33.90,PAN,34.00,34.00,33.10,20220.00
11/12/2017,34.00,PAN,35.90,35.90,33.20,36860.00
08/12/2017,35.00,PAN,35.00,35.00,35.00,1300.00
07/12/2017,35.00,PAN,36.00,36.80,35.00,15940.00
06/12/2017,35.50,PAN,35.00,36.00,35.00,26700.00
05/12/2017,35.00,PAN,35.00,35.30,35.00,7940.00
04/12/2017,35.00,PAN,35.00,35.90,35.00,19200.00
01/12/2017,34.50,PAN,36.80,36.80,34.50,7690.00
30/11/2017,34.50,PAN,34.60,34.60,34.50,3220.00
29/11/2017,34.60,PAN,34.00,34.60,34.00,2870.00
28/11/2017,34.70,PAN,34.60,35.00,33.90,270.00
27/11/2017,34.00,PAN,34.00,34.00,34.00,1860.00
24/11/2017,33.55,PAN,34.20,34.20,33.55,5660.00
23/11/2017,34.00,PAN,33.95,34.00,33.50,28640.00
22/11/2017,33.50,PAN,34.70,34.70,33.50,6060.00
21/11/2017,33.50,PAN,33.50,34.00,33.50,43010.00
20/11/2017,33.50,PAN,33.50,34.00,33.20,20380.00
17/11/2017,33.50,PAN,34.00,34.00,33.05,15860.00
16/11/2017,34.00,PAN,34.00,34.50,33.50,25790.00
15/11/2017,33.10,PAN,34.00,34.00,33.10,4140.00
14/11/2017,34.00,PAN,34.00,34.00,34.00,10080.00
13/11/2017,34.00,PAN,33.05,34.00,33.05,8460.00
10/11/2017,34.00,PAN,34.90,34.90,33.00,4420.00
09/11/2017,34.90,PAN,34.90,34.90,34.90,2000.00
08/11/2017,34.50,PAN,34.00,34.50,34.00,1800.00
07/11/2017,34.70,PAN,34.00,34.70,34.00,2060.00
06/11/2017,34.90,PAN,33.10,34.90,32.55,5740.00
03/11/2017,34.00,PAN,34.00,34.00,34.00,30.00
02/11/2017,34.00,PAN,34.00,34.00,34.00,0.00
01/11/2017,34.00,PAN,34.80,34.80,34.00,1260.00
31/10/2017,33.90,PAN,31.25,34.00,31.25,10610.00
