DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,43.35,PHR,43.40,43.80,43.30,242390.00
28/12/2017,43.75,PHR,42.60,43.75,42.55,863520.00
27/12/2017,42.90,PHR,42.10,42.90,42.00,411810.00
26/12/2017,42.10,PHR,41.50,42.45,41.20,238680.00
25/12/2017,41.50,PHR,42.85,43.00,41.50,146190.00
22/12/2017,42.50,PHR,42.95,43.00,42.30,584190.00
21/12/2017,42.95,PHR,42.65,43.00,42.65,252660.00
20/12/2017,42.60,PHR,41.50,42.65,41.50,293010.00
19/12/2017,41.50,PHR,41.40,41.80,41.00,169610.00
18/12/2017,41.30,PHR,41.05,41.70,40.80,260670.00
15/12/2017,41.40,PHR,41.40,41.50,40.80,144950.00
14/12/2017,41.80,PHR,41.00,41.85,40.85,109170.00
13/12/2017,41.45,PHR,41.90,41.90,40.60,157780.00
12/12/2017,41.80,PHR,42.00,42.10,40.00,722210.00
11/12/2017,42.00,PHR,42.20,43.40,42.00,231990.00
08/12/2017,43.00,PHR,43.60,44.00,43.00,150860.00
07/12/2017,43.80,PHR,42.20,43.80,42.20,302030.00
06/12/2017,42.30,PHR,42.95,43.20,41.90,307090.00
05/12/2017,43.00,PHR,44.45,44.45,43.00,367320.00
04/12/2017,44.45,PHR,44.50,44.70,43.70,502510.00
01/12/2017,44.50,PHR,42.60,44.50,42.60,921570.00
30/11/2017,42.60,PHR,41.65,42.75,41.65,774210.00
29/11/2017,41.75,PHR,41.60,42.20,41.20,280350.00
28/11/2017,41.60,PHR,42.20,42.20,41.20,300530.00
27/11/2017,42.20,PHR,42.80,43.60,42.00,734350.00
24/11/2017,42.25,PHR,40.50,42.25,40.50,494060.00
23/11/2017,40.50,PHR,39.60,40.95,39.20,458290.00
22/11/2017,39.60,PHR,39.90,39.90,39.30,267410.00
21/11/2017,39.90,PHR,39.70,40.00,39.40,154630.00
20/11/2017,39.90,PHR,39.70,40.70,39.30,209810.00
17/11/2017,39.70,PHR,40.10,40.10,39.30,207710.00
16/11/2017,40.10,PHR,39.15,40.10,39.15,171250.00
15/11/2017,39.10,PHR,38.00,39.35,37.95,284190.00
14/11/2017,37.95,PHR,38.10,38.35,37.55,304240.00
13/11/2017,38.10,PHR,38.70,39.00,38.10,344260.00
10/11/2017,38.90,PHR,39.00,39.15,38.90,246370.00
09/11/2017,39.05,PHR,39.50,39.50,39.00,240100.00
08/11/2017,39.30,PHR,40.00,40.00,39.25,208170.00
07/11/2017,39.80,PHR,40.00,40.00,39.75,114760.00
06/11/2017,39.80,PHR,39.10,40.00,39.10,162080.00
03/11/2017,39.10,PHR,38.50,39.30,38.50,244730.00
02/11/2017,39.00,PHR,39.80,40.40,38.80,595430.00
01/11/2017,40.30,PHR,41.00,41.35,39.80,150780.00
31/10/2017,40.90,PHR,40.40,41.20,40.40,195410.00
30/10/2017,40.45,PHR,40.50,40.90,40.30,205960.00
27/10/2017,40.30,PHR,39.90,40.40,39.85,118210.00
26/10/2017,39.90,PHR,40.30,40.35,39.90,210140.00
25/10/2017,40.10,PHR,40.30,40.75,39.90,268230.00
24/10/2017,40.30,PHR,40.20,40.50,40.05,187490.00
23/10/2017,40.35,PHR,41.40,41.40,40.20,392550.00
20/10/2017,41.25,PHR,41.50,41.80,41.25,236470.00
19/10/2017,41.35,PHR,41.45,41.80,41.20,197840.00
18/10/2017,41.80,PHR,41.90,42.50,41.35,596460.00
17/10/2017,41.90,PHR,42.40,42.60,41.90,278080.00
16/10/2017,42.50,PHR,41.80,42.60,41.80,394920.00
13/10/2017,41.80,PHR,41.80,41.95,41.70,218990.00
12/10/2017,41.80,PHR,41.65,42.30,41.65,262870.00
11/10/2017,42.00,PHR,42.50,42.70,42.00,476100.00
10/10/2017,42.00,PHR,41.95,42.00,41.55,376020.00
09/10/2017,41.50,PHR,41.70,42.00,41.50,133640.00
06/10/2017,41.95,PHR,41.40,42.30,41.15,589050.00
05/10/2017,40.90,PHR,40.90,41.50,40.90,536020.00
04/10/2017,40.90,PHR,41.00,41.30,40.70,154240.00
03/10/2017,40.80,PHR,41.30,41.70,40.60,223090.00
02/10/2017,41.30,PHR,42.00,42.10,41.30,157440.00
29/09/2017,42.00,PHR,41.00,42.00,41.00,265810.00
28/09/2017,41.00,PHR,41.50,41.70,40.50,1461840.00
27/09/2017,41.90,PHR,42.75,42.75,41.90,457410.00
26/09/2017,42.65,PHR,43.10,43.10,42.60,347160.00
25/09/2017,43.10,PHR,42.90,43.40,42.60,293690.00
22/09/2017,43.00,PHR,42.30,43.15,42.10,776060.00
21/09/2017,42.30,PHR,42.30,42.60,41.95,324180.00
20/09/2017,42.30,PHR,41.80,42.80,41.40,354940.00
19/09/2017,41.80,PHR,42.40,42.50,41.80,399110.00
