DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,15.20,PMS,14.80,15.20,14.80,1300.00
28/12/2017,14.80,PMS,15.00,15.00,14.80,5330.00
27/12/2017,15.00,PMS,15.20,15.30,15.00,9480.00
26/12/2017,14.80,PMS,14.80,15.00,14.70,6431.00
25/12/2017,15.10,PMS,15.30,15.30,14.70,35620.00
22/12/2017,16.10,PMS,16.00,16.10,16.00,1200.00
21/12/2017,15.30,PMS,15.30,16.00,15.20,22300.00
20/12/2017,15.90,PMS,15.70,15.90,15.20,12300.00
19/12/2017,15.90,PMS,15.90,15.90,15.90,600.00
18/12/2017,15.90,PMS,15.80,15.90,15.80,1200.00
15/12/2017,15.80,PMS,16.00,16.00,15.70,5700.00
14/12/2017,15.80,PMS,16.50,16.80,15.80,3800.00
13/12/2017,16.00,PMS,16.00,16.60,16.00,2600.00
12/12/2017,16.00,PMS,15.30,16.00,15.30,900.00
11/12/2017,15.70,PMS,16.00,16.00,15.70,600.00
08/12/2017,15.70,PMS,15.50,16.00,15.20,17740.00
07/12/2017,15.80,PMS,16.30,16.80,15.80,11455.00
06/12/2017,16.30,PMS,16.30,16.30,16.30,100.00
05/12/2017,15.90,PMS,17.00,17.20,15.90,34599.00
04/12/2017,16.60,PMS,16.90,17.10,16.50,17100.00
01/12/2017,16.90,PMS,16.90,17.50,16.90,6200.00
30/11/2017,16.90,PMS,16.50,16.90,16.10,9600.00
29/11/2017,16.00,PMS,16.60,16.70,16.00,44490.00
28/11/2017,16.80,PMS,16.80,16.80,16.50,4320.00
27/11/2017,16.90,PMS,16.90,17.60,16.00,12437.00
24/11/2017,16.90,PMS,16.50,18.30,16.50,25600.00
23/11/2017,16.70,PMS,16.50,16.70,16.20,17150.00
22/11/2017,16.90,PMS,16.50,16.90,16.40,4130.00
21/11/2017,16.70,PMS,16.80,17.00,16.70,1580.00
20/11/2017,17.00,PMS,17.00,17.00,17.00,200.00
17/11/2017,17.50,PMS,17.50,17.50,17.50,0.00
16/11/2017,17.50,PMS,17.50,17.50,17.50,0.00
15/11/2017,17.50,PMS,17.50,17.50,17.50,0.00
14/11/2017,17.50,PMS,16.90,17.90,16.80,15100.00
13/11/2017,17.40,PMS,17.40,17.40,17.40,200.00
10/11/2017,17.50,PMS,17.50,17.50,17.50,100.00
09/11/2017,17.40,PMS,17.00,17.40,17.00,4300.00
08/11/2017,17.20,PMS,17.30,17.50,17.20,3794.00
07/11/2017,17.40,PMS,17.70,17.70,17.20,12600.00
06/11/2017,17.10,PMS,17.10,17.90,17.10,4500.00
03/11/2017,17.10,PMS,16.80,17.10,16.60,4220.00
02/11/2017,17.60,PMS,16.80,18.00,16.80,23400.00
01/11/2017,17.10,PMS,17.50,17.60,17.10,1000.00
