DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,23.85,PNC,23.65,23.85,23.65,23530.00
28/12/2017,22.30,PNC,21.85,23.80,21.85,50280.00
27/12/2017,22.40,PNC,22.30,23.65,21.00,15650.00
26/12/2017,22.30,PNC,24.00,24.50,22.30,36660.00
25/12/2017,23.90,PNC,23.00,23.90,23.00,6350.00
22/12/2017,23.80,PNC,24.00,24.00,23.80,19500.00
21/12/2017,24.00,PNC,25.00,25.00,22.55,31240.00
20/12/2017,24.20,PNC,27.30,27.55,24.00,34930.00
19/12/2017,25.75,PNC,25.50,27.85,25.00,6530.00
18/12/2017,26.20,PNC,26.50,27.10,26.20,29800.00
15/12/2017,26.90,PNC,27.70,27.70,26.00,6210.00
14/12/2017,27.60,PNC,29.00,31.00,27.50,15110.00
13/12/2017,29.10,PNC,31.90,31.90,28.50,12100.00
12/12/2017,30.60,PNC,31.50,34.80,30.60,14200.00
11/12/2017,32.90,PNC,36.00,37.00,32.90,6620.00
08/12/2017,35.35,PNC,38.00,38.00,35.35,13450.00
07/12/2017,38.00,PNC,39.00,39.00,37.10,6580.00
06/12/2017,37.00,PNC,35.00,37.00,33.00,11110.00
05/12/2017,35.00,PNC,35.00,37.35,34.00,8730.00
04/12/2017,35.00,PNC,37.45,37.45,34.30,4310.00
01/12/2017,35.00,PNC,35.60,35.60,33.50,9330.00
30/11/2017,33.30,PNC,33.30,35.60,31.00,11900.00
29/11/2017,33.30,PNC,33.35,33.35,31.20,7750.00
28/11/2017,31.20,PNC,31.00,31.20,31.00,2880.00
27/11/2017,29.20,PNC,29.20,29.20,27.00,21540.00
24/11/2017,27.30,PNC,27.30,27.30,27.30,18400.00
23/11/2017,25.55,PNC,25.55,25.55,25.50,5650.00
22/11/2017,23.90,PNC,23.90,23.90,23.90,250.00
21/11/2017,22.35,PNC,22.00,22.35,22.00,3320.00
20/11/2017,20.90,PNC,20.00,20.90,18.50,48540.00
17/11/2017,19.55,PNC,19.60,19.60,19.55,1080.00
16/11/2017,20.35,PNC,22.85,22.85,19.95,17160.00
15/11/2017,21.40,PNC,24.40,24.40,21.40,10020.00
14/11/2017,22.90,PNC,25.85,25.85,22.60,5070.00
13/11/2017,24.20,PNC,24.15,27.50,24.15,21680.00
10/11/2017,25.95,PNC,25.95,25.95,25.95,2020.00
09/11/2017,27.85,PNC,27.85,27.85,27.85,30.00
08/11/2017,29.90,PNC,29.90,29.90,29.90,230.00
07/11/2017,32.10,PNC,32.80,35.90,32.10,8230.00
06/11/2017,34.50,PNC,36.90,36.90,34.50,110.00
03/11/2017,34.50,PNC,36.00,36.00,34.50,2280.00
02/11/2017,35.10,PNC,36.55,36.55,34.20,7250.00
01/11/2017,34.20,PNC,34.00,34.20,33.50,2280.00
31/10/2017,32.00,PNC,30.00,32.00,30.00,6480.00
30/10/2017,29.95,PNC,28.00,29.95,28.00,6380.00
27/10/2017,28.00,PNC,30.00,30.70,28.00,29800.00
26/10/2017,28.70,PNC,28.70,28.70,26.90,49050.00
25/10/2017,26.85,PNC,24.00,26.85,24.00,5660.00
24/10/2017,25.10,PNC,22.10,25.10,22.10,30420.00
