DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,137.00,PNJ,135.90,137.00,135.40,306890.00
28/12/2017,135.10,PNJ,132.90,135.10,132.30,276470.00
27/12/2017,132.30,PNJ,132.00,133.00,131.70,234490.00
26/12/2017,131.70,PNJ,131.20,133.00,131.00,159460.00
25/12/2017,131.00,PNJ,131.50,132.00,130.50,197100.00
22/12/2017,130.90,PNJ,132.00,133.00,130.90,326190.00
21/12/2017,133.00,PNJ,132.00,134.70,131.60,273660.00
20/12/2017,131.50,PNJ,131.40,132.00,130.50,244000.00
19/12/2017,130.90,PNJ,131.00,131.00,129.60,317400.00
18/12/2017,131.00,PNJ,132.00,133.50,129.70,542880.00
15/12/2017,131.00,PNJ,126.10,131.00,125.30,517860.00
14/12/2017,126.00,PNJ,121.60,126.00,121.60,233910.00
13/12/2017,122.00,PNJ,123.50,124.70,121.50,322040.00
12/12/2017,123.50,PNJ,124.00,125.00,117.00,349730.00
11/12/2017,123.00,PNJ,123.50,125.70,122.50,163830.00
08/12/2017,123.50,PNJ,122.60,124.00,122.60,246170.00
07/12/2017,122.60,PNJ,126.00,126.20,122.60,274350.00
06/12/2017,125.00,PNJ,124.60,126.00,123.70,480400.00
05/12/2017,125.00,PNJ,127.00,127.50,125.00,468260.00
04/12/2017,127.00,PNJ,127.00,128.00,126.20,256930.00
01/12/2017,127.00,PNJ,124.60,127.00,124.60,291940.00
30/11/2017,124.60,PNJ,123.80,125.40,122.20,306190.00
29/11/2017,122.00,PNJ,121.60,122.50,121.10,180710.00
28/11/2017,121.40,PNJ,122.00,122.90,120.70,407880.00
27/11/2017,122.00,PNJ,124.00,124.50,121.60,436100.00
24/11/2017,123.40,PNJ,122.00,124.50,121.00,289140.00
23/11/2017,122.90,PNJ,122.00,124.00,121.10,533760.00
22/11/2017,121.00,PNJ,118.50,121.00,117.60,718750.00
21/11/2017,117.60,PNJ,119.00,119.40,117.50,263010.00
20/11/2017,118.00,PNJ,117.00,118.50,116.10,311370.00
17/11/2017,116.20,PNJ,120.50,120.90,116.10,1090260.00
16/11/2017,119.50,PNJ,119.40,121.40,118.00,587280.00
15/11/2017,119.40,PNJ,120.00,121.70,118.80,306290.00
14/11/2017,120.00,PNJ,120.00,122.00,117.00,580890.00
