DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
04/09/2013,10.50,PRUBF1,10.50,10.50,10.50,19970.00
03/09/2013,10.50,PRUBF1,10.50,10.50,10.50,19970.00
30/08/2013,10.50,PRUBF1,10.50,10.50,10.50,85910.00
29/08/2013,10.50,PRUBF1,10.50,10.50,10.50,19450.00
28/08/2013,10.50,PRUBF1,10.50,10.50,10.40,68500.00
27/08/2013,10.50,PRUBF1,10.50,10.50,10.50,35370.00
26/08/2013,10.60,PRUBF1,10.50,10.60,10.50,33770.00
23/08/2013,10.50,PRUBF1,10.50,10.50,10.50,124940.00
22/08/2013,10.50,PRUBF1,10.50,10.50,10.50,16810.00
21/08/2013,10.50,PRUBF1,10.50,10.50,10.50,35000.00
20/08/2013,10.50,PRUBF1,10.40,10.50,10.40,197970.00
19/08/2013,10.30,PRUBF1,10.30,10.40,10.30,79600.00
16/08/2013,10.40,PRUBF1,10.30,10.40,10.30,28700.00
15/08/2013,10.30,PRUBF1,10.30,10.40,10.30,100210.00
14/08/2013,10.30,PRUBF1,10.30,10.40,10.30,25620.00
13/08/2013,10.30,PRUBF1,10.30,10.40,10.30,14460.00
12/08/2013,10.40,PRUBF1,10.40,10.40,10.30,49310.00
09/08/2013,10.50,PRUBF1,10.40,10.50,10.40,148430.00
08/08/2013,10.50,PRUBF1,10.30,10.50,10.30,136620.00
07/08/2013,10.30,PRUBF1,10.30,10.30,10.30,9060.00
06/08/2013,10.30,PRUBF1,10.30,10.30,10.30,1310.00
05/08/2013,10.30,PRUBF1,10.30,10.30,10.30,1200.00
02/08/2013,10.30,PRUBF1,10.30,10.30,10.30,9200.00
01/08/2013,10.30,PRUBF1,10.30,10.30,10.30,2510.00
31/07/2013,10.30,PRUBF1,10.30,10.30,10.30,7210.00
30/07/2013,10.40,PRUBF1,10.40,10.40,10.40,20.00
29/07/2013,10.30,PRUBF1,10.30,10.40,10.30,32140.00
26/07/2013,10.30,PRUBF1,10.30,10.30,10.30,30010.00
25/07/2013,10.20,PRUBF1,10.20,10.30,10.20,2410.00
24/07/2013,10.20,PRUBF1,10.20,10.20,10.20,5020.00
23/07/2013,10.20,PRUBF1,10.20,10.30,10.20,31860.00
22/07/2013,10.20,PRUBF1,10.20,10.20,10.20,1000.00
19/07/2013,10.20,PRUBF1,10.10,10.20,10.10,67450.00
18/07/2013,10.10,PRUBF1,10.10,10.10,10.10,250.00
17/07/2013,10.10,PRUBF1,10.10,10.10,10.00,47240.00
16/07/2013,10.00,PRUBF1,10.00,10.00,10.00,12890.00
15/07/2013,10.10,PRUBF1,10.10,10.10,10.10,2900.00
12/07/2013,10.10,PRUBF1,10.10,10.10,10.10,11000.00
11/07/2013,10.10,PRUBF1,10.10,10.10,10.10,3110.00
10/07/2013,10.10,PRUBF1,10.20,10.20,10.10,49880.00
09/07/2013,10.10,PRUBF1,10.10,10.10,10.10,64600.00
08/07/2013,10.10,PRUBF1,10.00,10.10,10.00,55510.00
05/07/2013,10.10,PRUBF1,10.00,10.10,10.00,270.00
04/07/2013,10.10,PRUBF1,10.00,10.10,10.00,56260.00
03/07/2013,10.00,PRUBF1,10.00,10.00,10.00,360.00
