DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,12.50,PVC,12.60,12.90,12.50,219416.00
28/12/2017,12.60,PVC,12.70,12.90,12.50,297365.00
27/12/2017,12.70,PVC,13.20,13.50,12.70,1016370.00
26/12/2017,12.80,PVC,12.30,12.80,12.30,613133.00
25/12/2017,12.30,PVC,12.60,13.00,12.30,631870.00
22/12/2017,12.60,PVC,12.50,12.60,11.80,527962.00
21/12/2017,12.50,PVC,13.20,13.20,12.10,1098510.00
20/12/2017,13.00,PVC,12.00,13.20,12.00,1492639.00
19/12/2017,12.00,PVC,11.80,12.20,11.80,660308.00
18/12/2017,11.90,PVC,11.30,12.00,11.30,708545.00
15/12/2017,11.20,PVC,11.00,11.30,11.00,594139.00
14/12/2017,11.00,PVC,10.90,11.10,10.70,323290.00
13/12/2017,11.00,PVC,10.40,11.30,10.30,990563.00
12/12/2017,10.30,PVC,9.80,10.30,9.60,671935.00
11/12/2017,9.80,PVC,10.30,10.30,9.60,520940.00
08/12/2017,10.40,PVC,11.20,11.20,10.30,214467.00
07/12/2017,11.20,PVC,11.60,11.60,11.20,337428.00
06/12/2017,11.70,PVC,11.50,11.90,11.40,327910.00
05/12/2017,11.80,PVC,12.40,12.40,11.80,327335.00
04/12/2017,12.30,PVC,11.60,12.40,11.50,768878.00
01/12/2017,11.40,PVC,11.00,11.50,11.00,607425.00
30/11/2017,11.00,PVC,11.20,11.20,10.70,247902.00
29/11/2017,11.20,PVC,10.70,11.20,10.50,362642.00
28/11/2017,10.80,PVC,11.30,11.30,10.70,708398.00
27/11/2017,11.30,PVC,11.50,11.60,11.30,707135.00
24/11/2017,11.40,PVC,11.30,11.50,11.10,488810.00
23/11/2017,11.10,PVC,10.20,11.10,10.20,1982509.00
22/11/2017,10.10,PVC,10.00,10.10,9.90,255085.00
21/11/2017,9.90,PVC,10.10,10.10,9.80,365320.00
20/11/2017,10.10,PVC,9.90,10.20,9.90,224220.00
17/11/2017,9.80,PVC,10.00,10.00,9.80,206070.00
16/11/2017,10.00,PVC,9.70,10.00,9.60,154500.00
15/11/2017,9.80,PVC,9.90,10.00,9.60,208930.00
14/11/2017,10.00,PVC,10.20,10.30,10.00,143200.00
13/11/2017,10.10,PVC,10.00,10.20,9.90,109564.00
10/11/2017,10.10,PVC,10.10,10.30,10.00,262375.00
09/11/2017,10.10,PVC,10.10,10.10,9.90,163030.00
08/11/2017,10.10,PVC,10.30,10.30,10.10,168108.00
07/11/2017,10.30,PVC,9.80,10.40,9.80,423761.00
06/11/2017,9.70,PVC,9.40,9.80,9.40,157130.00
03/11/2017,9.20,PVC,9.10,9.30,9.10,82790.00
02/11/2017,9.10,PVC,9.30,9.40,9.10,259510.00
01/11/2017,9.30,PVC,9.10,9.50,9.00,176200.00
31/10/2017,9.00,PVC,9.00,9.10,8.80,68890.00
30/10/2017,9.00,PVC,9.40,9.50,8.90,120930.00
27/10/2017,9.30,PVC,9.10,9.50,8.80,69281.00
26/10/2017,9.00,PVC,9.40,9.70,8.90,90310.00
25/10/2017,9.40,PVC,9.50,9.60,9.40,82510.00
24/10/2017,9.40,PVC,9.70,9.70,9.30,190110.00
23/10/2017,9.70,PVC,10.00,10.30,9.70,79440.00
20/10/2017,9.90,PVC,10.00,10.00,9.90,85410.00
19/10/2017,10.10,PVC,10.10,10.10,10.00,91900.00
18/10/2017,10.10,PVC,10.10,10.20,10.00,81610.00
17/10/2017,10.10,PVC,10.10,10.30,10.00,113952.00
16/10/2017,10.20,PVC,10.30,10.30,10.10,191560.00
13/10/2017,10.20,PVC,10.20,10.20,10.10,169675.00
12/10/2017,10.20,PVC,10.10,10.30,10.10,324870.00
11/10/2017,10.10,PVC,10.10,10.30,10.00,274190.00
10/10/2017,9.80,PVC,9.90,10.10,9.80,124745.00
09/10/2017,10.00,PVC,9.90,10.10,9.80,348619.00
06/10/2017,9.90,PVC,9.80,9.90,9.60,67720.00
05/10/2017,9.80,PVC,9.60,10.00,9.60,117340.00
04/10/2017,9.90,PVC,9.90,10.00,9.70,141600.00
03/10/2017,10.00,PVC,10.00,10.10,9.80,143500.00
02/10/2017,10.20,PVC,10.20,10.40,10.00,164427.00
29/09/2017,10.20,PVC,10.40,10.40,10.20,303010.00
28/09/2017,10.40,PVC,10.30,10.60,10.10,326859.00
27/09/2017,10.30,PVC,10.60,10.60,10.00,425313.00
26/09/2017,10.60,PVC,10.30,11.00,10.20,797700.00
25/09/2017,10.10,PVC,9.40,10.20,9.40,1030527.00
22/09/2017,9.30,PVC,9.30,9.60,9.30,105014.00
21/09/2017,9.40,PVC,9.40,9.60,9.30,342300.00
20/09/2017,9.40,PVC,9.30,9.50,9.20,157346.00
19/09/2017,9.40,PVC,9.40,9.60,9.30,305220.00
18/09/2017,9.40,PVC,8.80,9.60,8.80,455720.00
15/09/2017,8.80,PVC,8.70,8.80,8.60,18410.00
14/09/2017,8.70,PVC,8.50,8.80,8.50,126331.00
13/09/2017,8.60,PVC,8.60,8.80,8.50,52804.00
12/09/2017,8.70,PVC,8.70,8.80,8.60,61627.00
11/09/2017,8.60,PVC,8.60,8.60,8.50,28110.00
08/09/2017,8.70,PVC,8.80,8.80,8.60,29200.00
07/09/2017,8.70,PVC,8.60,8.80,8.60,57579.00
06/09/2017,8.60,PVC,8.50,8.70,8.20,98200.00
05/09/2017,8.50,PVC,8.70,8.70,8.40,30020.00
01/09/2017,8.60,PVC,8.60,8.70,8.50,5700.00
31/08/2017,8.50,PVC,8.50,8.60,8.20,19600.00
30/08/2017,8.40,PVC,8.40,8.40,8.30,31110.00
29/08/2017,8.60,PVC,8.40,8.60,8.30,66748.00
28/08/2017,8.50,PVC,8.60,8.60,7.80,59330.00
25/08/2017,8.60,PVC,8.70,8.70,8.40,36970.00
24/08/2017,8.50,PVC,8.60,8.70,8.50,45180.00
23/08/2017,8.70,PVC,8.60,8.70,8.60,26005.00
22/08/2017,8.70,PVC,8.60,8.80,8.50,45100.00
21/08/2017,8.50,PVC,8.70,8.90,8.50,35550.00
18/08/2017,8.50,PVC,8.70,8.90,8.40,122077.00
17/08/2017,8.90,PVC,9.10,9.10,8.80,292305.00
16/08/2017,9.10,PVC,9.20,9.20,9.00,63170.00
15/08/2017,9.10,PVC,9.20,9.20,9.00,59900.00
14/08/2017,9.10,PVC,9.30,9.30,9.00,108490.00
11/08/2017,9.30,PVC,9.20,9.30,9.20,63530.00
10/08/2017,9.30,PVC,9.40,9.40,9.10,63000.00
09/08/2017,9.30,PVC,9.50,9.50,9.00,418960.00
08/08/2017,9.50,PVC,9.60,10.00,9.40,198121.00
07/08/2017,9.40,PVC,9.30,9.60,9.30,212587.00
04/08/2017,9.30,PVC,9.10,9.40,8.90,476914.00
03/08/2017,9.10,PVC,9.10,9.40,9.00,268456.00
02/08/2017,9.20,PVC,8.80,9.40,8.70,334630.00
01/08/2017,8.80,PVC,8.70,9.20,8.70,677619.00
31/07/2017,8.70,PVC,8.80,8.80,8.50,143600.00
28/07/2017,8.70,PVC,8.50,8.70,8.40,154600.00
27/07/2017,8.50,PVC,8.50,8.50,8.20,152500.00
26/07/2017,8.50,PVC,8.70,8.80,8.40,69566.00
25/07/2017,8.50,PVC,9.00,9.00,8.20,149596.00
24/07/2017,8.80,PVC,8.90,9.10,8.70,248484.00
21/07/2017,8.70,PVC,8.40,9.00,8.40,725906.00
20/07/2017,8.40,PVC,8.40,8.50,8.20,124722.00
19/07/2017,8.40,PVC,8.10,8.60,8.10,385200.00
18/07/2017,8.10,PVC,8.20,8.20,8.00,218500.00
17/07/2017,8.10,PVC,7.90,8.20,7.90,332217.00
14/07/2017,7.90,PVC,8.00,8.00,7.70,68743.00
13/07/2017,7.80,PVC,7.90,8.00,7.70,98074.00
12/07/2017,7.70,PVC,8.00,8.00,7.70,145004.00
11/07/2017,7.90,PVC,7.80,8.00,7.70,109400.00
10/07/2017,7.90,PVC,8.10,8.20,7.70,181100.00
07/07/2017,8.10,PVC,8.80,8.80,8.10,181561.00
06/07/2017,8.40,PVC,8.00,8.40,7.90,505462.00
05/07/2017,8.00,PVC,7.90,8.00,7.80,309512.00
04/07/2017,7.80,PVC,7.90,7.90,7.60,63677.00
03/07/2017,7.80,PVC,7.80,8.00,7.80,161500.00
30/06/2017,7.70,PVC,7.80,7.90,7.70,316530.00
29/06/2017,7.70,PVC,7.50,7.80,7.50,305325.00
28/06/2017,7.50,PVC,7.60,7.60,7.40,140323.00
27/06/2017,7.40,PVC,7.60,7.60,7.40,153524.00
26/06/2017,7.60,PVC,7.60,7.70,7.50,132880.00
23/06/2017,7.40,PVC,7.40,7.40,7.30,43700.00
22/06/2017,7.50,PVC,7.20,7.60,7.20,33052.00
21/06/2017,7.50,PVC,7.50,7.50,7.40,101960.00
20/06/2017,7.60,PVC,7.70,7.70,7.50,96600.00
19/06/2017,7.60,PVC,7.70,7.70,7.40,111200.00
16/06/2017,7.60,PVC,7.60,7.60,7.50,233060.00
15/06/2017,7.50,PVC,7.50,7.70,7.40,143770.00
14/06/2017,7.70,PVC,7.80,7.90,7.60,150710.00
13/06/2017,7.70,PVC,7.30,7.90,7.30,748159.00
12/06/2017,7.20,PVC,7.20,7.30,7.10,87965.00
09/06/2017,7.20,PVC,7.30,7.30,7.10,67813.00
08/06/2017,7.20,PVC,7.20,7.40,7.10,144518.00
07/06/2017,7.30,PVC,7.20,7.30,7.20,47154.00
06/06/2017,7.20,PVC,7.20,7.30,7.10,16002.00
05/06/2017,7.20,PVC,7.40,7.40,7.00,80000.00
