DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,23.35,PVD,24.00,24.10,23.05,3602210.00
28/12/2017,24.00,PVD,24.00,24.20,23.75,1780800.00
27/12/2017,24.00,PVD,24.50,24.70,24.00,2217930.00
26/12/2017,23.85,PVD,23.70,23.85,23.45,1743660.00
25/12/2017,23.35,PVD,23.20,23.75,23.10,1900420.00
22/12/2017,23.05,PVD,22.80,23.50,22.70,2745890.00
21/12/2017,22.80,PVD,23.80,24.10,22.80,3832330.00
20/12/2017,23.70,PVD,23.30,24.65,23.10,6540450.00
19/12/2017,23.10,PVD,22.05,23.10,21.80,3619030.00
18/12/2017,22.10,PVD,22.30,22.80,22.05,3887970.00
15/12/2017,22.00,PVD,21.20,22.00,21.20,3490430.00
14/12/2017,21.20,PVD,21.10,21.45,21.00,2392340.00
13/12/2017,21.40,PVD,20.75,21.70,20.60,4014780.00
12/12/2017,20.75,PVD,19.90,20.75,18.90,5798230.00
11/12/2017,19.45,PVD,19.05,19.60,18.95,3442210.00
08/12/2017,19.45,PVD,19.50,19.60,19.30,2178850.00
07/12/2017,19.30,PVD,19.80,19.90,19.20,3620120.00
06/12/2017,20.00,PVD,19.40,20.15,19.00,4884720.00
05/12/2017,19.45,PVD,20.00,20.15,19.45,4038160.00
04/12/2017,20.20,PVD,19.40,20.20,18.90,4868760.00
01/12/2017,18.90,PVD,19.30,19.45,18.90,2758830.00
30/11/2017,18.75,PVD,19.00,19.20,18.65,2296070.00
29/11/2017,19.00,PVD,18.40,19.00,18.20,3100080.00
28/11/2017,18.60,PVD,18.80,18.90,18.35,4121990.00
27/11/2017,19.10,PVD,19.30,19.55,19.10,3155580.00
24/11/2017,19.15,PVD,18.20,19.15,18.15,4045720.00
23/11/2017,18.20,PVD,18.10,18.60,17.75,6692870.00
22/11/2017,17.70,PVD,17.50,17.75,17.25,3886810.00
21/11/2017,17.20,PVD,17.50,17.70,17.15,3512150.00
20/11/2017,17.65,PVD,17.70,17.90,17.25,3025320.00
17/11/2017,17.40,PVD,17.85,18.10,17.30,3740480.00
16/11/2017,17.85,PVD,17.10,17.90,17.10,3480990.00
15/11/2017,17.20,PVD,17.00,17.30,16.80,5398860.00
14/11/2017,17.50,PVD,17.85,18.10,17.30,5252720.00
13/11/2017,17.80,PVD,17.10,17.90,16.90,4553140.00
10/11/2017,17.10,PVD,16.90,17.50,16.80,4524960.00
09/11/2017,16.80,PVD,16.60,16.80,16.40,3824550.00
08/11/2017,16.80,PVD,16.70,17.20,16.65,4033130.00
07/11/2017,16.90,PVD,16.40,17.15,16.35,8715810.00
06/11/2017,16.10,PVD,16.45,16.65,16.10,7702940.00
03/11/2017,16.00,PVD,15.55,16.00,15.35,4389110.00
02/11/2017,15.40,PVD,15.60,15.70,15.25,4388050.00
01/11/2017,15.65,PVD,15.10,15.90,15.00,7452410.00
31/10/2017,14.90,PVD,14.85,15.15,14.75,2925450.00
30/10/2017,14.85,PVD,15.30,15.30,14.80,3471400.00
27/10/2017,14.80,PVD,14.70,14.80,14.60,1841620.00
26/10/2017,14.45,PVD,14.40,14.65,14.30,1749460.00
25/10/2017,14.35,PVD,14.65,14.70,14.30,1491820.00
24/10/2017,14.30,PVD,14.30,14.45,14.25,1042360.00
23/10/2017,14.30,PVD,14.85,14.90,14.20,2226900.00
20/10/2017,14.85,PVD,15.15,15.15,14.80,2993080.00
19/10/2017,15.10,PVD,14.90,15.25,14.70,2589790.00
18/10/2017,14.80,PVD,14.70,15.10,14.60,3062150.00
17/10/2017,14.60,PVD,14.75,14.75,14.55,1663340.00
16/10/2017,14.70,PVD,14.70,14.85,14.60,3386680.00
13/10/2017,14.40,PVD,14.05,14.40,14.00,1683950.00
12/10/2017,14.10,PVD,14.25,14.35,14.10,1666950.00
11/10/2017,14.25,PVD,14.10,14.30,14.00,2434170.00
10/10/2017,13.90,PVD,13.90,14.05,13.80,1349050.00
09/10/2017,13.85,PVD,13.80,13.90,13.75,1695100.00
06/10/2017,14.00,PVD,14.10,14.25,13.95,1759020.00
05/10/2017,13.95,PVD,13.85,14.00,13.70,1851700.00
04/10/2017,13.95,PVD,13.80,14.00,13.75,1123930.00
03/10/2017,13.90,PVD,14.20,14.20,13.70,2784240.00
02/10/2017,14.25,PVD,14.20,14.45,14.10,2430520.00
29/09/2017,14.15,PVD,14.50,14.65,14.15,2051960.00
28/09/2017,14.60,PVD,14.45,14.85,14.40,4144320.00
27/09/2017,14.50,PVD,14.85,15.15,14.50,4402240.00
26/09/2017,14.80,PVD,14.25,14.80,14.25,7444130.00
25/09/2017,13.85,PVD,13.75,14.00,13.70,1291340.00
22/09/2017,13.70,PVD,14.00,14.00,13.70,1845470.00
21/09/2017,13.90,PVD,14.10,14.25,13.90,2106200.00
20/09/2017,13.90,PVD,14.20,14.20,13.85,1687900.00
19/09/2017,14.05,PVD,14.00,14.30,14.00,4648890.00
18/09/2017,13.95,PVD,13.70,14.20,13.70,5178860.00
15/09/2017,13.55,PVD,13.65,13.80,13.50,1369300.00
14/09/2017,13.70,PVD,13.75,13.90,13.55,1801820.00
13/09/2017,13.65,PVD,13.40,13.70,13.30,2332310.00
12/09/2017,13.35,PVD,13.40,13.50,13.25,2493610.00
11/09/2017,13.40,PVD,13.50,13.65,13.40,1553950.00
08/09/2017,13.60,PVD,13.80,13.85,13.60,1675920.00
07/09/2017,13.80,PVD,13.80,14.05,13.80,1904710.00
06/09/2017,13.65,PVD,13.70,14.00,13.60,1949370.00
05/09/2017,13.60,PVD,13.50,13.80,13.20,2127500.00
01/09/2017,13.50,PVD,14.00,14.15,13.50,1857050.00
31/08/2017,13.80,PVD,13.45,13.80,13.30,4675130.00
30/08/2017,13.80,PVD,14.15,14.25,13.60,4352360.00
29/08/2017,14.10,PVD,14.45,14.50,14.10,4114560.00
