DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,133.00,RAL,130.40,133.00,130.40,6250.00
28/12/2017,133.00,RAL,131.10,134.90,131.10,10320.00
27/12/2017,133.00,RAL,135.00,135.00,132.00,3460.00
26/12/2017,132.50,RAL,135.00,135.00,130.10,13290.00
25/12/2017,132.00,RAL,134.20,136.00,132.00,7170.00
22/12/2017,137.50,RAL,136.00,137.50,135.00,1720.00
21/12/2017,137.70,RAL,135.00,138.00,135.00,480.00
20/12/2017,136.00,RAL,138.00,139.00,136.00,4090.00
19/12/2017,139.80,RAL,138.00,139.90,137.70,1820.00
18/12/2017,139.80,RAL,140.90,140.90,137.10,1970.00
15/12/2017,139.10,RAL,137.00,139.40,136.00,3060.00
14/12/2017,139.50,RAL,136.00,139.90,136.00,10220.00
13/12/2017,139.90,RAL,139.00,140.00,139.00,460.00
12/12/2017,137.50,RAL,137.50,137.50,136.00,6000.00
11/12/2017,138.00,RAL,139.90,139.90,135.00,15380.00
08/12/2017,138.70,RAL,138.00,139.00,137.50,7310.00
07/12/2017,138.00,RAL,139.00,139.00,136.00,1950.00
06/12/2017,138.00,RAL,136.00,138.00,136.00,1250.00
05/12/2017,136.00,RAL,136.40,139.70,136.00,12830.00
04/12/2017,135.80,RAL,140.00,140.00,135.80,27570.00
01/12/2017,140.00,RAL,140.90,140.90,138.70,7890.00
30/11/2017,140.80,RAL,139.00,140.90,139.00,9530.00
29/11/2017,140.00,RAL,140.00,140.90,139.00,13170.00
28/11/2017,140.80,RAL,141.00,141.00,139.90,1800.00
27/11/2017,141.00,RAL,142.00,142.00,138.50,8630.00
24/11/2017,140.00,RAL,142.50,142.50,139.40,20730.00
23/11/2017,143.00,RAL,142.90,144.00,140.50,8900.00
22/11/2017,143.00,RAL,140.00,144.00,139.00,17560.00
21/11/2017,140.00,RAL,140.00,140.00,138.60,8310.00
20/11/2017,139.50,RAL,139.00,139.70,138.00,2920.00
17/11/2017,139.50,RAL,139.20,139.90,137.60,9800.00
16/11/2017,139.30,RAL,138.40,140.40,138.00,6590.00
15/11/2017,138.40,RAL,140.00,141.60,136.20,24510.00
14/11/2017,138.00,RAL,137.10,141.00,137.10,17180.00
13/11/2017,141.00,RAL,139.50,141.00,137.50,17280.00
10/11/2017,139.50,RAL,139.50,140.20,138.00,9400.00
09/11/2017,139.50,RAL,140.80,140.80,137.00,13670.00
08/11/2017,139.00,RAL,138.70,141.00,138.00,6510.00
07/11/2017,141.00,RAL,142.80,142.80,138.00,3170.00
06/11/2017,141.00,RAL,137.00,144.50,137.00,16530.00
03/11/2017,136.00,RAL,138.00,138.00,136.00,11220.00
02/11/2017,137.00,RAL,136.00,137.90,135.10,17700.00
01/11/2017,136.00,RAL,135.10,136.00,134.00,26750.00
31/10/2017,135.10,RAL,137.90,137.90,135.00,10260.00
30/10/2017,136.00,RAL,135.10,138.00,135.10,25680.00
27/10/2017,135.10,RAL,139.50,140.00,135.10,8780.00
26/10/2017,138.00,RAL,135.60,141.00,135.60,47130.00
25/10/2017,135.50,RAL,134.10,136.40,134.10,9720.00
24/10/2017,134.10,RAL,135.50,138.00,134.00,41500.00
23/10/2017,134.00,RAL,127.00,135.00,126.00,53360.00
20/10/2017,127.00,RAL,127.60,127.60,122.00,11690.00
19/10/2017,125.40,RAL,125.90,125.90,124.00,9250.00
18/10/2017,125.00,RAL,122.00,128.00,122.00,32800.00
17/10/2017,122.90,RAL,122.60,123.00,121.00,8980.00
16/10/2017,122.40,RAL,124.00,126.00,122.40,2120.00
13/10/2017,123.70,RAL,123.00,124.50,121.00,920.00
12/10/2017,121.00,RAL,122.50,123.00,120.30,7270.00
11/10/2017,124.50,RAL,123.00,125.00,118.00,2210.00
10/10/2017,125.00,RAL,125.80,125.80,123.00,950.00
09/10/2017,126.00,RAL,122.70,130.50,122.70,3750.00
06/10/2017,122.00,RAL,123.70,123.70,122.00,2090.00
05/10/2017,123.50,RAL,123.90,123.90,123.50,2090.00
04/10/2017,123.40,RAL,123.00,123.50,122.00,4170.00
03/10/2017,123.00,RAL,124.00,124.00,122.00,3010.00
02/10/2017,123.90,RAL,125.00,125.00,122.80,8980.00
29/09/2017,123.10,RAL,126.00,126.00,123.10,6630.00
28/09/2017,122.00,RAL,122.50,123.00,122.00,14100.00
27/09/2017,122.50,RAL,124.00,124.00,122.10,560.00
26/09/2017,122.00,RAL,124.90,125.70,122.00,12210.00
25/09/2017,124.90,RAL,123.00,125.50,123.00,9280.00
22/09/2017,124.00,RAL,125.50,125.50,122.30,8500.00
21/09/2017,126.00,RAL,128.00,128.00,125.00,7040.00
