DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,10.45,SAV,9.80,10.50,9.80,30.00
28/12/2017,10.20,SAV,10.00,10.45,10.00,5500.00
27/12/2017,10.10,SAV,10.10,10.10,10.10,100.00
26/12/2017,10.30,SAV,10.40,10.50,10.30,450.00
25/12/2017,10.50,SAV,9.78,10.50,9.78,1520.00
22/12/2017,10.50,SAV,10.50,10.50,10.50,350.00
21/12/2017,10.00,SAV,10.85,10.85,10.00,20.00
20/12/2017,10.25,SAV,10.40,10.40,10.25,2600.00
19/12/2017,11.00,SAV,11.35,11.35,10.00,130.00
18/12/2017,10.65,SAV,10.20,10.65,10.20,110.00
15/12/2017,10.00,SAV,10.00,10.40,10.00,2430.00
14/12/2017,10.40,SAV,9.65,10.40,9.65,100.00
13/12/2017,10.35,SAV,9.68,10.35,9.68,6460.00
12/12/2017,10.40,SAV,10.40,10.40,10.40,100.00
11/12/2017,10.40,SAV,10.40,10.40,10.40,20.00
08/12/2017,10.50,SAV,10.10,10.50,10.10,6070.00
07/12/2017,10.40,SAV,10.50,10.55,10.10,21120.00
06/12/2017,10.60,SAV,9.53,10.60,9.51,3640.00
05/12/2017,10.10,SAV,9.51,10.10,9.50,19430.00
04/12/2017,9.51,SAV,10.10,10.10,9.51,3500.00
01/12/2017,10.05,SAV,10.05,10.05,10.00,16620.00
30/11/2017,9.99,SAV,9.80,9.99,9.80,240.00
29/11/2017,9.80,SAV,9.90,10.00,9.80,26400.00
28/11/2017,9.61,SAV,10.00,10.10,9.50,11070.00
27/11/2017,10.20,SAV,10.00,10.20,9.68,18750.00
24/11/2017,10.40,SAV,10.00,10.40,10.00,6060.00
23/11/2017,10.45,SAV,9.75,10.45,9.75,9860.00
22/11/2017,10.45,SAV,10.00,10.45,10.00,280.00
21/11/2017,9.99,SAV,10.10,10.10,9.71,6100.00
20/11/2017,10.40,SAV,10.05,10.40,10.00,3970.00
17/11/2017,10.00,SAV,10.25,10.40,9.92,12260.00
16/11/2017,9.90,SAV,10.00,10.05,9.90,11580.00
15/11/2017,10.35,SAV,10.10,10.35,9.85,14090.00
14/11/2017,10.00,SAV,10.40,10.40,10.00,2010.00
13/11/2017,10.40,SAV,10.40,10.40,10.40,200.00
10/11/2017,10.40,SAV,10.10,10.40,10.10,9000.00
09/11/2017,10.10,SAV,10.00,10.45,10.00,22460.00
08/11/2017,10.45,SAV,10.20,10.45,10.20,3290.00
07/11/2017,10.00,SAV,10.00,10.50,10.00,11060.00
06/11/2017,10.10,SAV,10.50,10.50,10.10,16470.00
03/11/2017,10.10,SAV,10.10,10.10,10.10,9400.00
02/11/2017,10.85,SAV,10.40,11.10,10.25,3930.00
01/11/2017,11.00,SAV,10.00,11.00,9.80,10490.00
31/10/2017,10.45,SAV,10.45,10.45,10.45,20.00
30/10/2017,10.60,SAV,10.95,10.95,10.50,5870.00
27/10/2017,10.50,SAV,11.00,11.00,10.50,5030.00
26/10/2017,11.10,SAV,11.10,11.10,11.10,30.00
25/10/2017,11.10,SAV,11.10,11.10,11.10,30.00
24/10/2017,11.00,SAV,11.00,11.00,11.00,0.00
23/10/2017,11.00,SAV,11.20,11.50,11.00,11640.00
20/10/2017,11.20,SAV,11.50,11.50,11.20,14400.00
19/10/2017,11.20,SAV,11.45,11.50,11.10,3370.00
18/10/2017,11.50,SAV,11.65,11.65,11.50,5490.00
17/10/2017,11.75,SAV,11.75,11.75,11.75,20.00
16/10/2017,11.40,SAV,11.30,11.85,11.30,9310.00
13/10/2017,11.50,SAV,11.50,11.50,11.50,1420.00
12/10/2017,11.95,SAV,11.95,11.95,11.95,10.00
11/10/2017,11.40,SAV,11.40,11.40,11.40,10.00
10/10/2017,11.80,SAV,11.30,11.80,11.30,16450.00
09/10/2017,12.00,SAV,12.00,12.00,12.00,10.00
06/10/2017,11.95,SAV,11.40,11.95,11.20,2500.00
05/10/2017,11.40,SAV,11.50,11.50,11.10,2890.00
04/10/2017,11.25,SAV,12.00,12.00,11.20,26670.00
03/10/2017,12.00,SAV,12.40,12.40,12.00,20380.00
02/10/2017,12.40,SAV,12.55,12.60,12.40,67430.00
29/09/2017,12.55,SAV,12.55,12.55,11.75,106120.00
28/09/2017,11.75,SAV,11.55,11.75,11.10,54200.00
27/09/2017,11.00,SAV,11.00,11.40,10.90,27970.00
26/09/2017,10.90,SAV,11.00,11.00,10.90,2820.00
25/09/2017,10.90,SAV,10.60,11.25,10.60,2420.00
22/09/2017,10.80,SAV,11.35,11.35,10.80,3700.00
21/09/2017,10.75,SAV,11.00,11.00,10.75,3180.00
20/09/2017,10.90,SAV,11.00,11.30,10.60,17760.00
19/09/2017,10.60,SAV,11.60,11.60,10.60,2010.00
18/09/2017,10.85,SAV,10.90,10.90,10.85,3010.00
15/09/2017,10.85,SAV,10.80,10.85,10.20,12390.00
14/09/2017,10.15,SAV,10.90,10.90,10.15,10000.00
13/09/2017,10.90,SAV,10.90,11.30,10.90,2750.00
12/09/2017,11.40,SAV,10.70,11.40,10.15,19810.00
11/09/2017,10.90,SAV,11.40,12.00,10.90,12770.00
08/09/2017,11.40,SAV,11.40,12.00,11.30,38010.00
07/09/2017,12.00,SAV,11.60,12.00,10.90,12660.00
06/09/2017,11.70,SAV,11.70,11.70,11.25,1980.00
05/09/2017,12.00,SAV,12.00,12.00,11.90,2870.00
01/09/2017,12.00,SAV,12.00,12.00,12.00,3680.00
31/08/2017,12.00,SAV,12.00,12.00,12.00,23920.00
30/08/2017,12.00,SAV,12.00,12.00,12.00,1280.00
29/08/2017,12.00,SAV,12.00,12.00,12.00,990.00
28/08/2017,12.00,SAV,11.50,12.00,11.50,2380.00
25/08/2017,11.80,SAV,11.90,11.95,11.80,2340.00
24/08/2017,12.00,SAV,12.00,12.00,12.00,11000.00
23/08/2017,12.00,SAV,12.00,12.00,11.60,13240.00
