DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,26.80,SFC,26.80,26.80,26.80,100.00
28/12/2017,27.00,SFC,27.00,27.00,27.00,0.00
27/12/2017,27.00,SFC,24.75,27.00,24.75,2120.00
26/12/2017,26.50,SFC,26.50,26.50,26.50,0.00
25/12/2017,26.50,SFC,26.50,26.50,26.50,0.00
22/12/2017,26.50,SFC,26.50,26.50,26.50,10.00
21/12/2017,25.20,SFC,25.20,25.20,25.20,0.00
20/12/2017,25.20,SFC,25.20,25.20,25.20,0.00
19/12/2017,25.20,SFC,25.20,25.20,25.20,0.00
18/12/2017,25.20,SFC,25.20,25.20,25.20,730.00
15/12/2017,25.20,SFC,25.00,25.20,25.00,950.00
14/12/2017,25.50,SFC,25.50,25.50,25.50,10.00
13/12/2017,25.00,SFC,25.00,25.00,25.00,320.00
12/12/2017,26.00,SFC,26.00,26.00,26.00,0.00
11/12/2017,26.00,SFC,26.00,26.00,26.00,0.00
08/12/2017,26.00,SFC,26.00,26.00,26.00,0.00
07/12/2017,26.00,SFC,26.00,26.00,26.00,0.00
06/12/2017,26.00,SFC,26.80,26.80,26.00,180.00
05/12/2017,26.20,SFC,26.20,26.20,26.20,900.00
04/12/2017,26.90,SFC,26.90,26.90,26.90,0.00
01/12/2017,26.90,SFC,26.90,26.90,26.90,0.00
30/11/2017,26.90,SFC,26.90,26.90,26.90,40.00
29/11/2017,25.60,SFC,25.60,25.60,25.60,0.00
28/11/2017,25.60,SFC,25.60,25.60,25.60,0.00
27/11/2017,25.60,SFC,25.60,25.60,25.60,1020.00
24/11/2017,27.45,SFC,27.45,27.45,27.45,0.00
23/11/2017,27.45,SFC,27.45,27.45,27.45,0.00
22/11/2017,27.45,SFC,27.45,27.45,27.45,0.00
21/11/2017,27.45,SFC,27.45,27.45,27.45,0.00
20/11/2017,27.45,SFC,27.45,27.45,27.45,170.00
17/11/2017,26.30,SFC,26.30,26.30,26.30,0.00
16/11/2017,26.30,SFC,26.30,26.30,26.30,0.00
15/11/2017,26.30,SFC,26.30,26.30,26.30,10.00
14/11/2017,25.00,SFC,25.00,25.00,25.00,40.00
13/11/2017,26.40,SFC,26.40,26.40,26.40,0.00
10/11/2017,26.40,SFC,26.00,26.40,26.00,60.00
09/11/2017,26.50,SFC,26.00,26.50,26.00,30.00
08/11/2017,25.90,SFC,25.90,25.90,25.90,0.00
07/11/2017,25.90,SFC,25.90,25.90,25.90,10.00
06/11/2017,25.50,SFC,25.50,25.50,25.50,40.00
03/11/2017,26.35,SFC,26.35,26.35,26.35,80.00
02/11/2017,25.90,SFC,25.90,25.90,25.90,0.00
01/11/2017,25.90,SFC,26.00,26.00,24.35,440.00
31/10/2017,26.10,SFC,26.10,26.10,26.10,0.00
30/10/2017,26.10,SFC,26.00,26.10,26.00,700.00
27/10/2017,24.80,SFC,24.80,24.80,24.80,0.00
26/10/2017,24.80,SFC,25.95,25.95,24.80,1710.00
25/10/2017,26.45,SFC,25.95,26.50,25.95,2010.00
24/10/2017,26.40,SFC,26.40,26.40,26.40,0.00
23/10/2017,26.40,SFC,25.10,26.55,25.10,1070.00
20/10/2017,25.10,SFC,25.20,25.20,25.10,1000.00
19/10/2017,26.50,SFC,25.35,26.50,25.30,1110.00
18/10/2017,26.75,SFC,25.35,26.75,25.25,2910.00
17/10/2017,27.00,SFC,27.00,27.00,27.00,0.00
16/10/2017,27.00,SFC,27.00,27.00,27.00,0.00
13/10/2017,27.00,SFC,27.00,27.00,27.00,0.00
12/10/2017,27.00,SFC,27.00,27.00,27.00,0.00
11/10/2017,27.00,SFC,27.00,27.00,27.00,0.00
10/10/2017,27.00,SFC,27.00,27.00,27.00,10.00
09/10/2017,25.60,SFC,25.60,25.60,25.60,100.00
06/10/2017,26.20,SFC,27.00,27.00,26.20,1040.00
05/10/2017,27.20,SFC,26.20,27.20,26.10,3010.00
04/10/2017,27.20,SFC,27.20,27.20,27.20,0.00
03/10/2017,27.20,SFC,26.10,27.20,26.10,40.00
02/10/2017,26.50,SFC,26.50,26.50,26.50,100.00
29/09/2017,27.05,SFC,27.05,27.05,27.05,0.00
28/09/2017,27.05,SFC,26.15,27.05,26.10,620.00
27/09/2017,26.10,SFC,26.10,26.10,26.10,1000.00
26/09/2017,27.50,SFC,27.50,27.50,27.50,0.00
25/09/2017,27.50,SFC,27.50,27.50,27.50,0.00
22/09/2017,27.50,SFC,26.10,27.50,26.00,4760.00
21/09/2017,27.15,SFC,27.15,27.15,27.15,10.00
20/09/2017,26.25,SFC,26.35,26.35,26.25,3630.00
19/09/2017,27.75,SFC,27.75,27.75,27.75,0.00
18/09/2017,27.75,SFC,27.75,27.75,27.75,0.00
15/09/2017,27.75,SFC,27.75,27.75,27.75,0.00
14/09/2017,27.75,SFC,27.75,27.75,27.75,0.00
13/09/2017,27.75,SFC,27.75,27.75,27.75,0.00
12/09/2017,27.75,SFC,27.75,27.75,27.75,350.00
11/09/2017,27.50,SFC,27.50,27.50,27.50,0.00
08/09/2017,27.50,SFC,27.50,27.50,27.50,0.00
07/09/2017,27.50,SFC,27.00,27.50,27.00,130.00
06/09/2017,27.50,SFC,27.50,27.50,27.50,0.00
05/09/2017,27.50,SFC,27.50,27.50,27.50,50.00
01/09/2017,26.60,SFC,26.60,26.60,26.60,0.00
31/08/2017,26.60,SFC,26.60,26.60,26.60,20.00
30/08/2017,27.90,SFC,27.90,27.90,27.90,0.00
29/08/2017,27.90,SFC,27.90,27.90,27.90,0.00
28/08/2017,27.90,SFC,27.90,27.90,27.90,0.00
25/08/2017,27.90,SFC,27.90,27.90,27.90,0.00
24/08/2017,27.90,SFC,26.55,27.90,26.50,2620.00
23/08/2017,28.00,SFC,27.90,28.00,27.90,860.00
22/08/2017,27.95,SFC,27.95,27.95,27.95,0.00
21/08/2017,27.95,SFC,27.95,27.95,27.95,0.00
18/08/2017,27.95,SFC,27.95,27.95,27.95,30.00
17/08/2017,27.00,SFC,27.00,27.00,27.00,0.00
16/08/2017,27.00,SFC,27.00,27.00,27.00,0.00
15/08/2017,27.00,SFC,27.00,27.00,27.00,0.00
14/08/2017,27.00,SFC,27.00,27.00,27.00,0.00
11/08/2017,27.00,SFC,27.00,27.00,27.00,0.00
10/08/2017,27.00,SFC,26.65,28.00,26.65,2660.00
09/08/2017,27.95,SFC,27.95,27.95,27.95,0.00
08/08/2017,27.95,SFC,27.90,27.95,27.90,60.00
07/08/2017,26.80,SFC,26.70,26.80,26.70,1720.00
04/08/2017,28.40,SFC,28.40,28.40,28.40,0.00
03/08/2017,28.40,SFC,28.40,28.40,28.40,0.00
02/08/2017,28.40,SFC,27.90,28.40,27.90,270.00
01/08/2017,27.90,SFC,27.90,27.90,27.90,10.00
31/07/2017,27.00,SFC,27.10,27.10,27.00,3040.00
28/07/2017,27.00,SFC,27.00,27.00,27.00,280.00
27/07/2017,27.00,SFC,27.00,27.00,27.00,0.00
26/07/2017,27.00,SFC,27.00,27.00,27.00,440.00
25/07/2017,27.50,SFC,27.50,27.50,27.50,10.00
24/07/2017,27.00,SFC,27.00,27.00,27.00,20.00
21/07/2017,27.50,SFC,27.00,27.50,27.00,230.00
20/07/2017,27.30,SFC,27.30,27.30,27.30,90.00
19/07/2017,29.00,SFC,29.00,29.00,29.00,0.00
18/07/2017,29.00,SFC,28.40,29.05,28.40,6400.00
17/07/2017,27.15,SFC,27.15,27.15,27.15,10.00
14/07/2017,28.15,SFC,28.15,28.15,28.15,0.00
13/07/2017,28.15,SFC,28.20,28.20,28.15,520.00
12/07/2017,27.95,SFC,27.95,27.95,27.95,320.00
11/07/2017,27.00,SFC,27.00,27.00,27.00,9190.00
10/07/2017,26.80,SFC,27.00,27.00,26.80,12820.00
07/07/2017,27.00,SFC,27.00,27.00,27.00,80.00
06/07/2017,27.50,SFC,27.50,28.00,27.00,10910.00
05/07/2017,27.50,SFC,27.50,27.50,27.50,3310.00
04/07/2017,27.50,SFC,27.50,27.50,27.50,20.00
03/07/2017,27.50,SFC,27.50,27.50,27.50,40.00
30/06/2017,27.50,SFC,27.50,27.50,27.50,0.00
29/06/2017,27.50,SFC,27.50,27.50,27.50,2430.00
28/06/2017,27.50,SFC,27.50,27.50,27.50,0.00
27/06/2017,27.50,SFC,27.75,27.75,27.50,6290.00
26/06/2017,28.00,SFC,28.10,28.20,28.00,7420.00
23/06/2017,28.30,SFC,27.50,28.40,27.50,350.00
22/06/2017,27.95,SFC,26.85,28.40,26.80,8890.00
21/06/2017,27.50,SFC,28.40,28.40,27.50,40.00
20/06/2017,28.50,SFC,28.50,28.50,28.50,170.00
19/06/2017,27.20,SFC,27.20,27.20,27.20,11220.00
16/06/2017,27.10,SFC,27.45,27.50,27.10,10230.00
15/06/2017,27.05,SFC,27.05,27.05,27.05,0.00
14/06/2017,27.05,SFC,27.05,27.05,27.05,9920.00
13/06/2017,27.95,SFC,27.95,27.95,27.95,4500.00
12/06/2017,26.70,SFC,26.70,26.70,26.70,1250.00
09/06/2017,27.90,SFC,27.90,27.90,27.90,10.00
08/06/2017,27.10,SFC,27.10,27.10,27.10,0.00
07/06/2017,27.10,SFC,27.10,27.10,27.10,120.00
06/06/2017,27.10,SFC,27.10,27.10,27.10,0.00
05/06/2017,27.10,SFC,27.10,27.10,27.10,0.00
02/06/2017,27.10,SFC,27.00,27.95,27.00,1560.00
01/06/2017,28.00,SFC,27.80,28.00,27.80,700.00
31/05/2017,27.50,SFC,27.50,27.50,27.50,100.00
30/05/2017,27.00,SFC,26.40,27.00,26.40,2040.00
29/05/2017,27.00,SFC,27.00,27.00,27.00,3110.00
26/05/2017,27.00,SFC,28.95,28.95,27.00,570.00
