DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,49.90,SGC,49.90,49.90,49.90,0.00
28/12/2017,49.90,SGC,49.90,49.90,49.90,0.00
27/12/2017,51.90,SGC,51.90,51.90,51.90,73.00
26/12/2017,51.90,SGC,51.90,51.90,51.90,2.00
25/12/2017,51.90,SGC,63.30,63.30,51.90,410.00
22/12/2017,57.60,SGC,57.60,57.60,57.60,200.00
21/12/2017,52.40,SGC,52.40,52.40,52.40,0.00
20/12/2017,52.40,SGC,57.60,57.60,52.40,200.00
19/12/2017,52.40,SGC,64.00,64.00,52.40,1400.00
18/12/2017,58.20,SGC,58.20,58.20,58.20,0.00
15/12/2017,58.20,SGC,58.20,58.20,58.20,50.00
14/12/2017,58.20,SGC,58.20,58.20,58.20,100.00
13/12/2017,64.10,SGC,64.10,64.10,64.10,67.00
12/12/2017,64.10,SGC,70.50,70.50,64.10,200.00
11/12/2017,64.10,SGC,64.10,64.10,64.10,0.00
08/12/2017,64.10,SGC,69.40,69.40,64.10,507.00
07/12/2017,63.10,SGC,64.00,70.50,63.10,400.00
06/12/2017,64.10,SGC,67.20,67.20,64.10,300.00
05/12/2017,61.10,SGC,65.40,65.40,61.10,502.00
04/12/2017,59.50,SGC,59.50,59.50,59.50,100.00
01/12/2017,54.10,SGC,55.60,55.60,54.10,2100.00
30/11/2017,50.60,SGC,50.60,50.60,50.60,0.00
29/11/2017,50.60,SGC,50.60,50.60,50.60,400.00
28/11/2017,46.00,SGC,46.00,46.00,46.00,198.00
27/11/2017,51.00,SGC,51.00,51.00,51.00,0.00
24/11/2017,51.00,SGC,51.00,51.00,51.00,0.00
23/11/2017,51.00,SGC,51.00,51.00,51.00,0.00
22/11/2017,51.00,SGC,51.00,51.00,51.00,0.00
21/11/2017,51.00,SGC,51.00,51.00,51.00,0.00
20/11/2017,51.00,SGC,51.00,51.00,51.00,0.00
17/11/2017,51.00,SGC,51.00,51.00,51.00,0.00
16/11/2017,51.00,SGC,51.00,51.00,51.00,0.00
15/11/2017,51.00,SGC,51.00,51.00,51.00,0.00
14/11/2017,51.00,SGC,51.00,51.00,51.00,100.00
13/11/2017,51.50,SGC,51.50,51.50,51.50,0.00
10/11/2017,51.50,SGC,51.50,51.50,51.50,0.00
09/11/2017,51.50,SGC,51.50,51.50,51.50,0.00
08/11/2017,51.50,SGC,51.50,51.50,51.50,0.00
07/11/2017,51.50,SGC,51.50,51.50,51.50,0.00
06/11/2017,51.50,SGC,51.50,51.50,51.50,0.00
03/11/2017,51.50,SGC,51.50,51.50,51.50,0.00
02/11/2017,51.50,SGC,51.50,51.50,51.50,0.00
01/11/2017,51.50,SGC,51.50,51.50,51.50,0.00
31/10/2017,51.50,SGC,51.50,51.50,51.50,0.00
30/10/2017,51.50,SGC,51.50,51.50,51.50,30.00
27/10/2017,51.50,SGC,51.50,51.50,51.50,0.00
26/10/2017,51.50,SGC,51.50,51.50,51.50,0.00
25/10/2017,51.50,SGC,51.50,51.50,51.50,0.00
24/10/2017,51.50,SGC,51.50,51.50,51.50,16.00
23/10/2017,51.50,SGC,51.50,51.50,51.50,0.00
20/10/2017,51.50,SGC,51.50,51.50,51.50,0.00
19/10/2017,51.50,SGC,51.50,51.50,51.50,0.00
18/10/2017,51.50,SGC,51.50,51.50,51.50,6.00
17/10/2017,51.50,SGC,51.50,51.50,51.50,0.00
