DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
28/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
27/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
26/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
25/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
22/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
21/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
20/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
19/12/2017,39.30,SGH,39.30,39.30,39.30,5.00
18/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
15/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
14/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
13/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
12/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
11/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
08/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
07/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
06/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
05/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
04/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
01/12/2017,39.30,SGH,39.30,39.30,39.30,0.00
30/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
29/11/2017,39.30,SGH,39.30,39.30,39.30,10.00
28/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
27/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
24/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
23/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
22/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
21/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
20/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
17/11/2017,39.30,SGH,39.30,39.30,39.30,15.00
16/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
15/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
14/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
13/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
10/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
09/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
08/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
07/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
06/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
03/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
02/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
01/11/2017,39.30,SGH,39.30,39.30,39.30,0.00
31/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
30/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
27/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
26/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
25/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
24/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
23/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
20/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
19/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
18/10/2017,39.30,SGH,39.30,39.30,39.30,0.00
17/10/2017,39.30,SGH,39.30,39.30,39.30,200.00
16/10/2017,36.20,SGH,36.20,36.20,36.20,0.00
13/10/2017,36.20,SGH,36.20,36.20,36.20,0.00
12/10/2017,36.20,SGH,36.20,36.20,36.20,0.00
11/10/2017,36.20,SGH,36.20,36.20,36.20,0.00
10/10/2017,36.20,SGH,36.20,36.20,36.20,0.00
09/10/2017,36.20,SGH,36.20,36.20,36.20,0.00
