DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,30.10,SJS,31.20,31.20,29.60,266850.00
28/12/2017,31.00,SJS,31.60,31.80,31.00,88570.00
27/12/2017,32.10,SJS,32.00,32.15,31.80,55260.00
26/12/2017,32.00,SJS,31.70,32.00,31.20,181970.00
25/12/2017,31.70,SJS,31.60,31.80,31.20,179270.00
22/12/2017,31.80,SJS,31.40,32.30,31.40,240190.00
21/12/2017,31.80,SJS,32.30,32.30,31.75,175790.00
20/12/2017,32.00,SJS,31.60,32.50,31.60,195330.00
19/12/2017,31.60,SJS,32.00,32.20,31.60,123960.00
18/12/2017,31.95,SJS,32.90,32.90,31.90,197340.00
15/12/2017,32.50,SJS,31.95,32.95,31.80,178750.00
14/12/2017,31.90,SJS,31.50,32.50,31.50,133850.00
13/12/2017,31.55,SJS,31.50,32.20,31.50,102930.00
12/12/2017,32.20,SJS,32.00,32.50,30.00,300620.00
11/12/2017,32.20,SJS,32.50,33.00,31.90,370650.00
08/12/2017,33.50,SJS,34.30,34.50,33.50,563180.00
07/12/2017,34.30,SJS,35.05,35.40,34.30,541610.00
06/12/2017,34.80,SJS,34.50,35.30,34.20,593350.00
05/12/2017,34.40,SJS,34.40,35.50,34.30,1143410.00
04/12/2017,34.20,SJS,33.40,34.40,33.30,365280.00
01/12/2017,33.40,SJS,35.00,35.00,33.40,882440.00
30/11/2017,34.25,SJS,33.50,34.60,33.30,489930.00
29/11/2017,33.50,SJS,32.00,33.80,32.00,291780.00
28/11/2017,32.50,SJS,32.80,33.00,32.45,161570.00
27/11/2017,33.10,SJS,32.90,33.70,32.80,308000.00
24/11/2017,32.90,SJS,31.20,33.00,31.20,353350.00
23/11/2017,31.20,SJS,31.35,32.10,31.10,202840.00
22/11/2017,31.50,SJS,32.00,32.10,31.50,177370.00
21/11/2017,31.80,SJS,31.30,32.15,31.20,262080.00
20/11/2017,31.20,SJS,31.10,31.40,30.80,93630.00
17/11/2017,31.10,SJS,31.60,31.85,31.10,186290.00
16/11/2017,31.60,SJS,32.00,32.00,31.60,36260.00
15/11/2017,31.60,SJS,31.90,32.50,31.60,174790.00
14/11/2017,31.40,SJS,30.90,31.50,30.60,237770.00
13/11/2017,31.00,SJS,30.70,32.50,30.70,108420.00
10/11/2017,31.50,SJS,32.25,32.25,31.45,214480.00
09/11/2017,32.25,SJS,32.00,32.50,31.50,128290.00
08/11/2017,31.70,SJS,31.50,32.00,31.30,213360.00
07/11/2017,31.40,SJS,31.45,31.45,30.90,117810.00
06/11/2017,31.00,SJS,30.00,31.80,30.00,189960.00
03/11/2017,30.00,SJS,29.50,30.00,29.40,161770.00
02/11/2017,29.45,SJS,29.95,30.35,29.00,250130.00
01/11/2017,29.45,SJS,29.40,29.70,29.30,155220.00
31/10/2017,29.70,SJS,30.20,30.20,29.30,146660.00
30/10/2017,29.70,SJS,30.00,30.35,29.70,126440.00
27/10/2017,30.35,SJS,30.35,30.40,30.00,81470.00
26/10/2017,30.65,SJS,30.90,30.90,30.30,187040.00
25/10/2017,30.90,SJS,30.30,30.90,30.30,118500.00
24/10/2017,30.30,SJS,29.50,30.95,29.50,126520.00
23/10/2017,29.60,SJS,31.50,31.50,29.40,426910.00
20/10/2017,31.50,SJS,31.10,31.85,31.10,178020.00
19/10/2017,31.10,SJS,32.55,33.00,31.10,335450.00
18/10/2017,32.55,SJS,33.05,33.75,32.55,191350.00
17/10/2017,33.40,SJS,33.00,33.40,32.90,179430.00
16/10/2017,33.10,SJS,33.60,34.00,33.10,90980.00
13/10/2017,34.00,SJS,34.00,34.50,33.20,726290.00
12/10/2017,33.85,SJS,34.00,34.75,33.10,862140.00
11/10/2017,33.60,SJS,33.70,34.30,33.20,933370.00
10/10/2017,33.10,SJS,31.10,33.20,30.80,1071400.00
09/10/2017,31.10,SJS,30.80,31.50,30.80,441800.00
06/10/2017,30.60,SJS,30.25,30.70,30.10,238260.00
05/10/2017,30.60,SJS,30.75,31.00,30.10,821470.00
04/10/2017,30.50,SJS,30.00,31.00,30.00,396860.00
03/10/2017,29.90,SJS,28.40,29.90,28.40,522400.00
02/10/2017,28.40,SJS,29.00,29.00,28.40,99970.00
29/09/2017,28.75,SJS,28.80,29.20,28.70,181830.00
28/09/2017,28.80,SJS,29.20,29.30,28.60,111500.00
27/09/2017,28.90,SJS,28.40,29.60,28.35,371540.00
26/09/2017,28.20,SJS,28.10,28.40,28.00,160870.00
25/09/2017,28.10,SJS,28.20,28.60,28.10,84090.00
22/09/2017,28.50,SJS,28.00,28.60,28.00,51680.00
21/09/2017,28.20,SJS,28.35,28.40,28.00,54580.00
20/09/2017,28.35,SJS,28.60,28.75,28.30,107620.00
19/09/2017,28.30,SJS,28.80,28.95,28.25,149040.00
18/09/2017,28.80,SJS,29.15,29.40,28.80,242790.00
15/09/2017,28.90,SJS,28.50,29.20,28.50,288580.00
14/09/2017,28.40,SJS,28.40,28.45,28.05,175230.00
13/09/2017,28.25,SJS,27.50,28.40,27.35,130140.00
12/09/2017,27.75,SJS,28.00,28.05,27.00,104690.00
11/09/2017,27.80,SJS,26.90,28.20,26.90,253670.00
08/09/2017,26.85,SJS,26.80,26.90,26.65,82410.00
07/09/2017,26.60,SJS,26.80,27.20,26.60,129310.00
06/09/2017,26.50,SJS,26.40,26.70,26.40,106530.00
05/09/2017,26.70,SJS,26.80,26.80,26.50,46220.00
01/09/2017,26.80,SJS,26.55,26.80,26.30,147770.00
31/08/2017,26.60,SJS,26.90,26.90,26.50,164660.00
30/08/2017,26.70,SJS,26.90,27.00,26.50,174980.00
29/08/2017,26.80,SJS,26.40,26.90,26.30,163380.00
28/08/2017,26.90,SJS,26.90,27.00,26.30,163690.00
25/08/2017,26.90,SJS,27.50,27.70,26.90,97480.00
24/08/2017,27.20,SJS,27.20,27.30,26.90,157370.00
23/08/2017,27.20,SJS,27.25,27.40,27.20,38830.00
22/08/2017,27.40,SJS,27.40,27.75,27.40,37620.00
21/08/2017,27.80,SJS,27.60,28.00,27.55,98350.00
18/08/2017,27.80,SJS,27.00,27.80,27.00,82830.00
17/08/2017,27.00,SJS,27.40,27.40,27.00,74250.00
16/08/2017,27.40,SJS,27.40,27.70,27.00,8530.00
15/08/2017,27.50,SJS,27.50,27.85,27.40,33760.00
14/08/2017,27.70,SJS,27.80,28.00,27.50,136820.00
11/08/2017,27.80,SJS,27.50,27.80,27.00,67960.00
10/08/2017,27.50,SJS,27.65,27.85,27.50,96660.00
09/08/2017,27.90,SJS,28.30,28.30,27.60,62070.00
08/08/2017,27.90,SJS,28.45,28.45,27.70,209670.00
07/08/2017,28.35,SJS,28.00,28.50,27.90,175590.00
04/08/2017,27.85,SJS,28.20,28.20,27.85,110510.00
03/08/2017,28.15,SJS,27.80,28.20,27.70,60000.00
02/08/2017,28.10,SJS,28.20,28.55,28.00,165200.00
01/08/2017,28.60,SJS,28.80,29.10,28.60,99220.00
31/07/2017,29.10,SJS,28.60,29.20,28.00,335690.00
28/07/2017,28.20,SJS,27.50,28.20,27.40,116040.00
27/07/2017,27.50,SJS,27.30,27.70,27.30,105780.00
26/07/2017,27.30,SJS,26.70,27.30,26.40,116330.00
25/07/2017,26.70,SJS,27.60,27.75,26.70,146250.00
24/07/2017,27.60,SJS,27.55,27.90,27.55,131130.00
21/07/2017,27.95,SJS,28.00,28.30,27.60,124280.00
20/07/2017,28.20,SJS,28.00,28.30,28.00,103370.00
19/07/2017,28.20,SJS,28.40,28.50,28.20,85240.00
18/07/2017,28.30,SJS,28.40,28.45,28.00,110360.00
17/07/2017,28.45,SJS,28.30,28.90,28.20,270990.00
14/07/2017,28.20,SJS,27.80,28.40,27.80,352910.00
13/07/2017,27.90,SJS,27.85,28.60,27.85,353400.00
12/07/2017,27.90,SJS,27.50,27.90,27.50,60150.00
11/07/2017,27.60,SJS,27.60,27.70,27.40,62460.00
10/07/2017,27.60,SJS,27.60,28.10,27.30,224710.00
07/07/2017,27.80,SJS,27.70,27.90,27.65,138320.00
06/07/2017,28.00,SJS,28.00,28.10,27.90,112030.00
05/07/2017,28.00,SJS,28.00,28.35,27.95,123340.00
04/07/2017,27.90,SJS,28.10,28.20,27.90,134550.00
03/07/2017,28.30,SJS,28.20,28.55,28.00,167170.00
30/06/2017,28.30,SJS,28.45,28.60,28.25,68720.00
29/06/2017,28.45,SJS,28.60,28.70,28.45,60750.00
28/06/2017,28.70,SJS,28.70,28.80,28.60,53620.00
27/06/2017,28.70,SJS,28.50,28.80,28.10,291710.00
26/06/2017,28.30,SJS,28.80,28.80,28.30,117060.00
23/06/2017,28.90,SJS,28.70,29.15,28.50,242460.00
22/06/2017,28.50,SJS,28.15,29.00,28.15,248790.00
21/06/2017,28.20,SJS,28.10,28.50,28.05,177750.00
20/06/2017,28.45,SJS,28.55,28.60,28.25,137780.00
19/06/2017,28.55,SJS,29.00,29.00,28.15,299960.00
16/06/2017,28.90,SJS,28.50,28.90,28.50,73300.00
15/06/2017,28.65,SJS,28.10,28.70,28.10,100090.00
14/06/2017,28.10,SJS,28.00,28.10,27.70,108930.00
13/06/2017,28.00,SJS,27.85,28.30,27.70,232630.00
12/06/2017,28.10,SJS,28.20,28.30,27.80,413270.00
09/06/2017,28.30,SJS,28.50,28.65,28.20,185590.00
08/06/2017,28.45,SJS,28.40,29.00,28.40,134610.00
07/06/2017,28.55,SJS,29.00,29.40,28.40,270900.00
06/06/2017,29.20,SJS,28.50,29.40,28.30,75440.00
05/06/2017,28.65,SJS,29.50,29.50,28.65,127610.00
02/06/2017,29.50,SJS,28.20,29.50,27.80,316630.00
01/06/2017,28.50,SJS,29.50,29.50,28.40,96250.00
31/05/2017,29.50,SJS,30.40,30.50,29.00,137530.00
30/05/2017,30.00,SJS,30.70,30.90,29.00,261940.00
29/05/2017,30.60,SJS,31.10,31.40,30.10,370050.00
26/05/2017,30.90,SJS,30.80,31.40,30.80,286170.00
25/05/2017,30.80,SJS,30.00,31.40,30.00,664210.00
24/05/2017,29.80,SJS,28.20,30.40,28.20,262550.00
23/05/2017,28.80,SJS,29.00,29.25,28.50,123920.00
22/05/2017,29.00,SJS,30.25,30.30,28.50,484970.00
19/05/2017,30.50,SJS,30.05,30.70,30.05,584550.00
18/05/2017,30.25,SJS,30.25,30.80,30.25,339450.00
17/05/2017,30.80,SJS,30.90,30.90,29.90,414040.00
16/05/2017,30.90,SJS,31.30,32.30,30.70,575370.00
15/05/2017,31.15,SJS,30.40,31.45,30.30,633540.00
12/05/2017,30.25,SJS,31.10,31.25,30.20,544750.00
11/05/2017,31.15,SJS,30.65,31.70,30.60,521350.00
10/05/2017,30.90,SJS,29.80,31.15,29.20,593350.00
09/05/2017,29.80,SJS,29.05,30.40,29.05,772570.00
08/05/2017,29.05,SJS,29.50,29.70,29.00,604870.00
05/05/2017,28.40,SJS,27.90,29.30,27.80,542950.00
04/05/2017,27.55,SJS,27.55,27.95,27.40,116570.00
03/05/2017,27.90,SJS,27.90,27.95,27.35,121870.00
28/04/2017,27.90,SJS,28.45,28.45,27.90,241120.00
27/04/2017,28.15,SJS,28.00,28.55,27.75,329460.00
26/04/2017,27.90,SJS,27.30,28.00,27.30,156640.00
25/04/2017,27.30,SJS,27.05,27.50,27.05,255690.00
24/04/2017,27.30,SJS,28.10,28.50,27.30,302350.00
21/04/2017,28.70,SJS,28.10,28.95,27.90,106620.00
20/04/2017,28.50,SJS,29.40,29.50,28.50,157020.00
19/04/2017,29.40,SJS,28.50,29.80,28.05,674880.00
18/04/2017,28.50,SJS,29.00,29.00,27.50,209910.00
17/04/2017,29.00,SJS,29.50,30.20,29.00,328320.00
14/04/2017,29.10,SJS,29.60,30.70,29.00,495300.00
13/04/2017,29.10,SJS,27.20,29.10,27.20,815690.00
12/04/2017,27.20,SJS,27.20,27.25,26.85,169460.00
11/04/2017,27.20,SJS,26.50,27.70,26.50,531490.00
10/04/2017,26.70,SJS,27.05,27.10,26.70,114310.00
07/04/2017,26.95,SJS,27.00,27.00,26.70,167510.00
05/04/2017,27.00,SJS,27.00,27.60,26.95,343070.00
04/04/2017,26.95,SJS,26.80,26.95,26.70,67270.00
03/04/2017,26.80,SJS,26.90,27.25,26.70,37250.00
31/03/2017,26.90,SJS,26.45,27.50,26.45,450890.00
30/03/2017,26.20,SJS,26.20,26.60,26.15,48120.00
29/03/2017,26.10,SJS,26.05,26.50,26.05,64780.00
28/03/2017,26.05,SJS,26.15,26.50,25.90,121700.00
27/03/2017,26.60,SJS,25.80,26.60,25.80,112200.00
24/03/2017,26.15,SJS,26.85,26.85,26.05,226830.00
23/03/2017,26.75,SJS,26.70,27.35,26.60,195230.00
22/03/2017,27.10,SJS,27.05,27.80,27.05,658870.00
21/03/2017,27.50,SJS,28.00,28.00,27.10,134240.00
20/03/2017,27.70,SJS,27.60,27.70,27.50,529490.00
17/03/2017,27.20,SJS,27.00,27.70,26.90,283460.00
16/03/2017,27.00,SJS,26.90,27.30,26.50,339930.00
15/03/2017,26.90,SJS,26.70,27.30,26.50,518590.00
14/03/2017,26.50,SJS,26.30,26.65,26.30,51410.00
13/03/2017,27.00,SJS,26.10,27.00,26.00,276540.00
10/03/2017,26.40,SJS,26.90,27.10,26.10,280860.00
09/03/2017,26.80,SJS,26.40,27.15,26.40,653550.00
08/03/2017,26.45,SJS,26.50,26.90,26.10,255810.00
07/03/2017,26.50,SJS,26.00,26.70,25.90,442030.00
06/03/2017,25.80,SJS,25.50,26.00,25.50,126220.00
03/03/2017,25.30,SJS,25.35,25.50,25.20,90610.00
02/03/2017,25.50,SJS,25.30,26.00,25.10,273430.00
01/03/2017,25.30,SJS,25.80,26.10,25.20,272830.00
28/02/2017,25.85,SJS,25.75,26.50,25.70,266180.00
27/02/2017,26.00,SJS,25.70,26.30,25.70,243860.00
24/02/2017,25.70,SJS,25.50,26.00,25.05,423540.00
23/02/2017,25.50,SJS,25.45,25.90,25.20,406750.00
22/02/2017,25.30,SJS,24.80,25.40,24.40,395100.00
21/02/2017,24.80,SJS,25.00,25.40,24.70,359370.00
20/02/2017,24.80,SJS,24.80,25.00,24.00,277040.00
17/02/2017,24.90,SJS,23.55,25.00,23.30,385570.00
16/02/2017,23.50,SJS,23.50,24.00,23.40,209230.00
15/02/2017,23.20,SJS,22.65,23.50,22.65,240310.00
14/02/2017,22.65,SJS,22.80,23.00,22.50,125960.00
13/02/2017,23.10,SJS,23.20,23.20,22.90,125190.00
10/02/2017,23.20,SJS,22.85,23.30,22.85,75850.00
09/02/2017,22.80,SJS,22.30,22.80,22.30,165550.00
08/02/2017,22.25,SJS,22.65,22.65,22.25,148460.00
