DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,176.00,SLS,172.00,176.00,170.00,21120.00
28/12/2017,171.00,SLS,172.00,172.00,171.00,1331.00
27/12/2017,171.00,SLS,171.50,172.60,170.00,5900.00
26/12/2017,171.50,SLS,169.00,172.00,168.50,4920.00
25/12/2017,171.00,SLS,171.00,171.60,168.00,9900.00
22/12/2017,171.00,SLS,170.00,173.00,170.00,15360.00
21/12/2017,170.00,SLS,174.00,174.00,169.00,13820.00
20/12/2017,175.00,SLS,178.00,178.00,175.00,2830.00
19/12/2017,177.00,SLS,177.00,177.00,175.00,2720.00
18/12/2017,177.00,SLS,170.00,177.00,170.00,37601.00
15/12/2017,168.00,SLS,166.10,168.00,164.00,35470.00
14/12/2017,166.10,SLS,166.10,168.00,166.00,12840.00
13/12/2017,166.10,SLS,168.00,168.00,166.10,10500.00
12/12/2017,168.00,SLS,165.50,168.00,163.50,20400.00
11/12/2017,165.50,SLS,167.00,167.20,165.50,14000.00
08/12/2017,167.00,SLS,166.10,167.60,166.10,24600.00
07/12/2017,166.10,SLS,166.00,167.00,165.10,15100.00
06/12/2017,166.00,SLS,165.50,167.00,164.00,25550.00
05/12/2017,164.40,SLS,163.80,164.50,163.80,15100.00
04/12/2017,163.80,SLS,162.80,164.20,162.20,9540.00
01/12/2017,162.80,SLS,162.00,163.00,160.00,6550.00
30/11/2017,162.00,SLS,162.00,162.00,161.00,6500.00
29/11/2017,161.90,SLS,165.00,166.00,160.00,11400.00
28/11/2017,165.00,SLS,165.00,166.00,165.00,6400.00
27/11/2017,167.00,SLS,165.00,170.00,165.00,12610.00
24/11/2017,167.00,SLS,162.00,167.00,162.00,18700.00
23/11/2017,162.00,SLS,161.00,163.00,161.00,13500.00
22/11/2017,161.00,SLS,160.00,161.80,159.00,8700.00
21/11/2017,160.00,SLS,162.00,162.00,160.00,6100.00
20/11/2017,162.50,SLS,162.00,163.00,161.50,4138.00
17/11/2017,163.50,SLS,163.00,163.50,161.00,7501.00
16/11/2017,162.50,SLS,161.60,164.00,161.60,9100.00
15/11/2017,161.60,SLS,161.50,162.50,161.50,17900.00
14/11/2017,162.50,SLS,161.50,163.00,161.50,8400.00
13/11/2017,161.50,SLS,159.00,161.50,158.00,9300.00
10/11/2017,160.60,SLS,157.00,165.00,157.00,10451.00
09/11/2017,157.00,SLS,157.50,157.50,156.00,5200.00
08/11/2017,157.00,SLS,158.00,158.00,157.00,5100.00
07/11/2017,158.00,SLS,157.00,158.50,157.00,3960.00
06/11/2017,158.00,SLS,156.00,158.00,156.00,9100.00
03/11/2017,158.90,SLS,158.00,158.90,154.00,12200.00
02/11/2017,156.90,SLS,159.00,159.90,155.00,12500.00
01/11/2017,160.00,SLS,160.00,160.00,159.00,6145.00
31/10/2017,160.00,SLS,160.00,160.00,159.00,2400.00
30/10/2017,160.10,SLS,160.00,164.00,160.00,3910.00
27/10/2017,160.00,SLS,160.00,162.00,160.00,5300.00
26/10/2017,163.90,SLS,160.50,164.00,158.00,5680.00
25/10/2017,167.00,SLS,180.00,180.00,161.00,2500.00
24/10/2017,170.00,SLS,161.10,170.00,160.00,7400.00
23/10/2017,169.90,SLS,160.00,183.70,157.00,59380.00
20/10/2017,167.00,SLS,170.00,171.80,164.00,36000.00
19/10/2017,171.10,SLS,170.50,171.60,170.50,12300.00
18/10/2017,170.50,SLS,171.50,171.50,170.00,5610.00
17/10/2017,171.50,SLS,171.00,171.50,171.00,14330.00
16/10/2017,171.00,SLS,172.90,172.90,171.00,5000.00
13/10/2017,172.90,SLS,171.30,173.00,170.00,19600.00
12/10/2017,171.30,SLS,171.00,172.50,171.00,14930.00
11/10/2017,171.00,SLS,171.00,175.00,170.00,46900.00
10/10/2017,176.50,SLS,180.00,180.00,175.00,11040.00
09/10/2017,177.00,SLS,179.50,179.50,176.20,3610.00
06/10/2017,176.20,SLS,178.00,178.00,175.10,6500.00
05/10/2017,178.00,SLS,177.00,180.00,176.50,34494.00
04/10/2017,177.00,SLS,175.50,177.00,175.50,8600.00
03/10/2017,177.00,SLS,176.50,177.50,175.50,13910.00
02/10/2017,176.50,SLS,177.00,178.50,175.00,12080.00
29/09/2017,178.90,SLS,179.00,179.00,178.10,5000.00
28/09/2017,178.90,SLS,175.20,186.00,175.20,15110.00
27/09/2017,175.10,SLS,171.50,177.00,171.50,24580.00
26/09/2017,171.50,SLS,173.20,173.20,171.00,11426.00
25/09/2017,173.20,SLS,170.50,174.00,170.50,33330.00
22/09/2017,171.50,SLS,169.00,172.50,169.00,5310.00
