DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,26.60,SMC,27.20,27.20,26.40,47630.00
28/12/2017,26.75,SMC,26.20,27.30,26.10,27370.00
27/12/2017,26.10,SMC,26.70,26.70,26.00,107690.00
26/12/2017,26.70,SMC,27.50,27.55,26.70,71540.00
25/12/2017,27.05,SMC,27.65,27.80,27.05,28060.00
22/12/2017,27.30,SMC,27.50,27.90,27.30,33470.00
21/12/2017,27.70,SMC,27.85,28.00,27.00,18670.00
20/12/2017,27.85,SMC,26.90,28.00,26.90,98950.00
19/12/2017,27.00,SMC,27.00,27.00,26.60,84560.00
18/12/2017,27.00,SMC,27.40,27.40,26.70,66990.00
15/12/2017,27.20,SMC,27.40,27.40,26.60,71870.00
14/12/2017,27.20,SMC,27.35,27.40,26.10,54210.00
13/12/2017,27.00,SMC,26.90,27.50,26.70,27860.00
12/12/2017,26.65,SMC,26.00,26.80,25.30,148450.00
11/12/2017,26.10,SMC,27.70,27.90,26.10,123660.00
08/12/2017,28.00,SMC,28.40,29.10,28.00,110260.00
07/12/2017,28.40,SMC,27.70,28.40,27.70,167420.00
06/12/2017,27.70,SMC,27.00,28.20,26.50,134320.00
05/12/2017,26.80,SMC,27.35,27.50,26.80,487250.00
04/12/2017,27.35,SMC,26.00,27.55,25.70,317320.00
01/12/2017,26.00,SMC,25.40,26.05,25.30,219890.00
30/11/2017,25.10,SMC,25.00,25.30,24.80,205580.00
29/11/2017,25.30,SMC,25.10,25.30,24.90,189700.00
28/11/2017,25.10,SMC,24.65,25.25,24.50,233370.00
27/11/2017,24.20,SMC,23.80,24.50,23.50,83770.00
24/11/2017,23.75,SMC,22.90,23.75,22.90,122950.00
23/11/2017,22.95,SMC,23.00,23.65,22.95,112080.00
22/11/2017,23.00,SMC,24.05,24.05,23.00,200420.00
21/11/2017,24.05,SMC,24.20,24.75,23.00,86030.00
20/11/2017,24.20,SMC,24.00,24.90,24.00,122430.00
17/11/2017,24.20,SMC,25.80,25.80,24.20,59770.00
16/11/2017,25.20,SMC,25.00,25.30,24.90,268500.00
15/11/2017,25.30,SMC,25.80,25.85,25.00,106750.00
14/11/2017,25.80,SMC,25.30,25.85,25.00,440940.00
13/11/2017,25.25,SMC,25.00,25.40,24.70,401960.00
10/11/2017,25.00,SMC,24.30,25.05,23.75,392480.00
09/11/2017,24.30,SMC,23.30,24.40,23.30,193960.00
08/11/2017,24.10,SMC,23.80,24.10,23.30,165700.00
07/11/2017,23.70,SMC,23.50,23.85,23.40,362440.00
06/11/2017,23.30,SMC,23.10,23.40,23.10,29660.00
03/11/2017,23.10,SMC,22.70,23.20,22.70,355210.00
02/11/2017,22.70,SMC,21.90,22.75,21.90,180970.00
01/11/2017,22.40,SMC,23.00,23.20,22.30,22690.00
31/10/2017,22.85,SMC,22.15,23.00,22.15,103670.00
30/10/2017,22.40,SMC,22.50,22.80,22.40,162420.00
27/10/2017,22.80,SMC,23.20,23.20,22.40,35800.00
26/10/2017,22.50,SMC,23.40,23.40,22.40,19900.00
25/10/2017,23.00,SMC,22.40,23.20,22.30,33950.00
24/10/2017,22.40,SMC,22.50,22.70,22.00,45900.00
23/10/2017,22.50,SMC,23.00,23.20,22.50,133710.00
20/10/2017,23.10,SMC,23.40,23.90,23.00,110200.00
19/10/2017,23.50,SMC,24.00,24.00,23.50,119720.00
18/10/2017,23.65,SMC,23.80,24.00,23.60,184730.00
17/10/2017,23.60,SMC,24.00,24.20,23.60,201570.00
16/10/2017,23.70,SMC,24.20,24.45,23.50,160150.00
13/10/2017,24.00,SMC,23.10,24.20,23.10,445810.00
12/10/2017,22.90,SMC,23.40,23.40,22.90,101170.00
11/10/2017,23.00,SMC,23.40,23.90,23.00,184710.00
10/10/2017,23.40,SMC,23.20,23.40,22.65,116300.00
09/10/2017,22.60,SMC,22.50,22.85,22.40,75270.00
06/10/2017,22.80,SMC,23.00,23.00,22.50,89060.00
05/10/2017,22.80,SMC,23.00,23.00,22.60,33040.00
04/10/2017,23.00,SMC,22.00,23.00,22.00,65800.00
03/10/2017,22.25,SMC,22.35,22.65,22.25,83080.00
02/10/2017,22.35,SMC,22.30,22.70,22.20,47760.00
29/09/2017,22.30,SMC,22.50,22.70,22.10,58540.00
28/09/2017,22.50,SMC,22.70,23.10,22.50,100920.00
27/09/2017,22.70,SMC,23.10,23.10,22.60,154490.00
26/09/2017,23.15,SMC,23.00,23.15,22.75,80380.00
25/09/2017,23.00,SMC,23.60,23.60,23.00,114510.00
22/09/2017,23.50,SMC,23.80,23.95,23.40,282790.00
21/09/2017,23.65,SMC,23.60,23.80,23.50,238120.00
20/09/2017,23.60,SMC,23.60,23.90,23.60,95230.00
19/09/2017,23.70,SMC,24.00,24.10,22.65,189590.00
18/09/2017,24.05,SMC,24.30,24.30,23.90,111300.00
15/09/2017,24.00,SMC,24.10,24.10,23.70,73520.00
14/09/2017,23.80,SMC,23.95,24.25,23.70,128700.00
13/09/2017,24.10,SMC,23.65,24.45,23.65,102560.00
12/09/2017,23.65,SMC,23.80,23.90,23.50,107480.00
11/09/2017,23.80,SMC,24.10,24.40,23.80,166910.00
08/09/2017,24.00,SMC,23.90,24.00,23.65,268450.00
07/09/2017,23.60,SMC,23.20,23.90,23.10,278780.00
06/09/2017,23.20,SMC,23.30,23.40,23.05,104870.00
05/09/2017,23.30,SMC,23.50,23.75,23.00,171200.00
