DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,60.80,SSC,66.90,66.90,60.30,200.00
28/12/2017,64.00,SSC,64.00,67.90,64.00,420.00
27/12/2017,68.80,SSC,65.00,68.80,65.00,120.00
26/12/2017,69.80,SSC,64.10,70.00,64.00,240.00
25/12/2017,68.00,SSC,68.00,69.20,68.00,30.00
22/12/2017,64.70,SSC,64.70,64.70,64.70,190.00
21/12/2017,69.50,SSC,69.50,69.50,69.50,0.00
20/12/2017,69.50,SSC,69.50,69.50,69.50,0.00
19/12/2017,69.50,SSC,69.50,69.50,69.50,800.00
18/12/2017,70.00,SSC,65.00,70.00,65.00,3110.00
15/12/2017,69.80,SSC,69.80,69.80,69.80,10.00
14/12/2017,68.70,SSC,64.00,68.70,64.00,740.00
13/12/2017,68.00,SSC,69.80,69.80,68.00,110.00
12/12/2017,67.00,SSC,67.00,67.00,67.00,10.00
11/12/2017,67.10,SSC,67.20,67.20,65.00,220.00
08/12/2017,66.00,SSC,66.30,66.30,66.00,170.00
07/12/2017,62.20,SSC,66.30,66.60,61.40,60.00
06/12/2017,64.00,SSC,64.10,64.10,64.00,320.00
05/12/2017,67.90,SSC,67.90,67.90,67.90,10.00
04/12/2017,67.90,SSC,64.10,67.90,64.10,110.00
01/12/2017,67.00,SSC,61.30,67.00,61.30,400.00
30/11/2017,64.70,SSC,64.70,64.70,64.70,10.00
29/11/2017,69.30,SSC,66.10,69.30,66.10,80.00
28/11/2017,71.00,SSC,74.90,74.90,71.00,60.00
27/11/2017,70.00,SSC,70.00,70.00,64.00,570.00
24/11/2017,65.50,SSC,74.70,74.70,65.40,1910.00
23/11/2017,69.90,SSC,69.80,69.90,69.80,6090.00
22/11/2017,69.80,SSC,69.50,69.90,69.50,18310.00
21/11/2017,69.90,SSC,69.60,69.90,69.60,14010.00
20/11/2017,69.90,SSC,68.80,69.90,68.80,8000.00
17/11/2017,69.80,SSC,68.00,69.80,68.00,10010.00
16/11/2017,69.90,SSC,65.10,69.90,65.10,18010.00
15/11/2017,69.70,SSC,68.50,69.70,68.50,13500.00
14/11/2017,69.80,SSC,68.50,69.80,68.50,11100.00
13/11/2017,69.90,SSC,69.80,69.90,69.80,11000.00
