DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,5.90,STP,5.20,5.90,5.20,11260.00
28/12/2017,5.60,STP,5.60,5.60,5.60,0.00
27/12/2017,5.60,STP,5.60,5.60,5.60,2300.00
26/12/2017,5.20,STP,5.20,5.20,5.20,0.00
25/12/2017,5.20,STP,5.20,5.20,5.20,4572.00
22/12/2017,5.20,STP,5.20,5.20,5.20,0.00
21/12/2017,5.20,STP,5.20,5.20,5.20,2200.00
20/12/2017,5.20,STP,5.20,5.20,5.20,0.00
19/12/2017,5.20,STP,5.20,5.20,5.20,0.00
18/12/2017,5.20,STP,5.20,5.20,5.20,4039.00
15/12/2017,5.20,STP,5.20,5.20,5.20,0.00
14/12/2017,5.20,STP,5.20,5.20,5.20,0.00
13/12/2017,5.20,STP,5.20,5.20,5.20,0.00
12/12/2017,5.20,STP,5.20,5.20,5.20,0.00
11/12/2017,5.20,STP,5.20,5.20,5.20,100.00
08/12/2017,5.30,STP,5.30,5.30,5.30,0.00
07/12/2017,5.30,STP,5.30,5.30,5.30,0.00
06/12/2017,5.30,STP,5.30,5.30,5.30,0.00
05/12/2017,5.30,STP,5.30,5.30,5.30,3250.00
04/12/2017,5.10,STP,5.10,5.10,5.10,1190.00
01/12/2017,5.30,STP,5.30,5.30,5.30,0.00
30/11/2017,5.30,STP,5.00,5.30,5.00,7700.00
29/11/2017,5.00,STP,5.00,5.00,5.00,0.00
28/11/2017,5.00,STP,5.00,5.00,5.00,0.00
27/11/2017,5.00,STP,5.00,5.00,5.00,3000.00
24/11/2017,5.30,STP,5.30,5.30,5.30,1400.00
23/11/2017,4.90,STP,4.90,4.90,4.90,0.00
22/11/2017,4.90,STP,4.90,4.90,4.90,73.00
21/11/2017,4.90,STP,4.90,4.90,4.90,0.00
20/11/2017,4.90,STP,4.90,4.90,4.90,119.00
17/11/2017,5.00,STP,5.00,5.00,5.00,65.00
16/11/2017,5.00,STP,5.00,5.00,5.00,0.00
15/11/2017,5.00,STP,5.00,5.00,5.00,0.00
14/11/2017,5.00,STP,5.00,5.00,5.00,0.00
13/11/2017,5.00,STP,5.20,5.20,5.00,2880.00
10/11/2017,5.00,STP,5.00,5.00,5.00,100.00
09/11/2017,5.40,STP,5.40,5.40,5.40,0.00
08/11/2017,5.40,STP,5.40,5.40,5.40,100.00
07/11/2017,5.70,STP,5.70,5.70,5.70,0.00
06/11/2017,5.70,STP,5.70,5.70,5.70,0.00
03/11/2017,5.70,STP,5.30,5.70,5.20,12467.00
02/11/2017,5.30,STP,5.30,5.30,5.30,0.00
01/11/2017,5.30,STP,5.30,5.30,5.30,65.00
31/10/2017,5.30,STP,5.30,5.30,5.30,0.00
30/10/2017,5.30,STP,5.30,5.30,5.30,0.00
27/10/2017,5.30,STP,4.60,5.30,4.50,600.00
