DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,45.70,SVI,42.00,45.70,42.00,2080.00
28/12/2017,43.00,SVI,42.50,43.00,42.50,130.00
27/12/2017,40.50,SVI,40.50,40.50,40.50,0.00
26/12/2017,40.50,SVI,40.50,40.50,40.50,0.00
25/12/2017,40.50,SVI,40.50,40.50,40.50,0.00
22/12/2017,40.50,SVI,40.50,40.50,40.50,0.00
21/12/2017,40.50,SVI,40.50,40.50,40.50,0.00
20/12/2017,40.50,SVI,40.50,40.50,40.50,0.00
19/12/2017,40.50,SVI,40.50,40.50,40.50,0.00
18/12/2017,40.50,SVI,40.50,40.50,40.50,30.00
15/12/2017,42.80,SVI,41.00,42.80,41.00,2510.00
14/12/2017,40.65,SVI,40.65,40.65,40.65,0.00
13/12/2017,40.65,SVI,40.65,40.65,40.65,0.00
12/12/2017,40.65,SVI,42.00,43.15,40.40,10410.00
11/12/2017,40.40,SVI,42.40,42.40,40.30,740.00
08/12/2017,40.30,SVI,40.30,40.30,40.30,0.00
07/12/2017,40.30,SVI,40.30,40.30,40.30,0.00
06/12/2017,40.30,SVI,41.30,41.30,40.30,1300.00
05/12/2017,41.30,SVI,40.90,41.30,40.90,11890.00
04/12/2017,40.70,SVI,44.00,45.20,40.70,260.00
01/12/2017,43.00,SVI,43.00,43.00,43.00,0.00
30/11/2017,43.00,SVI,43.00,43.00,43.00,150.00
29/11/2017,45.60,SVI,42.00,45.80,42.00,2510.00
28/11/2017,44.00,SVI,44.00,44.00,44.00,0.00
27/11/2017,44.00,SVI,42.00,44.00,42.00,6090.00
24/11/2017,42.00,SVI,44.00,44.00,42.00,3790.00
23/11/2017,41.65,SVI,41.65,41.65,41.65,0.00
22/11/2017,41.65,SVI,44.00,44.00,41.65,2500.00
21/11/2017,41.70,SVI,43.40,43.40,41.70,2450.00
20/11/2017,42.00,SVI,43.80,44.00,42.00,7640.00
17/11/2017,43.30,SVI,43.30,43.30,43.30,2400.00
16/11/2017,42.00,SVI,43.00,45.00,42.00,13630.00
15/11/2017,42.20,SVI,42.50,45.00,42.20,2800.00
14/11/2017,42.10,SVI,42.10,42.10,42.10,0.00
13/11/2017,42.10,SVI,42.00,43.00,42.00,5400.00
10/11/2017,42.00,SVI,42.00,42.00,42.00,2400.00
09/11/2017,42.10,SVI,42.00,42.10,42.00,2900.00
08/11/2017,41.60,SVI,41.60,41.60,41.60,0.00
07/11/2017,41.60,SVI,41.60,41.60,41.60,0.00
06/11/2017,41.60,SVI,43.50,43.50,41.60,5050.00
03/11/2017,41.00,SVI,41.00,41.00,41.00,0.00
02/11/2017,41.00,SVI,41.00,41.00,41.00,5850.00
01/11/2017,41.00,SVI,41.00,41.00,41.00,4500.00
31/10/2017,41.60,SVI,41.60,41.60,41.60,10.00
30/10/2017,42.10,SVI,42.10,42.10,42.10,100.00
27/10/2017,43.50,SVI,43.50,43.50,43.50,50.00
26/10/2017,42.50,SVI,42.50,42.50,42.50,0.00
25/10/2017,42.50,SVI,45.80,45.80,42.50,3500.00
24/10/2017,45.50,SVI,45.00,45.50,42.00,9800.00
23/10/2017,44.00,SVI,43.00,45.00,43.00,5210.00
20/10/2017,43.00,SVI,43.00,44.90,43.00,7830.00
19/10/2017,42.00,SVI,42.00,42.00,42.00,0.00
18/10/2017,42.00,SVI,41.50,43.90,41.50,310.00
17/10/2017,42.00,SVI,42.00,42.00,42.00,400.00
16/10/2017,42.00,SVI,42.00,42.00,42.00,0.00
13/10/2017,42.00,SVI,42.00,42.00,42.00,0.00
12/10/2017,42.00,SVI,42.00,42.00,42.00,0.00
11/10/2017,42.00,SVI,42.00,42.00,42.00,0.00
10/10/2017,42.00,SVI,42.00,42.00,42.00,0.00
