DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,46.50,TAC,46.50,46.50,46.50,0.00
28/12/2017,46.50,TAC,43.30,47.05,43.30,1840.00
27/12/2017,44.00,TAC,44.20,44.50,44.00,280.00
26/12/2017,45.00,TAC,45.00,45.00,45.00,100.00
25/12/2017,45.00,TAC,45.00,45.00,45.00,80.00
22/12/2017,45.50,TAC,45.50,45.50,45.50,960.00
21/12/2017,45.50,TAC,45.50,45.50,45.50,0.00
20/12/2017,45.50,TAC,45.50,45.50,45.50,1070.00
19/12/2017,46.00,TAC,46.00,46.00,46.00,10.00
18/12/2017,45.00,TAC,44.95,45.00,44.90,1740.00
15/12/2017,45.00,TAC,45.00,45.00,45.00,250.00
14/12/2017,46.95,TAC,46.95,46.95,46.95,0.00
13/12/2017,46.95,TAC,46.95,46.95,46.95,0.00
12/12/2017,46.95,TAC,45.00,46.95,45.00,150.00
11/12/2017,46.95,TAC,46.00,46.95,46.00,110.00
08/12/2017,47.00,TAC,47.00,47.00,47.00,10.00
07/12/2017,47.00,TAC,46.00,47.00,45.00,6690.00
06/12/2017,46.90,TAC,45.05,46.90,45.00,1710.00
05/12/2017,46.00,TAC,46.50,46.50,46.00,4820.00
04/12/2017,47.00,TAC,46.00,47.00,46.00,5480.00
01/12/2017,46.40,TAC,46.40,46.40,46.40,0.00
30/11/2017,46.40,TAC,46.40,46.40,46.40,90.00
29/11/2017,46.40,TAC,46.40,46.40,46.40,5900.00
28/11/2017,46.40,TAC,46.40,46.40,46.40,5100.00
27/11/2017,46.00,TAC,46.00,46.00,45.50,2620.00
24/11/2017,47.00,TAC,47.00,47.00,47.00,0.00
23/11/2017,47.00,TAC,47.00,47.00,47.00,1400.00
22/11/2017,47.00,TAC,46.40,47.30,46.40,2480.00
21/11/2017,46.30,TAC,46.10,46.40,46.10,5710.00
20/11/2017,46.10,TAC,46.10,46.30,46.10,120.00
17/11/2017,45.90,TAC,45.80,45.90,45.80,220.00
16/11/2017,45.80,TAC,44.20,45.80,44.20,1030.00
15/11/2017,44.50,TAC,44.80,44.80,44.00,1050.00
14/11/2017,44.50,TAC,44.50,44.50,44.50,10.00
13/11/2017,45.00,TAC,45.00,45.00,45.00,690.00
10/11/2017,45.00,TAC,45.00,45.00,45.00,0.00
09/11/2017,45.00,TAC,45.00,45.00,45.00,700.00
08/11/2017,45.00,TAC,43.10,45.75,43.10,610.00
07/11/2017,43.00,TAC,43.00,43.00,43.00,0.00
06/11/2017,43.00,TAC,43.00,43.00,43.00,0.00
03/11/2017,43.00,TAC,43.05,43.05,43.00,100.00
02/11/2017,45.20,TAC,43.00,45.20,43.00,20.00
01/11/2017,45.20,TAC,45.15,45.20,45.15,240.00
31/10/2017,45.20,TAC,45.20,45.20,45.00,1200.00
30/10/2017,45.70,TAC,46.00,46.00,45.70,40.00
27/10/2017,45.00,TAC,43.55,45.00,43.50,270.00
26/10/2017,45.20,TAC,45.20,45.20,45.20,210.00
25/10/2017,45.10,TAC,46.20,46.20,45.10,2220.00
24/10/2017,46.10,TAC,46.00,46.10,46.00,930.00
23/10/2017,46.00,TAC,45.50,46.00,45.50,1370.00
20/10/2017,45.50,TAC,45.50,45.50,45.50,1690.00
19/10/2017,45.55,TAC,47.35,47.35,45.50,3550.00
18/10/2017,45.00,TAC,45.00,45.00,45.00,300.00
17/10/2017,45.00,TAC,46.70,46.70,45.00,220.00
16/10/2017,46.80,TAC,44.70,46.80,44.70,290.00
13/10/2017,45.60,TAC,45.60,45.60,44.65,630.00
12/10/2017,45.60,TAC,45.60,45.60,45.60,0.00
11/10/2017,45.60,TAC,46.50,46.50,45.60,280.00
10/10/2017,46.90,TAC,46.90,46.90,46.90,0.00
09/10/2017,46.90,TAC,46.90,46.90,46.90,0.00
06/10/2017,46.90,TAC,46.90,46.90,46.90,0.00
05/10/2017,46.90,TAC,46.90,46.90,46.90,0.00
04/10/2017,46.90,TAC,46.90,46.90,46.90,10.00
03/10/2017,46.00,TAC,46.00,46.00,46.00,310.00
02/10/2017,46.95,TAC,46.95,46.95,46.90,870.00
29/09/2017,47.00,TAC,47.00,47.00,47.00,20.00
28/09/2017,45.20,TAC,46.50,46.50,45.20,20.00
27/09/2017,45.15,TAC,45.15,45.15,45.15,50.00
26/09/2017,45.15,TAC,45.15,45.15,45.15,300.00
25/09/2017,46.20,TAC,46.20,46.30,46.20,110.00
22/09/2017,46.95,TAC,46.00,46.95,46.00,210.00
21/09/2017,47.20,TAC,46.50,47.20,46.50,460.00
20/09/2017,47.20,TAC,47.40,47.60,47.20,2530.00
19/09/2017,47.40,TAC,46.20,47.40,46.20,610.00
