DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,11.50,TKU,11.50,11.50,11.50,1100.00
28/12/2017,11.50,TKU,11.50,11.50,11.50,200.00
27/12/2017,11.50,TKU,11.50,11.50,11.50,2600.00
26/12/2017,11.50,TKU,11.50,11.50,11.50,3000.00
25/12/2017,11.50,TKU,11.50,11.50,11.50,524.00
22/12/2017,11.00,TKU,11.00,11.00,11.00,400.00
21/12/2017,11.00,TKU,11.00,11.00,11.00,0.00
20/12/2017,11.00,TKU,11.00,11.00,11.00,110.00
19/12/2017,12.00,TKU,12.00,12.00,12.00,500.00
18/12/2017,11.50,TKU,10.90,11.50,10.90,600.00
15/12/2017,11.80,TKU,11.80,11.80,11.80,0.00
14/12/2017,11.80,TKU,11.80,11.80,11.80,0.00
13/12/2017,11.80,TKU,11.80,11.80,11.80,0.00
12/12/2017,11.80,TKU,11.80,11.80,11.80,0.00
11/12/2017,11.80,TKU,11.80,11.80,11.80,0.00
08/12/2017,11.80,TKU,11.80,11.80,11.80,700.00
07/12/2017,11.80,TKU,12.40,12.40,11.80,263.00
06/12/2017,12.40,TKU,12.40,12.40,12.40,0.00
05/12/2017,12.40,TKU,12.40,12.40,12.40,0.00
04/12/2017,12.40,TKU,12.40,12.40,12.40,83.00
01/12/2017,12.40,TKU,12.40,12.40,12.40,103.00
30/11/2017,11.90,TKU,11.90,11.90,11.90,100.00
29/11/2017,11.90,TKU,11.90,11.90,11.90,0.00
28/11/2017,11.90,TKU,11.90,11.90,11.90,0.00
27/11/2017,11.90,TKU,11.80,11.90,11.80,200.00
24/11/2017,11.00,TKU,11.00,11.00,11.00,0.00
23/11/2017,11.00,TKU,10.50,11.00,10.50,5000.00
22/11/2017,10.00,TKU,10.80,10.80,10.00,1169.00
21/11/2017,10.80,TKU,12.00,12.00,10.80,1600.00
20/11/2017,12.00,TKU,12.00,12.00,12.00,3800.00
17/11/2017,12.50,TKU,12.50,12.50,12.50,0.00
16/11/2017,12.50,TKU,12.10,12.50,12.00,4004.00
15/11/2017,13.10,TKU,13.10,13.10,13.10,0.00
14/11/2017,13.10,TKU,13.10,13.10,13.10,0.00
13/11/2017,13.10,TKU,13.10,13.10,13.10,0.00
10/11/2017,13.10,TKU,12.10,13.10,12.00,1800.00
09/11/2017,13.20,TKU,13.20,13.20,13.20,0.00
08/11/2017,13.20,TKU,13.20,13.20,13.20,0.00
07/11/2017,13.20,TKU,13.20,13.20,13.20,0.00
06/11/2017,13.20,TKU,13.20,13.20,13.20,0.00
03/11/2017,13.20,TKU,13.20,13.20,13.20,0.00
02/11/2017,13.20,TKU,13.20,13.20,13.20,0.00
01/11/2017,13.20,TKU,13.20,13.20,13.20,400.00
31/10/2017,13.20,TKU,13.20,13.20,13.20,0.00
30/10/2017,13.20,TKU,13.20,13.20,13.20,0.00
27/10/2017,13.20,TKU,13.20,13.20,13.20,0.00
26/10/2017,13.20,TKU,13.20,13.20,13.20,100.00
25/10/2017,14.00,TKU,14.00,14.00,14.00,10.00
