DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,101.00,TLG,100.00,102.00,99.00,610.00
28/12/2017,102.00,TLG,96.30,102.00,96.20,320.00
27/12/2017,102.00,TLG,102.00,102.00,100.00,1380.00
26/12/2017,102.90,TLG,100.00,102.90,100.00,600.00
25/12/2017,103.20,TLG,103.20,103.20,103.20,20.00
22/12/2017,103.20,TLG,103.20,103.20,103.20,20.00
21/12/2017,102.00,TLG,103.40,103.40,102.00,15330.00
20/12/2017,99.10,TLG,102.00,102.00,97.00,2900.00
19/12/2017,102.50,TLG,102.50,102.50,102.50,0.00
18/12/2017,102.50,TLG,101.00,102.50,101.00,110.00
15/12/2017,102.40,TLG,102.40,102.40,102.40,210.00
14/12/2017,101.00,TLG,102.50,102.50,101.00,430.00
13/12/2017,101.00,TLG,101.00,102.20,100.00,1790.00
12/12/2017,100.00,TLG,101.40,101.40,100.00,780.00
11/12/2017,101.40,TLG,102.40,102.40,100.00,3910.00
08/12/2017,101.00,TLG,97.50,101.00,97.00,2470.00
07/12/2017,100.00,TLG,100.00,100.00,97.10,7450.00
06/12/2017,100.50,TLG,100.50,100.50,100.00,5220.00
05/12/2017,100.50,TLG,95.60,101.00,95.60,190.00
04/12/2017,99.00,TLG,99.00,99.00,97.00,2230.00
01/12/2017,96.90,TLG,95.50,96.90,95.10,5190.00
30/11/2017,96.90,TLG,95.80,97.90,95.80,1590.00
29/11/2017,96.00,TLG,97.00,97.00,94.40,1190.00
28/11/2017,98.00,TLG,98.00,99.00,98.00,3430.00
27/11/2017,98.90,TLG,100.00,101.00,92.50,5730.00
24/11/2017,99.00,TLG,99.00,99.90,91.20,11240.00
23/11/2017,98.00,TLG,98.00,98.00,95.20,1120.00
22/11/2017,98.50,TLG,100.00,100.00,98.50,2490.00
21/11/2017,99.00,TLG,98.90,100.00,98.00,20480.00
20/11/2017,98.00,TLG,98.00,98.00,98.00,10.00
17/11/2017,98.00,TLG,98.00,98.00,96.00,510.00
16/11/2017,99.00,TLG,99.00,99.00,99.00,0.00
15/11/2017,99.00,TLG,99.00,99.00,99.00,10.00
14/11/2017,99.00,TLG,99.00,99.00,99.00,0.00
13/11/2017,99.00,TLG,99.00,99.00,99.00,13360.00
10/11/2017,99.00,TLG,99.00,99.00,99.00,1410.00
09/11/2017,99.00,TLG,98.00,99.60,97.50,2610.00
08/11/2017,98.80,TLG,99.70,99.70,98.80,210.00
07/11/2017,98.80,TLG,99.00,99.60,98.70,1050.00
06/11/2017,98.80,TLG,98.80,98.80,98.80,20.00
03/11/2017,96.00,TLG,96.00,96.00,96.00,20.00
02/11/2017,98.00,TLG,97.90,99.00,95.00,13110.00
01/11/2017,98.00,TLG,97.90,98.00,96.00,2110.00
31/10/2017,97.90,TLG,98.80,98.90,95.10,280.00
30/10/2017,98.90,TLG,98.90,98.90,98.90,40.00
27/10/2017,100.00,TLG,99.00,100.00,99.00,940.00
26/10/2017,100.40,TLG,100.40,100.40,100.40,180.00
25/10/2017,99.00,TLG,95.30,99.40,95.30,3960.00
24/10/2017,99.00,TLG,102.20,102.20,95.40,930.00
23/10/2017,98.00,TLG,95.20,99.30,95.00,24450.00
20/10/2017,99.50,TLG,99.80,102.50,95.10,1890.00
19/10/2017,99.90,TLG,96.30,99.90,96.30,830.00
18/10/2017,100.70,TLG,95.00,100.70,95.00,5130.00
17/10/2017,95.00,TLG,93.00,96.90,93.00,5560.00
16/10/2017,97.00,TLG,95.10,97.00,95.00,600.00
13/10/2017,97.00,TLG,95.00,97.60,94.80,4490.00
12/10/2017,97.50,TLG,96.00,97.50,96.00,50.00
11/10/2017,97.70,TLG,97.00,97.70,97.00,550.00
10/10/2017,97.70,TLG,95.80,97.90,95.50,370.00
09/10/2017,97.80,TLG,95.50,97.90,95.10,180.00
06/10/2017,98.00,TLG,96.00,98.00,96.00,960.00
05/10/2017,98.00,TLG,98.00,98.00,98.00,0.00
04/10/2017,98.00,TLG,99.90,99.90,97.00,250.00
03/10/2017,98.00,TLG,98.00,98.00,96.20,820.00
02/10/2017,99.00,TLG,98.90,101.50,98.00,1110.00
29/09/2017,99.00,TLG,100.00,102.00,98.50,610.00
28/09/2017,99.00,TLG,98.00,102.00,97.80,1600.00
27/09/2017,97.70,TLG,98.10,98.10,97.70,1440.00
26/09/2017,98.00,TLG,97.00,98.00,97.00,870.00
25/09/2017,98.00,TLG,96.00,98.00,96.00,1120.00
22/09/2017,100.00,TLG,98.90,103.00,97.00,420.00
21/09/2017,98.60,TLG,96.00,98.80,96.00,1150.00
20/09/2017,96.30,TLG,95.80,96.80,95.30,2090.00
19/09/2017,95.80,TLG,94.00,96.00,94.00,430.00
18/09/2017,96.90,TLG,97.50,97.50,91.20,19880.00
15/09/2017,98.00,TLG,95.50,98.00,95.50,850.00
14/09/2017,98.40,TLG,98.80,98.80,96.00,220.00
13/09/2017,97.10,TLG,98.00,99.90,95.00,4340.00
12/09/2017,100.90,TLG,100.90,100.90,100.90,140.00
11/09/2017,99.00,TLG,101.90,101.90,93.00,3030.00
08/09/2017,99.00,TLG,101.50,101.50,96.00,720.00
07/09/2017,97.60,TLG,100.00,102.00,97.60,2060.00
06/09/2017,100.00,TLG,105.50,105.50,100.00,2010.00
05/09/2017,100.00,TLG,100.00,100.90,93.90,3330.00
01/09/2017,100.90,TLG,99.00,100.90,98.00,580.00
31/08/2017,101.00,TLG,97.50,101.00,97.50,2930.00
30/08/2017,101.50,TLG,101.50,101.50,101.50,440.00
