DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,45.00,TMS,45.00,45.50,44.15,3950.00
28/12/2017,46.00,TMS,44.05,46.00,43.55,1770.00
27/12/2017,45.00,TMS,46.90,46.90,44.50,7440.00
26/12/2017,44.65,TMS,44.50,47.00,44.50,3540.00
25/12/2017,46.90,TMS,43.65,48.50,43.65,2110.00
22/12/2017,46.60,TMS,44.35,46.60,43.50,11480.00
21/12/2017,44.35,TMS,46.45,46.45,44.25,11740.00
20/12/2017,46.60,TMS,46.00,46.80,44.10,2130.00
19/12/2017,46.50,TMS,46.00,46.50,45.90,2150.00
18/12/2017,45.95,TMS,46.40,46.95,45.00,2310.00
15/12/2017,47.00,TMS,47.50,47.65,46.95,3140.00
14/12/2017,46.30,TMS,44.80,46.30,44.80,1230.00
13/12/2017,43.65,TMS,46.50,46.50,43.65,18410.00
12/12/2017,46.90,TMS,45.55,47.00,45.55,3080.00
11/12/2017,46.90,TMS,46.20,46.90,46.20,1870.00
08/12/2017,47.00,TMS,46.90,47.00,46.90,1470.00
07/12/2017,47.00,TMS,47.00,47.00,46.80,2820.00
06/12/2017,47.00,TMS,47.00,47.20,47.00,450.00
05/12/2017,47.50,TMS,47.00,47.50,47.00,3550.00
04/12/2017,47.50,TMS,47.00,47.50,47.00,6860.00
01/12/2017,47.75,TMS,47.50,47.75,46.00,22370.00
30/11/2017,47.50,TMS,48.60,48.60,47.20,2070.00
29/11/2017,47.50,TMS,47.00,48.70,47.00,27800.00
28/11/2017,47.30,TMS,47.00,49.70,47.00,32640.00
27/11/2017,50.00,TMS,50.00,50.00,49.10,16180.00
24/11/2017,50.50,TMS,51.00,51.00,49.50,1440.00
23/11/2017,50.00,TMS,48.50,50.00,48.50,10320.00
22/11/2017,50.50,TMS,51.40,51.40,50.00,7560.00
21/11/2017,50.00,TMS,51.00,51.00,50.00,11890.00
20/11/2017,50.00,TMS,50.00,50.00,48.60,14720.00
17/11/2017,50.00,TMS,50.00,50.00,47.65,7430.00
16/11/2017,50.00,TMS,52.00,53.00,50.00,33390.00
15/11/2017,50.00,TMS,51.00,51.00,50.00,27120.00
14/11/2017,52.50,TMS,54.50,54.50,52.50,27900.00
13/11/2017,55.00,TMS,55.00,55.00,55.00,0.00
10/11/2017,55.00,TMS,56.00,56.00,55.00,40.00
09/11/2017,54.90,TMS,54.90,54.90,54.90,0.00
08/11/2017,54.90,TMS,54.90,54.90,54.90,790.00
07/11/2017,55.00,TMS,53.60,55.50,53.60,610.00
06/11/2017,57.50,TMS,57.50,57.50,57.50,0.00
03/11/2017,57.50,TMS,56.00,57.50,55.40,210.00
02/11/2017,59.20,TMS,59.20,59.20,59.20,10000.00
01/11/2017,57.30,TMS,57.30,57.30,57.30,1600.00
31/10/2017,57.30,TMS,58.90,59.00,57.30,120.00
30/10/2017,57.40,TMS,54.60,57.40,54.00,16830.00
27/10/2017,57.10,TMS,56.50,58.90,56.00,5420.00
26/10/2017,56.00,TMS,55.00,56.40,55.00,1960.00
25/10/2017,55.60,TMS,55.60,55.70,55.60,110.00
24/10/2017,57.80,TMS,58.90,58.90,55.00,1830.00
23/10/2017,57.80,TMS,56.40,57.80,56.00,6800.00
20/10/2017,54.60,TMS,55.10,56.00,54.50,6290.00
19/10/2017,58.00,TMS,56.00,58.00,54.30,150.00
18/10/2017,58.50,TMS,58.40,58.50,58.40,2220.00
17/10/2017,58.50,TMS,58.50,58.50,58.50,70.00
16/10/2017,57.50,TMS,58.50,58.50,57.00,6300.00
13/10/2017,59.70,TMS,59.70,59.70,59.70,20.00
12/10/2017,58.30,TMS,58.30,58.30,56.10,5940.00
11/10/2017,57.00,TMS,57.00,58.50,57.00,1540.00
10/10/2017,58.50,TMS,58.60,58.60,58.50,5060.00
09/10/2017,58.50,TMS,58.40,58.50,58.40,20.00
06/10/2017,58.50,TMS,58.50,58.50,58.50,8420.00
05/10/2017,58.50,TMS,58.20,58.50,58.20,24570.00
04/10/2017,58.20,TMS,58.20,58.20,58.20,670.00
03/10/2017,61.30,TMS,58.20,61.30,58.20,200.00
02/10/2017,61.60,TMS,58.30,61.60,58.30,130.00
29/09/2017,62.40,TMS,62.40,62.40,62.40,200.00
28/09/2017,61.60,TMS,61.00,61.60,61.00,100.00
27/09/2017,62.50,TMS,62.50,62.50,62.50,10.00
26/09/2017,61.50,TMS,61.50,61.50,60.00,3100.00
25/09/2017,58.50,TMS,59.00,61.80,58.50,410.00
22/09/2017,61.80,TMS,60.60,61.80,58.00,460.00
21/09/2017,61.00,TMS,61.00,61.00,61.00,0.00
20/09/2017,61.00,TMS,59.80,61.00,57.00,3680.00
19/09/2017,61.00,TMS,61.00,61.00,61.00,70.00
18/09/2017,63.60,TMS,63.60,63.60,63.60,0.00
15/09/2017,63.60,TMS,63.60,63.60,63.60,0.00
14/09/2017,63.60,TMS,63.60,63.60,63.60,10.00
13/09/2017,60.00,TMS,62.00,62.50,60.00,1450.00
12/09/2017,61.80,TMS,60.00,61.80,60.00,830.00
11/09/2017,60.40,TMS,60.50,60.50,60.40,550.00
08/09/2017,60.50,TMS,59.30,60.50,59.30,3220.00
07/09/2017,59.20,TMS,59.20,59.20,59.20,0.00
06/09/2017,59.20,TMS,58.70,60.50,58.70,3380.00
05/09/2017,60.00,TMS,60.00,60.00,60.00,390.00
01/09/2017,61.80,TMS,62.30,63.20,61.80,1250.00
31/08/2017,59.10,TMS,63.00,63.00,58.50,370.00
30/08/2017,61.50,TMS,60.00,61.50,60.00,1660.00
29/08/2017,61.90,TMS,61.20,64.00,60.70,5500.00
28/08/2017,64.20,TMS,61.80,64.20,61.80,740.00
25/08/2017,60.00,TMS,60.00,60.00,60.00,580.00
24/08/2017,60.00,TMS,64.00,64.00,60.00,2980.00
23/08/2017,60.10,TMS,60.10,60.10,60.10,50.00
22/08/2017,60.00,TMS,62.00,62.00,60.00,1610.00
21/08/2017,62.30,TMS,62.30,62.30,62.30,0.00
18/08/2017,62.30,TMS,62.90,62.90,59.10,5740.00
17/08/2017,61.00,TMS,63.00,63.00,60.00,4420.00
16/08/2017,63.00,TMS,63.00,63.00,63.00,10.00
15/08/2017,61.90,TMS,61.90,63.00,60.00,3150.00
14/08/2017,60.00,TMS,60.00,62.10,60.00,240.00
11/08/2017,60.00,TMS,59.30,62.50,59.30,1660.00
10/08/2017,62.90,TMS,62.90,62.90,62.90,100.00
09/08/2017,60.00,TMS,63.40,63.40,60.00,2510.00
08/08/2017,61.00,TMS,61.00,63.50,61.00,3230.00
07/08/2017,63.70,TMS,64.00,64.00,60.10,4210.00
04/08/2017,64.00,TMS,64.40,64.40,60.10,460.00
03/08/2017,64.40,TMS,60.70,64.40,60.70,6590.00
02/08/2017,64.90,TMS,66.80,66.80,62.20,4850.00
01/08/2017,66.80,TMS,67.00,67.00,66.80,510.00
31/07/2017,67.00,TMS,67.30,67.30,63.00,6280.00
28/07/2017,63.00,TMS,63.00,63.10,62.00,15590.00
27/07/2017,59.00,TMS,58.50,60.00,58.50,2500.00
26/07/2017,58.00,TMS,58.00,58.00,58.00,5860.00
25/07/2017,60.00,TMS,60.00,60.00,60.00,0.00
24/07/2017,60.00,TMS,63.80,63.80,58.00,10120.00
21/07/2017,59.90,TMS,58.60,59.90,58.00,4870.00
20/07/2017,60.00,TMS,60.00,60.00,60.00,100.00
19/07/2017,62.00,TMS,62.00,62.00,62.00,220.00
18/07/2017,61.00,TMS,60.90,61.50,59.00,1090.00
17/07/2017,58.50,TMS,60.50,61.40,58.50,640.00
14/07/2017,58.50,TMS,62.00,62.00,58.00,750.00
13/07/2017,62.00,TMS,62.00,62.00,62.00,0.00
12/07/2017,62.00,TMS,61.40,62.00,61.40,600.00
11/07/2017,59.00,TMS,59.00,59.00,59.00,140.00
10/07/2017,59.00,TMS,59.00,61.80,59.00,890.00
07/07/2017,62.00,TMS,57.10,62.00,56.50,130.00
06/07/2017,60.00,TMS,62.00,62.00,60.00,650.00
05/07/2017,63.00,TMS,57.80,63.00,57.80,410.00
04/07/2017,62.00,TMS,60.00,62.00,58.00,900.00
03/07/2017,62.00,TMS,64.00,64.00,60.00,890.00
30/06/2017,64.00,TMS,58.00,64.00,58.00,990.00
29/06/2017,62.00,TMS,63.00,63.00,62.00,1470.00
28/06/2017,63.00,TMS,64.00,64.00,63.00,860.00
27/06/2017,64.00,TMS,64.00,64.00,64.00,20.00
26/06/2017,64.00,TMS,62.00,64.00,62.00,250.00
23/06/2017,61.90,TMS,62.50,62.50,61.90,1170.00
22/06/2017,62.00,TMS,62.00,62.00,62.00,20.00
21/06/2017,62.00,TMS,57.90,62.00,57.90,210.00
20/06/2017,62.00,TMS,62.00,62.00,62.00,2310.00
19/06/2017,62.50,TMS,62.50,62.50,62.50,0.00
16/06/2017,62.50,TMS,62.50,62.50,62.50,0.00
15/06/2017,62.50,TMS,62.50,62.50,62.00,1330.00
14/06/2017,62.50,TMS,62.50,62.50,62.50,500.00
13/06/2017,62.50,TMS,62.50,62.50,62.50,0.00
12/06/2017,62.50,TMS,62.50,62.50,62.50,1650.00
09/06/2017,62.50,TMS,63.00,63.00,61.00,1200.00
08/06/2017,59.50,TMS,59.50,59.50,59.50,1000.00
07/06/2017,62.90,TMS,62.90,62.90,62.90,0.00
06/06/2017,62.90,TMS,62.90,62.90,62.90,0.00
05/06/2017,62.90,TMS,59.50,64.00,59.50,7530.00
02/06/2017,62.90,TMS,60.50,63.00,59.50,8250.00
01/06/2017,61.00,TMS,60.00,63.10,59.50,15690.00
31/05/2017,59.00,TMS,58.50,59.00,58.00,8660.00
30/05/2017,58.00,TMS,59.50,59.50,58.00,1010.00
29/05/2017,58.00,TMS,60.00,60.00,58.00,4510.00
26/05/2017,57.50,TMS,57.00,58.00,57.00,4900.00
25/05/2017,57.00,TMS,57.50,57.50,57.00,4000.00
24/05/2017,58.50,TMS,58.50,58.50,58.50,0.00
23/05/2017,58.50,TMS,58.10,58.50,57.50,1800.00
22/05/2017,58.00,TMS,58.00,58.00,58.00,510.00
19/05/2017,58.00,TMS,56.10,58.00,56.10,230.00
