DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,35.30,TNA,35.00,38.00,35.00,13630.00
28/12/2017,35.60,TNA,35.60,35.60,35.60,0.00
27/12/2017,35.60,TNA,36.00,36.50,35.10,8920.00
26/12/2017,35.80,TNA,36.85,36.85,35.00,2640.00
25/12/2017,36.40,TNA,35.50,36.40,35.10,4450.00
22/12/2017,36.60,TNA,36.70,36.90,36.00,2510.00
21/12/2017,36.70,TNA,36.00,36.80,36.00,37330.00
20/12/2017,36.00,TNA,36.90,36.90,35.90,570.00
19/12/2017,36.40,TNA,35.90,36.85,35.80,35480.00
18/12/2017,35.50,TNA,35.55,35.60,34.70,30350.00
15/12/2017,34.90,TNA,35.00,35.35,34.20,1700.00
14/12/2017,34.95,TNA,34.80,35.40,34.30,13110.00
13/12/2017,34.90,TNA,35.00,35.00,34.20,15110.00
12/12/2017,35.10,TNA,35.40,35.50,33.60,8150.00
11/12/2017,35.10,TNA,35.70,35.70,35.10,2680.00
08/12/2017,35.80,TNA,35.70,35.95,35.35,10820.00
07/12/2017,35.40,TNA,35.50,35.60,35.05,2490.00
06/12/2017,35.65,TNA,35.95,35.95,35.00,11440.00
05/12/2017,35.30,TNA,35.30,35.95,35.00,23140.00
04/12/2017,35.70,TNA,35.50,35.95,35.50,7590.00
01/12/2017,35.40,TNA,35.50,35.50,35.30,14610.00
30/11/2017,35.40,TNA,35.80,35.90,35.30,9360.00
29/11/2017,35.40,TNA,35.20,36.00,35.20,2600.00
28/11/2017,35.20,TNA,35.40,35.50,35.20,9220.00
27/11/2017,35.40,TNA,34.70,35.40,34.70,5970.00
24/11/2017,35.40,TNA,35.30,35.50,35.00,310.00
23/11/2017,35.30,TNA,35.70,35.70,34.60,11510.00
22/11/2017,35.40,TNA,35.40,35.70,35.00,6340.00
21/11/2017,35.40,TNA,36.00,36.00,35.00,12040.00
20/11/2017,35.50,TNA,35.95,35.95,35.50,2730.00
17/11/2017,36.00,TNA,36.30,36.40,35.50,9220.00
16/11/2017,36.10,TNA,36.40,36.40,35.50,5800.00
15/11/2017,35.80,TNA,36.00,36.50,35.50,6840.00
14/11/2017,35.90,TNA,35.80,36.00,35.30,24130.00
13/11/2017,35.40,TNA,34.60,35.40,34.55,21010.00
10/11/2017,34.35,TNA,34.80,34.80,34.10,10850.00
09/11/2017,34.40,TNA,34.90,35.50,34.40,30900.00
08/11/2017,34.40,TNA,34.10,36.00,33.90,39340.00
07/11/2017,34.10,TNA,34.00,35.00,34.00,26300.00
06/11/2017,34.50,TNA,34.00,35.00,34.00,37210.00
03/11/2017,34.00,TNA,33.40,34.40,32.70,63040.00
02/11/2017,32.60,TNA,34.00,34.00,32.30,46490.00
01/11/2017,34.00,TNA,35.40,36.00,34.00,41940.00
31/10/2017,36.00,TNA,36.00,37.20,35.70,38530.00
30/10/2017,37.40,TNA,37.50,37.50,36.80,15980.00
27/10/2017,37.90,TNA,37.30,38.00,36.50,14950.00
26/10/2017,38.00,TNA,38.30,38.50,38.00,11670.00
25/10/2017,38.55,TNA,38.50,39.00,38.50,9670.00
24/10/2017,38.95,TNA,39.90,39.90,38.10,8090.00
23/10/2017,39.40,TNA,39.10,39.50,38.70,3470.00
20/10/2017,39.75,TNA,39.90,40.00,39.50,7790.00
