DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,117.00,TRA,116.00,117.00,115.90,2490.00
28/12/2017,116.00,TRA,116.00,116.00,116.00,2350.00
27/12/2017,116.00,TRA,118.00,118.00,116.00,6360.00
26/12/2017,118.00,TRA,116.00,118.00,116.00,7190.00
25/12/2017,117.00,TRA,116.00,117.40,116.00,6460.00
22/12/2017,117.00,TRA,115.60,117.90,115.60,4840.00
21/12/2017,117.00,TRA,119.00,119.00,116.00,6860.00
20/12/2017,119.00,TRA,119.00,119.00,115.50,350.00
19/12/2017,118.50,TRA,119.10,120.00,118.50,1910.00
18/12/2017,119.00,TRA,117.00,121.00,116.50,8580.00
15/12/2017,116.50,TRA,116.00,116.50,115.50,1480.00
14/12/2017,116.00,TRA,115.50,116.00,115.00,1880.00
13/12/2017,115.50,TRA,115.50,115.90,115.50,900.00
12/12/2017,115.50,TRA,115.50,115.50,114.50,3850.00
11/12/2017,116.00,TRA,116.00,116.40,115.50,5950.00
08/12/2017,116.00,TRA,116.00,116.00,115.10,650.00
07/12/2017,115.30,TRA,115.00,117.20,115.00,3130.00
06/12/2017,115.00,TRA,117.50,117.50,115.00,6900.00
05/12/2017,115.00,TRA,117.00,118.00,115.00,17500.00
04/12/2017,118.60,TRA,116.00,118.60,115.00,43830.00
01/12/2017,119.00,TRA,119.80,119.80,115.00,29460.00
30/11/2017,119.50,TRA,118.00,119.50,109.80,10400.00
29/11/2017,118.00,TRA,119.00,120.00,118.00,13090.00
28/11/2017,120.00,TRA,120.00,120.00,119.00,1630.00
27/11/2017,120.00,TRA,121.00,121.00,119.50,5200.00
24/11/2017,121.00,TRA,119.00,121.00,119.00,8690.00
23/11/2017,120.00,TRA,118.70,120.00,118.70,3880.00
22/11/2017,119.30,TRA,120.00,120.00,119.00,4050.00
21/11/2017,120.00,TRA,122.00,122.00,120.00,5450.00
20/11/2017,121.30,TRA,119.00,122.00,119.00,1810.00
17/11/2017,121.30,TRA,121.40,121.40,120.00,1870.00
16/11/2017,121.40,TRA,121.50,121.50,120.00,4070.00
15/11/2017,121.50,TRA,122.00,122.00,120.00,740.00
14/11/2017,122.00,TRA,119.00,124.00,119.00,1570.00
13/11/2017,119.00,TRA,119.00,119.00,118.00,3580.00
10/11/2017,123.00,TRA,115.30,124.00,115.30,1590.00
09/11/2017,121.00,TRA,121.00,121.00,119.40,4360.00
08/11/2017,121.00,TRA,125.00,125.00,121.00,1040.00
07/11/2017,125.00,TRA,123.30,125.00,118.00,17360.00
06/11/2017,123.30,TRA,124.00,124.50,123.30,28590.00
03/11/2017,132.50,TRA,122.00,132.50,118.00,934260.00
02/11/2017,125.00,TRA,119.50,125.00,119.50,22060.00
01/11/2017,119.90,TRA,118.50,119.90,117.00,11170.00
31/10/2017,117.50,TRA,117.00,117.50,115.00,5120.00
30/10/2017,117.20,TRA,117.00,117.20,117.00,410.00
27/10/2017,117.20,TRA,117.00,117.20,117.00,2590.00
26/10/2017,119.00,TRA,119.90,119.90,117.00,7770.00
25/10/2017,120.00,TRA,119.00,120.00,119.00,14740.00
24/10/2017,119.50,TRA,121.00,121.00,119.00,3870.00
23/10/2017,121.00,TRA,118.00,122.00,118.00,35630.00
20/10/2017,117.50,TRA,117.50,118.00,116.50,8430.00
19/10/2017,116.50,TRA,116.50,116.50,116.50,1580.00
18/10/2017,117.00,TRA,115.00,117.80,115.00,4650.00
17/10/2017,115.00,TRA,115.50,115.50,114.50,9700.00
16/10/2017,115.50,TRA,114.40,115.50,114.40,12970.00
13/10/2017,114.50,TRA,114.50,114.50,114.30,1100.00
12/10/2017,114.50,TRA,116.00,116.00,114.50,6430.00
11/10/2017,116.40,TRA,116.00,116.50,116.00,4400.00
10/10/2017,116.80,TRA,116.50,116.90,116.50,3880.00
09/10/2017,116.50,TRA,116.50,116.50,116.50,1500.00
06/10/2017,116.50,TRA,116.00,116.50,116.00,2000.00
05/10/2017,117.00,TRA,117.00,117.00,116.50,480.00
04/10/2017,116.00,TRA,115.00,116.00,115.00,1150.00
03/10/2017,115.10,TRA,115.00,116.10,115.00,1000.00
02/10/2017,116.80,TRA,117.80,117.90,116.80,830.00
29/09/2017,117.80,TRA,118.00,118.00,116.10,440.00
28/09/2017,118.00,TRA,117.00,118.10,116.90,23280.00
27/09/2017,117.00,TRA,117.00,117.00,116.50,9170.00
26/09/2017,116.50,TRA,117.00,117.00,116.50,26480.00
25/09/2017,117.00,TRA,117.00,117.00,116.00,4950.00
22/09/2017,117.00,TRA,116.00,117.00,112.10,110690.00
21/09/2017,117.00,TRA,117.30,117.40,116.00,4030.00
20/09/2017,117.10,TRA,117.10,117.10,117.10,1680.00
19/09/2017,117.20,TRA,117.20,117.30,117.10,3930.00
18/09/2017,117.00,TRA,115.90,117.50,115.90,13960.00
15/09/2017,115.00,TRA,114.50,115.20,114.30,3830.00
14/09/2017,115.00,TRA,115.00,115.00,114.50,5280.00
13/09/2017,114.90,TRA,114.00,114.90,114.00,2600.00
12/09/2017,113.20,TRA,115.00,115.00,113.20,31840.00
11/09/2017,113.20,TRA,114.10,115.70,113.20,72250.00
08/09/2017,113.00,TRA,113.00,115.00,112.50,23840.00
07/09/2017,115.00,TRA,114.00,115.90,113.10,5210.00
06/09/2017,115.00,TRA,115.00,115.60,113.10,12340.00
05/09/2017,115.60,TRA,116.70,116.70,115.00,3180.00
01/09/2017,116.00,TRA,116.20,116.20,114.70,3310.00
31/08/2017,116.90,TRA,116.00,116.90,114.60,320.00
30/08/2017,116.90,TRA,113.10,116.90,113.10,1700.00
29/08/2017,116.90,TRA,115.50,116.90,114.60,12660.00
28/08/2017,117.00,TRA,117.00,118.50,117.00,13330.00
25/08/2017,118.00,TRA,118.00,118.00,118.00,4340.00
24/08/2017,118.00,TRA,119.00,119.00,117.50,1900.00
23/08/2017,119.00,TRA,114.20,119.00,114.20,2120.00
22/08/2017,119.70,TRA,119.80,119.80,118.00,10480.00
21/08/2017,119.80,TRA,120.00,120.00,119.00,640.00
18/08/2017,120.00,TRA,119.00,120.00,118.20,13760.00
17/08/2017,119.90,TRA,119.90,119.90,119.90,130.00
16/08/2017,120.00,TRA,119.00,120.00,118.50,34990.00
15/08/2017,118.50,TRA,120.00,120.00,118.00,21080.00
14/08/2017,120.00,TRA,118.00,120.00,118.00,12550.00
11/08/2017,119.10,TRA,119.00,120.00,119.00,18870.00
10/08/2017,120.00,TRA,120.00,120.00,119.00,16410.00
09/08/2017,120.00,TRA,119.00,120.00,118.20,33460.00
08/08/2017,120.30,TRA,119.90,120.30,119.00,11260.00
07/08/2017,119.50,TRA,120.00,120.00,119.00,13570.00
04/08/2017,121.00,TRA,122.00,122.00,121.00,14370.00
03/08/2017,121.50,TRA,119.00,122.50,119.00,48850.00
02/08/2017,119.00,TRA,120.00,120.00,118.50,4210.00
01/08/2017,119.00,TRA,122.90,122.90,119.00,4660.00
31/07/2017,120.00,TRA,120.00,120.00,118.30,12930.00
28/07/2017,120.00,TRA,123.50,123.50,120.00,10620.00
27/07/2017,120.50,TRA,125.00,125.00,120.50,6510.00
26/07/2017,120.50,TRA,119.80,123.00,119.00,18840.00
25/07/2017,119.80,TRA,119.00,122.00,119.00,13080.00
24/07/2017,122.30,TRA,127.00,127.00,121.00,15770.00
21/07/2017,127.00,TRA,131.00,136.50,127.00,176420.00
20/07/2017,136.50,TRA,135.90,142.00,135.80,53880.00
19/07/2017,135.80,TRA,132.80,135.80,132.00,48050.00
18/07/2017,132.80,TRA,126.40,132.80,126.10,48160.00
17/07/2017,126.40,TRA,126.00,126.70,126.00,17820.00
14/07/2017,125.70,TRA,122.80,127.00,122.00,121090.00
13/07/2017,122.80,TRA,122.00,122.80,121.60,4000.00
12/07/2017,122.00,TRA,122.50,122.50,122.00,10100.00
11/07/2017,123.00,TRA,123.00,123.40,122.70,19850.00
10/07/2017,122.50,TRA,123.90,124.50,122.50,20800.00
07/07/2017,124.00,TRA,123.00,124.00,123.00,1240.00
06/07/2017,124.00,TRA,124.10,124.10,123.80,20310.00
05/07/2017,124.00,TRA,123.00,124.00,122.80,24800.00
04/07/2017,123.40,TRA,124.60,124.60,122.00,18980.00
03/07/2017,124.60,TRA,121.00,125.00,121.00,6560.00
30/06/2017,124.60,TRA,124.80,124.80,123.10,15040.00
29/06/2017,123.10,TRA,124.00,124.20,123.00,20350.00
28/06/2017,124.50,TRA,125.00,125.00,123.40,28050.00
27/06/2017,123.20,TRA,121.00,123.40,121.00,54310.00
26/06/2017,121.00,TRA,121.00,121.10,120.00,20610.00
23/06/2017,121.00,TRA,120.00,121.00,120.00,47090.00
22/06/2017,121.30,TRA,121.40,122.00,121.00,33980.00
21/06/2017,121.30,TRA,121.30,124.00,121.30,36640.00
20/06/2017,123.30,TRA,124.00,125.00,123.00,32370.00
19/06/2017,122.00,TRA,125.00,126.00,118.20,19000.00
16/06/2017,125.00,TRA,125.00,128.00,125.00,34040.00
15/06/2017,120.10,TRA,111.50,120.10,109.70,40450.00
14/06/2017,112.30,TRA,109.00,112.30,109.00,20640.00
13/06/2017,108.90,TRA,108.90,109.20,108.50,13290.00
12/06/2017,108.80,TRA,107.00,109.00,107.00,1100.00
09/06/2017,108.80,TRA,107.00,109.00,107.00,10150.00
08/06/2017,107.00,TRA,105.00,107.00,104.80,7330.00
07/06/2017,105.00,TRA,105.00,105.00,104.00,5080.00
06/06/2017,105.00,TRA,105.00,105.00,104.00,11320.00
05/06/2017,104.00,TRA,104.60,104.60,104.00,10680.00
02/06/2017,104.60,TRA,105.00,105.30,104.50,15510.00
01/06/2017,105.20,TRA,105.10,106.00,105.00,7440.00
31/05/2017,105.10,TRA,106.90,107.00,105.10,5450.00
30/05/2017,106.80,TRA,105.00,107.00,105.00,5440.00
29/05/2017,106.90,TRA,106.80,107.00,103.00,1780.00
26/05/2017,105.10,TRA,104.00,105.90,104.00,4350.00
25/05/2017,105.00,TRA,106.00,107.00,105.00,10440.00
24/05/2017,105.00,TRA,104.10,105.50,104.10,2840.00
23/05/2017,105.00,TRA,104.70,105.00,104.40,6240.00
22/05/2017,105.00,TRA,105.70,105.70,104.00,9180.00
19/05/2017,104.00,TRA,107.00,107.00,103.10,5930.00
18/05/2017,107.00,TRA,102.60,108.00,102.60,11890.00
17/05/2017,108.00,TRA,108.50,108.50,106.70,6300.00
16/05/2017,108.00,TRA,105.50,110.00,105.50,16560.00
15/05/2017,105.00,TRA,103.20,107.00,103.20,17350.00
12/05/2017,124.00,TRA,124.50,124.50,123.00,7750.00
11/05/2017,124.50,TRA,124.00,125.00,123.80,5940.00
10/05/2017,123.90,TRA,123.80,123.90,123.30,3970.00
09/05/2017,123.10,TRA,123.50,124.00,122.50,3240.00
08/05/2017,123.50,TRA,122.60,124.00,122.00,8900.00
05/05/2017,122.60,TRA,125.00,125.10,122.30,9470.00
04/05/2017,125.70,TRA,125.90,126.00,125.00,7290.00
03/05/2017,125.00,TRA,125.00,126.00,122.20,22960.00
28/04/2017,124.00,TRA,118.50,125.50,118.50,33990.00
27/04/2017,118.00,TRA,118.00,120.00,117.00,21830.00
26/04/2017,118.00,TRA,117.50,118.20,117.10,9770.00
25/04/2017,117.50,TRA,118.00,118.00,117.00,7630.00
24/04/2017,118.00,TRA,116.50,118.50,116.50,19760.00
21/04/2017,116.50,TRA,116.00,116.90,116.00,5700.00
20/04/2017,116.40,TRA,116.00,116.50,116.00,2990.00
19/04/2017,115.60,TRA,115.00,115.60,114.50,5490.00
18/04/2017,114.50,TRA,114.10,114.50,113.80,4440.00
17/04/2017,115.00,TRA,114.60,115.00,114.00,3380.00
14/04/2017,115.10,TRA,114.30,115.50,114.20,4710.00
13/04/2017,115.50,TRA,115.00,115.70,115.00,2600.00
12/04/2017,115.00,TRA,114.90,115.90,114.90,5060.00
11/04/2017,115.90,TRA,116.00,116.50,115.00,2240.00
10/04/2017,117.20,TRA,115.00,117.20,113.80,5890.00
07/04/2017,115.00,TRA,115.00,116.50,114.00,1520.00
05/04/2017,117.00,TRA,116.00,117.40,113.00,15920.00
04/04/2017,116.00,TRA,116.50,117.00,115.00,21080.00
03/04/2017,118.00,TRA,119.10,119.10,115.00,13560.00
31/03/2017,119.10,TRA,119.00,119.40,116.00,8560.00
30/03/2017,119.00,TRA,114.70,120.50,114.70,14890.00
29/03/2017,114.90,TRA,112.00,114.90,111.80,39200.00
28/03/2017,112.00,TRA,116.70,116.70,112.00,45070.00
27/03/2017,115.80,TRA,117.00,117.00,111.90,67700.00
24/03/2017,118.70,TRA,115.00,118.90,115.00,1200.00
23/03/2017,114.90,TRA,115.10,117.60,114.90,30060.00
22/03/2017,115.10,TRA,122.50,122.50,115.10,26290.00
21/03/2017,122.50,TRA,126.90,126.90,122.00,3220.00
20/03/2017,122.00,TRA,120.00,122.80,120.00,13450.00
17/03/2017,117.50,TRA,120.00,120.00,117.50,7650.00
16/03/2017,120.00,TRA,120.90,120.90,119.00,3110.00
15/03/2017,118.80,TRA,120.00,121.00,118.00,3070.00
14/03/2017,118.00,TRA,116.30,119.00,116.30,1940.00
13/03/2017,117.00,TRA,118.00,119.00,115.50,3380.00
