DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,28.80,TRC,28.90,28.90,28.40,9020.00
28/12/2017,28.70,TRC,28.50,28.90,28.50,14320.00
27/12/2017,28.40,TRC,29.50,29.50,28.40,11470.00
26/12/2017,28.00,TRC,27.90,28.30,27.90,29860.00
25/12/2017,28.30,TRC,28.35,28.35,28.15,7310.00
22/12/2017,28.35,TRC,27.90,28.40,27.90,2650.00
21/12/2017,28.20,TRC,28.10,28.35,28.10,18910.00
20/12/2017,28.35,TRC,28.30,28.45,28.30,7280.00
19/12/2017,28.50,TRC,28.25,28.50,28.25,1760.00
18/12/2017,28.60,TRC,28.60,28.60,28.30,34360.00
15/12/2017,28.60,TRC,28.60,28.60,28.20,31550.00
14/12/2017,28.60,TRC,28.05,28.60,27.50,25910.00
13/12/2017,28.60,TRC,28.10,28.60,28.10,13100.00
12/12/2017,28.60,TRC,28.70,28.70,28.00,8510.00
11/12/2017,28.70,TRC,28.45,28.75,28.40,14880.00
08/12/2017,28.60,TRC,28.90,28.90,28.35,11250.00
07/12/2017,28.70,TRC,28.65,28.80,28.40,11620.00
06/12/2017,28.55,TRC,28.70,28.70,28.40,19140.00
05/12/2017,28.60,TRC,28.95,29.05,28.60,22700.00
04/12/2017,28.95,TRC,28.20,29.00,28.10,28510.00
01/12/2017,28.80,TRC,29.00,29.00,28.50,10160.00
30/11/2017,29.00,TRC,28.70,29.30,28.70,41390.00
29/11/2017,28.60,TRC,28.50,28.70,28.30,25450.00
28/11/2017,28.40,TRC,28.40,28.50,28.30,29210.00
27/11/2017,28.40,TRC,28.10,28.60,28.10,21150.00
24/11/2017,28.50,TRC,28.60,28.80,27.90,23160.00
23/11/2017,28.60,TRC,27.70,28.80,27.50,68810.00
22/11/2017,27.70,TRC,27.70,27.80,27.40,36680.00
21/11/2017,27.70,TRC,27.70,27.70,27.50,32000.00
20/11/2017,27.70,TRC,27.50,27.70,27.50,28020.00
17/11/2017,27.60,TRC,27.50,27.70,27.50,10410.00
16/11/2017,27.70,TRC,27.40,27.70,27.40,10510.00
15/11/2017,27.40,TRC,27.80,27.80,27.40,23140.00
14/11/2017,27.80,TRC,27.60,27.80,27.40,21930.00
13/11/2017,27.95,TRC,28.20,28.20,27.50,24120.00
10/11/2017,28.10,TRC,27.50,28.10,27.50,16410.00
09/11/2017,27.70,TRC,27.75,27.75,27.50,19690.00
08/11/2017,27.75,TRC,27.80,27.80,27.60,13110.00
07/11/2017,27.70,TRC,27.90,28.00,27.55,11180.00
06/11/2017,27.90,TRC,27.80,27.90,27.50,5790.00
03/11/2017,27.80,TRC,28.00,28.00,27.30,19290.00
02/11/2017,27.80,TRC,28.10,28.25,27.75,42910.00
01/11/2017,28.00,TRC,28.00,28.40,27.90,18010.00
31/10/2017,28.00,TRC,28.00,28.20,28.00,9990.00
30/10/2017,28.00,TRC,28.60,28.60,28.00,19390.00
27/10/2017,28.50,TRC,28.40,28.60,28.30,13490.00
26/10/2017,28.40,TRC,28.30,28.50,28.00,6220.00
25/10/2017,28.50,TRC,28.50,28.60,28.50,14810.00
24/10/2017,28.50,TRC,28.40,28.55,28.40,20730.00
23/10/2017,28.30,TRC,28.75,28.75,28.30,71080.00
20/10/2017,28.60,TRC,28.70,28.70,28.40,22660.00
19/10/2017,28.70,TRC,28.50,28.75,28.30,11660.00
18/10/2017,28.80,TRC,28.70,28.90,28.60,19030.00
17/10/2017,28.50,TRC,28.40,28.50,28.30,31540.00
16/10/2017,28.50,TRC,28.40,28.70,28.35,23120.00
13/10/2017,28.80,TRC,28.80,29.00,28.60,46100.00
12/10/2017,28.75,TRC,28.35,28.80,28.35,103930.00
11/10/2017,28.45,TRC,28.35,28.80,28.35,12120.00
10/10/2017,28.50,TRC,29.00,29.00,28.50,131310.00
09/10/2017,28.90,TRC,28.55,29.00,28.40,18770.00
06/10/2017,28.55,TRC,29.05,29.20,28.55,34540.00
05/10/2017,28.90,TRC,28.90,29.10,28.80,31270.00
04/10/2017,28.70,TRC,28.30,29.50,28.30,45390.00
03/10/2017,28.30,TRC,28.35,28.60,28.10,94490.00
02/10/2017,28.30,TRC,28.35,28.45,28.30,88260.00
29/09/2017,28.40,TRC,28.60,28.60,28.30,42270.00
28/09/2017,28.75,TRC,28.50,28.80,28.50,73490.00
27/09/2017,28.60,TRC,28.55,28.70,28.40,72360.00
26/09/2017,28.65,TRC,28.40,28.70,28.40,27570.00
25/09/2017,28.40,TRC,28.30,28.70,28.30,92840.00
22/09/2017,28.30,TRC,28.40,28.40,28.30,21040.00
21/09/2017,28.50,TRC,28.30,28.70,28.30,20060.00
20/09/2017,28.30,TRC,28.35,28.50,28.25,16130.00
19/09/2017,28.35,TRC,28.25,28.45,28.25,54330.00
18/09/2017,28.55,TRC,28.25,28.80,28.25,9830.00
15/09/2017,28.30,TRC,28.50,28.60,28.10,19110.00
14/09/2017,28.50,TRC,28.60,28.70,28.50,44950.00
13/09/2017,28.60,TRC,28.60,29.00,28.30,23920.00
12/09/2017,28.75,TRC,28.60,28.90,28.40,39060.00
11/09/2017,28.60,TRC,28.70,29.00,28.60,33960.00
08/09/2017,29.00,TRC,29.30,29.45,29.00,45180.00
07/09/2017,29.10,TRC,29.30,29.75,29.10,64300.00
06/09/2017,29.10,TRC,28.70,29.20,28.50,66360.00
05/09/2017,28.60,TRC,28.70,29.20,28.60,45630.00
01/09/2017,28.55,TRC,28.55,28.55,28.55,3800.00
31/08/2017,28.55,TRC,28.70,28.70,28.30,13130.00
30/08/2017,28.55,TRC,28.10,28.60,28.10,43490.00
29/08/2017,28.30,TRC,27.95,28.50,27.95,12700.00
28/08/2017,28.30,TRC,28.00,28.40,27.95,44020.00
25/08/2017,28.00,TRC,28.05,28.60,28.00,44000.00
24/08/2017,28.10,TRC,28.70,28.90,28.10,16340.00
23/08/2017,28.15,TRC,28.20,28.45,28.05,5110.00
22/08/2017,28.60,TRC,28.70,28.70,28.00,96840.00
21/08/2017,29.00,TRC,28.70,29.00,28.60,5060.00
18/08/2017,28.80,TRC,29.30,29.30,28.60,30630.00
17/08/2017,29.30,TRC,29.40,29.90,29.10,264950.00
16/08/2017,29.00,TRC,29.30,29.30,29.00,3380.00
15/08/2017,29.05,TRC,28.70,29.30,28.70,14520.00
14/08/2017,29.05,TRC,29.05,29.05,29.00,8310.00
11/08/2017,29.05,TRC,28.90,29.10,28.50,27110.00
