DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
10/04/2012,1.90,TRI,1.90,1.90,1.90,0.00
09/04/2012,1.80,TRI,1.80,1.80,1.80,2020.00
06/04/2012,1.90,TRI,1.90,1.90,1.90,730.00
05/04/2012,2.00,TRI,2.00,2.00,2.00,3000.00
04/04/2012,2.10,TRI,2.10,2.10,2.10,0.00
03/04/2012,2.10,TRI,2.10,2.10,2.10,1000.00
30/03/2012,2.20,TRI,2.20,2.20,2.20,160.00
29/03/2012,2.30,TRI,2.30,2.30,2.30,110.00
28/03/2012,2.20,TRI,2.20,2.20,2.20,0.00
27/03/2012,2.20,TRI,2.20,2.20,2.20,210.00
26/03/2012,2.30,TRI,2.30,2.30,2.30,11900.00
23/03/2012,2.20,TRI,2.20,2.20,2.20,1700.00
22/03/2012,2.10,TRI,2.10,2.10,2.10,2730.00
21/03/2012,2.00,TRI,2.00,2.00,2.00,1610.00
20/03/2012,1.90,TRI,1.90,1.90,1.90,2000.00
19/03/2012,1.80,TRI,1.80,1.80,1.80,1100.00
16/03/2012,1.90,TRI,1.90,1.90,1.90,1000.00
15/03/2012,2.00,TRI,2.00,2.00,2.00,2200.00
14/03/2012,1.90,TRI,1.90,1.90,1.90,1600.00
13/03/2012,1.90,TRI,1.90,1.90,1.90,1640.00
12/03/2012,2.00,TRI,2.00,2.00,2.00,1400.00
09/03/2012,1.90,TRI,1.90,1.90,1.90,7910.00
08/03/2012,1.80,TRI,1.80,1.80,1.80,5200.00
07/03/2012,1.90,TRI,1.90,1.90,1.90,6120.00
06/03/2012,1.80,TRI,1.80,1.80,1.80,1410.00
05/03/2012,1.90,TRI,1.90,1.90,1.90,4800.00
02/03/2012,1.80,TRI,1.80,1.80,1.80,610.00
01/03/2012,1.80,TRI,1.80,1.80,1.80,6310.00
29/02/2012,1.70,TRI,1.70,1.70,1.70,8380.00
28/02/2012,1.80,TRI,1.80,1.80,1.80,10.00
27/02/2012,1.90,TRI,1.90,1.90,1.90,10.00
24/02/2012,2.00,TRI,2.00,2.00,2.00,3000.00
23/02/2012,2.10,TRI,2.10,2.10,2.10,3800.00
22/02/2012,2.00,TRI,2.00,2.00,2.00,1480.00
21/02/2012,1.90,TRI,1.90,1.90,1.90,3560.00
20/02/2012,1.80,TRI,1.80,1.80,1.80,200.00
17/02/2012,1.70,TRI,1.70,1.70,1.70,1000.00
16/02/2012,1.70,TRI,1.70,1.70,1.70,5000.00
15/02/2012,1.70,TRI,1.70,1.70,1.70,3000.00
14/02/2012,1.70,TRI,1.70,1.70,1.70,660.00
13/02/2012,1.60,TRI,1.60,1.60,1.60,5070.00
10/02/2012,1.70,TRI,1.70,1.70,1.70,3720.00
09/02/2012,1.80,TRI,1.80,1.80,1.80,0.00
08/02/2012,1.80,TRI,1.80,1.80,1.80,3600.00
07/02/2012,1.80,TRI,1.80,1.80,1.80,240.00
06/02/2012,1.80,TRI,1.80,1.80,1.80,10.00
03/02/2012,1.90,TRI,1.90,1.90,1.90,10.00
02/02/2012,1.80,TRI,1.80,1.80,1.80,400.00
01/02/2012,1.90,TRI,1.90,1.90,1.90,400.00
31/01/2012,2.00,TRI,2.00,2.00,2.00,400.00
30/01/2012,2.00,TRI,2.00,2.00,2.00,30.00
20/01/2012,2.00,TRI,2.00,2.00,2.00,240.00
19/01/2012,2.00,TRI,2.00,2.00,2.00,0.00
18/01/2012,2.00,TRI,2.00,2.00,2.00,10.00
17/01/2012,2.00,TRI,2.00,2.00,2.00,20.00
16/01/2012,1.90,TRI,1.90,1.90,1.90,30.00
13/01/2012,2.00,TRI,2.00,2.00,2.00,0.00
12/01/2012,2.00,TRI,2.00,2.00,2.00,0.00
11/01/2012,2.00,TRI,2.00,2.00,2.00,0.00
10/01/2012,2.00,TRI,2.00,2.00,2.00,0.00
09/01/2012,2.00,TRI,2.00,2.00,2.00,0.00
06/01/2012,2.00,TRI,2.00,2.00,2.00,0.00
05/01/2012,2.00,TRI,2.00,2.00,2.00,40.00
04/01/2012,2.10,TRI,2.10,2.10,2.10,1800.00
03/01/2012,2.00,TRI,2.00,2.00,2.00,50.00
30/12/2011,1.90,TRI,1.90,1.90,1.90,4530.00
29/12/2011,1.80,TRI,1.80,1.80,1.80,30.00
