DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,11.00,TYA,11.00,11.00,10.80,6640.00
28/12/2017,10.90,TYA,10.70,10.90,10.65,6930.00
27/12/2017,11.00,TYA,10.70,11.00,10.70,2130.00
26/12/2017,11.00,TYA,10.70,11.00,10.70,40.00
25/12/2017,11.00,TYA,11.00,11.00,11.00,0.00
22/12/2017,11.00,TYA,10.90,11.00,10.70,7070.00
21/12/2017,11.00,TYA,11.00,11.00,11.00,50.00
20/12/2017,10.90,TYA,10.90,11.00,10.80,7450.00
19/12/2017,11.00,TYA,10.80,11.00,10.60,7240.00
18/12/2017,10.80,TYA,10.50,10.80,10.50,11550.00
15/12/2017,10.80,TYA,10.90,11.10,10.80,14660.00
14/12/2017,10.90,TYA,11.00,11.00,10.05,9360.00
13/12/2017,10.80,TYA,10.65,10.95,10.15,18770.00
12/12/2017,10.90,TYA,10.70,10.90,10.70,3360.00
11/12/2017,10.90,TYA,10.70,11.00,10.60,4190.00
08/12/2017,11.00,TYA,11.00,11.00,10.80,1050.00
07/12/2017,11.00,TYA,11.05,11.05,11.00,20.00
06/12/2017,11.05,TYA,11.00,11.05,11.00,7760.00
05/12/2017,11.10,TYA,10.80,11.25,10.80,8300.00
04/12/2017,11.00,TYA,11.20,11.20,11.00,16900.00
01/12/2017,11.35,TYA,11.30,11.35,11.00,2820.00
30/11/2017,11.35,TYA,11.10,11.65,10.70,28450.00
29/11/2017,11.00,TYA,10.80,11.00,10.70,35470.00
28/11/2017,11.00,TYA,11.00,11.00,11.00,300.00
27/11/2017,11.00,TYA,10.85,11.00,10.70,16270.00
24/11/2017,10.95,TYA,10.90,11.00,10.70,13910.00
23/11/2017,11.00,TYA,11.00,11.00,10.75,7870.00
22/11/2017,11.00,TYA,10.60,11.00,10.60,15540.00
21/11/2017,11.10,TYA,10.75,11.10,10.60,13660.00
20/11/2017,10.75,TYA,11.35,11.35,10.75,10070.00
17/11/2017,11.20,TYA,11.10,11.25,10.80,150.00
16/11/2017,11.00,TYA,11.30,11.30,10.90,22080.00
15/11/2017,11.20,TYA,11.10,11.20,11.00,10770.00
14/11/2017,11.00,TYA,11.25,11.30,10.70,23220.00
13/11/2017,11.10,TYA,11.30,11.30,10.90,12900.00
10/11/2017,11.00,TYA,11.30,11.30,10.70,49360.00
09/11/2017,11.00,TYA,11.30,11.30,11.00,15600.00
08/11/2017,11.30,TYA,11.30,11.30,11.00,8890.00
07/11/2017,11.05,TYA,11.30,11.30,11.00,7060.00
06/11/2017,11.40,TYA,11.45,11.50,11.00,15070.00
03/11/2017,11.30,TYA,11.50,11.50,11.00,8590.00
02/11/2017,11.40,TYA,11.70,11.70,11.30,740.00
01/11/2017,11.40,TYA,11.60,11.80,11.40,18330.00
31/10/2017,11.80,TYA,11.40,11.80,11.00,14470.00
30/10/2017,11.30,TYA,11.00,11.40,11.00,18580.00
27/10/2017,11.30,TYA,11.40,11.40,11.10,9740.00
26/10/2017,11.40,TYA,11.85,11.85,11.20,46660.00
25/10/2017,11.50,TYA,11.70,11.70,11.40,22240.00
24/10/2017,11.50,TYA,11.50,11.60,11.20,38610.00
23/10/2017,11.50,TYA,11.70,11.90,10.90,22600.00
20/10/2017,11.65,TYA,11.70,11.70,11.20,4370.00
19/10/2017,11.70,TYA,11.95,11.95,11.30,15890.00
18/10/2017,11.80,TYA,11.50,11.85,11.30,51170.00
17/10/2017,11.20,TYA,10.80,11.30,10.80,38650.00
16/10/2017,11.10,TYA,11.10,11.50,11.00,5530.00
13/10/2017,10.90,TYA,10.70,11.00,10.65,2780.00
12/10/2017,11.00,TYA,11.20,11.20,10.65,120.00
11/10/2017,10.90,TYA,10.70,10.90,10.70,620.00
10/10/2017,11.10,TYA,10.80,11.20,10.70,1580.00
09/10/2017,11.10,TYA,11.10,11.10,11.10,6430.00
06/10/2017,11.00,TYA,11.00,11.00,11.00,0.00
05/10/2017,11.00,TYA,11.10,11.10,10.85,6010.00
04/10/2017,11.00,TYA,11.00,11.00,11.00,0.00
03/10/2017,11.00,TYA,11.00,11.00,10.50,5530.00
02/10/2017,11.10,TYA,10.60,11.20,10.60,370.00
29/09/2017,11.15,TYA,11.00,11.15,10.65,9880.00
28/09/2017,11.00,TYA,11.10,11.10,10.60,350.00
27/09/2017,10.65,TYA,11.00,11.20,10.65,19820.00
26/09/2017,11.20,TYA,11.00,11.20,11.00,590.00
25/09/2017,11.30,TYA,10.80,11.90,10.80,5750.00
22/09/2017,11.20,TYA,11.00,11.70,10.70,5620.00
21/09/2017,11.00,TYA,10.70,11.00,10.70,8470.00
20/09/2017,11.00,TYA,11.00,11.00,10.70,4570.00
19/09/2017,11.00,TYA,11.00,11.20,10.65,5810.00
18/09/2017,11.00,TYA,10.90,11.20,10.80,1990.00
15/09/2017,10.70,TYA,10.65,11.00,10.65,10530.00
14/09/2017,11.00,TYA,10.90,11.00,10.70,5000.00
13/09/2017,10.90,TYA,10.90,10.90,10.90,7100.00
12/09/2017,10.90,TYA,10.80,10.90,10.70,70.00
11/09/2017,11.00,TYA,10.75,11.00,10.75,1020.00
08/09/2017,11.00,TYA,10.60,11.00,10.60,13930.00
07/09/2017,11.00,TYA,11.00,11.10,10.80,4630.00
06/09/2017,11.10,TYA,10.90,11.10,10.90,6370.00
05/09/2017,11.00,TYA,10.90,11.00,10.90,8470.00
01/09/2017,11.10,TYA,11.10,11.10,11.10,580.00
31/08/2017,11.10,TYA,11.20,11.20,11.10,2050.00
30/08/2017,10.90,TYA,11.00,11.80,10.90,8240.00
29/08/2017,11.20,TYA,10.65,11.30,10.65,1520.00
28/08/2017,11.30,TYA,11.30,11.30,11.30,0.00
25/08/2017,11.30,TYA,11.00,11.30,11.00,1190.00
24/08/2017,11.30,TYA,10.70,11.30,10.70,550.00
23/08/2017,11.30,TYA,10.90,11.30,10.90,3910.00
22/08/2017,11.30,TYA,11.00,11.30,11.00,70.00
21/08/2017,11.30,TYA,11.50,11.50,11.10,320.00
18/08/2017,11.50,TYA,11.20,11.50,11.00,36770.00
17/08/2017,11.20,TYA,10.70,11.40,10.70,27320.00
16/08/2017,11.00,TYA,11.10,11.50,11.00,20010.00
15/08/2017,11.50,TYA,11.50,12.00,11.00,14910.00
14/08/2017,11.50,TYA,11.50,11.50,11.00,21120.00
11/08/2017,11.50,TYA,11.55,11.95,10.90,28470.00
10/08/2017,11.20,TYA,11.55,11.70,11.20,20440.00
09/08/2017,11.55,TYA,11.10,12.15,11.10,17640.00
08/08/2017,11.40,TYA,11.50,11.60,11.10,48690.00
07/08/2017,11.50,TYA,11.60,11.60,11.00,39610.00
04/08/2017,11.60,TYA,11.50,11.60,11.50,2000.00
03/08/2017,11.50,TYA,11.60,11.60,11.20,38240.00
02/08/2017,11.40,TYA,11.15,11.50,11.15,120290.00
01/08/2017,11.10,TYA,10.85,11.10,10.85,38920.00
31/07/2017,10.85,TYA,10.80,11.00,10.60,38280.00
28/07/2017,10.85,TYA,10.10,10.85,10.10,59570.00
27/07/2017,10.45,TYA,10.30,10.45,10.10,38280.00
26/07/2017,10.50,TYA,10.70,10.70,10.20,16880.00
25/07/2017,10.70,TYA,10.80,10.90,10.05,91430.00
24/07/2017,10.80,TYA,10.80,11.20,10.05,49760.00
21/07/2017,10.80,TYA,10.30,10.95,10.30,68130.00
20/07/2017,10.25,TYA,10.05,10.30,10.00,3820.00
19/07/2017,10.25,TYA,10.35,10.35,10.00,4080.00
18/07/2017,10.10,TYA,10.00,10.45,10.00,6970.00
17/07/2017,10.20,TYA,10.15,10.25,10.10,2960.00
14/07/2017,10.40,TYA,10.25,10.40,10.15,18850.00
13/07/2017,10.00,TYA,10.00,10.35,9.99,8510.00
12/07/2017,10.10,TYA,10.00,10.20,10.00,14210.00
11/07/2017,10.10,TYA,10.25,10.25,10.00,10020.00
10/07/2017,10.10,TYA,10.40,10.40,10.10,18790.00
07/07/2017,10.20,TYA,10.40,10.50,10.15,27540.00
06/07/2017,10.20,TYA,10.45,10.45,10.10,17040.00
05/07/2017,10.35,TYA,10.00,10.40,9.90,8630.00
04/07/2017,10.00,TYA,10.30,10.40,10.00,11560.00
03/07/2017,10.30,TYA,10.50,10.50,10.00,4120.00
30/06/2017,10.20,TYA,10.10,10.20,10.00,12330.00
29/06/2017,10.20,TYA,10.05,10.20,10.00,4440.00
28/06/2017,10.20,TYA,10.10,10.20,9.98,6730.00
27/06/2017,10.20,TYA,10.00,10.20,9.80,48680.00
26/06/2017,10.30,TYA,10.60,10.60,10.00,40810.00
23/06/2017,10.30,TYA,10.60,10.60,10.10,1080.00
22/06/2017,10.25,TYA,10.15,10.50,9.94,28440.00
21/06/2017,10.25,TYA,10.40,10.40,10.20,13580.00
20/06/2017,10.50,TYA,10.60,10.70,10.35,17370.00
19/06/2017,10.60,TYA,10.75,11.00,10.55,10920.00
16/06/2017,10.65,TYA,10.90,10.90,10.60,15680.00
15/06/2017,10.70,TYA,10.65,10.80,10.50,30080.00
14/06/2017,10.65,TYA,10.65,11.00,10.65,24700.00
13/06/2017,11.00,TYA,11.50,11.50,10.90,36140.00
12/06/2017,12.60,TYA,12.40,12.60,12.00,44350.00
09/06/2017,12.40,TYA,12.50,12.50,12.20,19520.00
08/06/2017,12.40,TYA,12.20,12.60,12.10,81750.00
07/06/2017,12.20,TYA,12.10,12.35,12.10,22230.00
06/06/2017,12.40,TYA,12.20,12.50,12.00,45610.00
05/06/2017,12.50,TYA,12.85,12.85,12.40,39780.00
02/06/2017,12.85,TYA,12.50,12.90,12.40,121120.00
01/06/2017,12.15,TYA,11.30,12.15,11.30,164080.00
31/05/2017,11.40,TYA,11.35,11.55,11.05,63850.00
30/05/2017,10.80,TYA,10.95,11.00,10.80,45920.00
29/05/2017,11.05,TYA,10.90,11.40,10.80,11130.00
26/05/2017,11.10,TYA,10.95,11.10,10.95,5110.00
25/05/2017,11.15,TYA,10.90,11.15,10.90,15470.00
24/05/2017,11.15,TYA,10.90,11.30,10.85,22170.00
23/05/2017,10.90,TYA,11.10,11.10,10.90,23980.00
22/05/2017,11.30,TYA,11.40,11.50,11.00,25430.00
19/05/2017,11.40,TYA,11.00,11.40,10.90,26790.00
18/05/2017,11.20,TYA,11.20,11.20,11.00,11140.00
17/05/2017,11.10,TYA,10.95,11.15,10.90,30680.00
16/05/2017,10.95,TYA,11.00,11.00,10.80,9620.00
15/05/2017,11.00,TYA,10.80,11.00,10.70,18890.00
12/05/2017,11.00,TYA,10.95,11.10,10.80,2680.00
11/05/2017,10.95,TYA,10.95,10.95,10.85,26090.00
10/05/2017,11.00,TYA,10.90,11.10,10.80,28220.00
09/05/2017,11.00,TYA,10.95,11.40,10.85,14520.00
08/05/2017,10.90,TYA,10.80,10.95,10.80,7990.00
05/05/2017,11.00,TYA,11.05,11.05,10.70,27150.00
04/05/2017,11.10,TYA,10.90,11.10,10.75,18000.00
03/05/2017,11.20,TYA,11.40,11.40,10.60,20120.00
28/04/2017,11.20,TYA,11.20,11.30,10.95,15360.00
27/04/2017,11.20,TYA,11.10,11.45,10.75,10530.00
26/04/2017,11.00,TYA,11.15,11.15,10.50,11310.00
25/04/2017,11.20,TYA,11.00,11.40,10.80,12070.00
24/04/2017,11.00,TYA,10.95,11.00,10.30,42930.00
21/04/2017,10.80,TYA,10.70,11.00,10.60,28220.00
20/04/2017,10.90,TYA,10.90,10.90,10.60,19550.00
19/04/2017,11.00,TYA,10.90,11.00,10.60,19690.00
18/04/2017,10.70,TYA,11.00,11.00,10.50,22550.00
17/04/2017,10.60,TYA,11.00,11.00,10.60,16110.00
14/04/2017,10.90,TYA,11.40,11.40,10.65,73570.00
13/04/2017,10.80,TYA,11.40,11.40,10.80,40550.00
12/04/2017,11.40,TYA,11.60,11.70,10.90,56040.00
11/04/2017,11.20,TYA,11.10,11.20,10.90,46260.00
10/04/2017,11.10,TYA,11.30,11.30,10.55,44050.00
07/04/2017,10.90,TYA,10.95,10.95,10.65,16350.00
05/04/2017,10.95,TYA,10.70,11.30,10.65,39780.00
04/04/2017,10.80,TYA,11.10,11.35,10.80,73240.00
03/04/2017,11.35,TYA,11.00,11.45,10.90,25940.00
31/03/2017,11.15,TYA,11.60,11.60,11.10,36770.00
30/03/2017,11.80,TYA,12.60,12.60,11.80,118630.00
29/03/2017,11.80,TYA,11.50,11.80,11.45,140420.00
28/03/2017,11.05,TYA,10.40,11.05,10.35,99340.00
27/03/2017,10.35,TYA,10.35,10.55,10.35,64760.00
24/03/2017,10.35,TYA,10.40,10.40,10.15,14310.00
23/03/2017,10.30,TYA,10.40,10.40,10.05,8380.00
22/03/2017,10.30,TYA,10.30,10.70,10.10,9510.00
21/03/2017,10.20,TYA,10.10,10.30,10.10,6970.00
20/03/2017,10.30,TYA,10.35,10.35,10.10,6120.00
17/03/2017,10.35,TYA,10.10,10.35,10.00,40830.00
16/03/2017,10.35,TYA,10.10,10.40,10.10,7740.00
15/03/2017,10.40,TYA,10.10,10.45,10.10,5440.00
14/03/2017,10.20,TYA,9.95,10.20,9.95,2970.00
13/03/2017,10.30,TYA,10.50,10.50,10.00,25830.00
10/03/2017,10.05,TYA,10.30,10.30,10.05,34740.00
09/03/2017,10.40,TYA,10.50,10.50,10.15,3080.00
08/03/2017,10.45,TYA,10.40,10.50,10.10,9810.00
07/03/2017,10.45,TYA,10.45,10.45,10.45,1100.00
06/03/2017,10.25,TYA,9.70,10.50,9.70,7480.00
03/03/2017,10.00,TYA,10.30,10.50,10.00,14230.00
02/03/2017,10.50,TYA,10.30,10.50,10.15,6180.00
01/03/2017,10.50,TYA,10.50,10.55,10.30,31770.00
28/02/2017,10.40,TYA,10.60,10.60,10.40,18400.00
27/02/2017,10.50,TYA,10.40,10.50,10.05,7740.00
24/02/2017,10.15,TYA,10.50,10.60,10.15,28870.00
23/02/2017,10.30,TYA,10.50,10.50,10.20,34330.00
22/02/2017,10.35,TYA,10.30,10.40,10.30,43030.00
21/02/2017,10.30,TYA,10.70,10.70,10.20,41300.00
20/02/2017,10.50,TYA,10.00,10.55,9.80,79230.00
17/02/2017,9.90,TYA,10.30,10.30,9.80,116940.00
16/02/2017,10.30,TYA,10.50,10.50,10.30,26830.00
15/02/2017,10.50,TYA,10.60,10.65,10.40,16640.00
14/02/2017,10.65,TYA,10.90,10.90,10.40,29590.00
13/02/2017,10.70,TYA,10.30,10.90,10.30,2380.00
10/02/2017,10.60,TYA,10.90,10.90,10.35,60720.00
09/02/2017,10.60,TYA,10.85,10.85,10.60,8320.00
08/02/2017,10.85,TYA,10.85,10.85,10.50,7010.00
07/02/2017,10.85,TYA,10.70,11.10,10.50,25590.00
06/02/2017,10.50,TYA,10.80,10.80,10.40,20050.00
03/02/2017,10.80,TYA,10.60,10.80,10.40,68120.00
02/02/2017,10.60,TYA,11.20,11.20,10.60,18780.00
25/01/2017,10.90,TYA,10.50,10.90,10.10,67810.00
24/01/2017,10.35,TYA,10.65,10.65,10.10,40560.00
23/01/2017,10.20,TYA,9.81,10.20,9.81,56340.00
20/01/2017,10.40,TYA,10.70,10.70,9.90,17830.00
19/01/2017,10.55,TYA,10.15,10.75,10.15,340780.00
18/01/2017,10.90,TYA,11.55,11.70,10.90,43980.00
17/01/2017,11.65,TYA,11.55,11.80,11.50,53560.00
16/01/2017,11.75,TYA,11.60,12.20,11.60,15990.00
13/01/2017,12.20,TYA,12.20,12.60,11.80,70850.00
12/01/2017,12.20,TYA,11.70,12.35,11.70,211140.00
11/01/2017,11.55,TYA,10.80,11.55,10.80,84650.00
10/01/2017,10.80,TYA,10.55,10.85,10.40,94930.00
09/01/2017,10.60,TYA,10.95,10.95,10.50,24530.00
06/01/2017,10.50,TYA,10.60,10.60,10.40,35840.00
05/01/2017,10.40,TYA,10.50,10.50,10.25,31300.00
04/01/2017,10.40,TYA,10.40,10.60,10.30,20810.00
03/01/2017,10.45,TYA,10.90,10.90,10.40,27610.00
30/12/2016,10.60,TYA,10.60,10.80,10.55,18370.00
29/12/2016,10.55,TYA,10.60,10.90,10.55,25930.00
28/12/2016,10.80,TYA,10.50,10.80,10.50,2400.00
27/12/2016,10.80,TYA,10.50,10.80,10.40,14660.00
26/12/2016,10.40,TYA,11.00,11.00,10.40,29190.00
23/12/2016,10.80,TYA,10.80,11.20,10.60,57500.00
22/12/2016,11.00,TYA,11.50,11.50,10.90,57940.00
21/12/2016,11.00,TYA,11.00,11.50,10.50,31010.00
20/12/2016,10.80,TYA,11.30,11.50,10.80,84830.00
19/12/2016,11.60,TYA,11.30,11.90,11.30,48940.00
16/12/2016,11.60,TYA,12.50,12.50,11.60,35990.00
15/12/2016,11.95,TYA,11.60,11.95,11.40,100970.00
14/12/2016,11.20,TYA,10.70,11.20,9.90,250970.00
13/12/2016,10.50,TYA,11.25,11.70,10.50,177620.00
12/12/2016,11.25,TYA,12.05,12.05,11.25,131090.00
09/12/2016,12.05,TYA,13.00,13.00,12.05,26290.00
08/12/2016,12.80,TYA,13.40,13.40,12.80,10430.00
07/12/2016,13.30,TYA,13.15,13.50,12.80,3580.00
06/12/2016,13.00,TYA,13.10,13.75,12.80,17350.00
05/12/2016,13.40,TYA,12.90,13.80,12.90,8810.00
02/12/2016,13.30,TYA,12.60,13.50,12.60,3470.00
01/12/2016,13.30,TYA,13.50,13.50,12.95,46240.00
30/11/2016,13.90,TYA,13.90,13.90,12.90,31650.00
29/11/2016,13.10,TYA,13.75,13.90,13.00,72960.00
28/11/2016,13.15,TYA,14.90,14.90,13.15,50160.00
25/11/2016,14.10,TYA,14.65,14.70,14.10,14100.00
24/11/2016,14.95,TYA,15.20,15.20,14.60,2170.00
23/11/2016,14.80,TYA,15.20,15.20,14.80,7400.00
22/11/2016,15.20,TYA,15.00,15.20,14.45,27850.00
21/11/2016,14.80,TYA,14.30,15.60,14.30,11290.00
