DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,5.90,UNI,5.80,5.90,5.80,12850.00
28/12/2017,5.80,UNI,5.50,6.00,5.50,4200.00
27/12/2017,5.90,UNI,6.00,6.00,5.90,21148.00
26/12/2017,5.90,UNI,5.80,5.90,5.70,32820.00
25/12/2017,5.70,UNI,5.70,5.80,5.70,11320.00
22/12/2017,5.60,UNI,5.70,5.70,5.40,76105.00
21/12/2017,5.60,UNI,5.50,5.60,5.40,15202.00
20/12/2017,5.50,UNI,5.30,5.50,5.30,58568.00
19/12/2017,5.40,UNI,5.30,5.50,5.30,4500.00
18/12/2017,5.30,UNI,5.20,5.40,5.20,28700.00
15/12/2017,5.50,UNI,5.50,5.50,5.50,4200.00
14/12/2017,5.50,UNI,5.40,5.70,5.20,57400.00
13/12/2017,5.20,UNI,5.30,5.50,5.00,97400.00
12/12/2017,5.20,UNI,4.90,5.50,4.90,16202.00
11/12/2017,5.20,UNI,5.00,5.20,5.00,10900.00
08/12/2017,5.00,UNI,4.70,5.00,4.70,54632.00
07/12/2017,4.60,UNI,4.80,4.80,4.60,5308.00
06/12/2017,4.70,UNI,5.00,5.00,4.70,24148.00
05/12/2017,4.80,UNI,4.80,5.00,4.70,58120.00
04/12/2017,4.80,UNI,4.90,4.90,4.70,16137.00
01/12/2017,4.90,UNI,4.80,4.90,4.70,17200.00
30/11/2017,4.80,UNI,4.90,4.90,4.80,5100.00
29/11/2017,4.80,UNI,4.80,4.90,4.80,8207.00
28/11/2017,4.60,UNI,4.80,4.80,4.60,5500.00
27/11/2017,4.70,UNI,4.80,4.90,4.70,31600.00
24/11/2017,4.70,UNI,4.50,4.70,4.40,3201.00
23/11/2017,4.80,UNI,4.80,4.80,4.40,13396.00
22/11/2017,4.80,UNI,4.80,4.80,4.60,1223.00
21/11/2017,4.80,UNI,4.80,4.80,4.40,18300.00
20/11/2017,4.70,UNI,4.70,4.80,4.70,380.00
17/11/2017,4.60,UNI,4.80,4.80,4.60,7200.00
