DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,232.00,VCS,237.00,237.00,230.00,82782.00
28/12/2017,237.00,VCS,234.00,240.70,234.00,74650.00
27/12/2017,234.00,VCS,239.00,239.00,233.50,132551.00
26/12/2017,239.00,VCS,219.60,245.30,219.60,114641.00
25/12/2017,244.00,VCS,240.00,244.00,238.60,93503.00
22/12/2017,239.00,VCS,244.00,245.00,239.00,179060.00
21/12/2017,244.00,VCS,245.20,246.90,244.00,78602.00
20/12/2017,245.20,VCS,242.00,248.00,242.00,82168.00
19/12/2017,244.00,VCS,249.00,249.00,241.00,120132.00
18/12/2017,248.90,VCS,257.00,257.00,243.00,339200.00
15/12/2017,257.00,VCS,254.00,259.00,254.00,56705.00
14/12/2017,254.00,VCS,247.80,254.00,246.50,111604.00
13/12/2017,246.50,VCS,243.00,247.40,242.00,74209.00
12/12/2017,242.00,VCS,242.00,242.90,235.00,95506.00
11/12/2017,240.20,VCS,236.00,242.60,235.50,164673.00
08/12/2017,235.50,VCS,234.00,236.50,233.00,137686.00
07/12/2017,228.30,VCS,233.80,233.80,228.30,43653.00
06/12/2017,228.00,VCS,230.00,230.00,225.10,84586.00
05/12/2017,228.00,VCS,235.00,236.00,228.00,134363.00
04/12/2017,233.50,VCS,235.00,237.00,233.00,51407.00
01/12/2017,235.60,VCS,232.00,238.00,230.00,72105.00
30/11/2017,232.00,VCS,233.00,236.00,232.00,51381.00
29/11/2017,234.00,VCS,236.00,236.00,232.60,36202.00
28/11/2017,235.00,VCS,231.20,237.00,230.50,80450.00
27/11/2017,231.80,VCS,227.00,232.30,226.50,66304.00
24/11/2017,227.00,VCS,227.00,229.00,226.00,27900.00
23/11/2017,227.00,VCS,224.00,229.00,223.00,49855.00
22/11/2017,224.80,VCS,225.00,225.50,223.00,40710.00
21/11/2017,225.00,VCS,205.00,226.00,205.00,189888.00
20/11/2017,223.20,VCS,226.00,227.00,223.00,97871.00
17/11/2017,226.00,VCS,232.60,233.60,226.00,191230.00
16/11/2017,232.60,VCS,231.00,235.00,231.00,63012.00
15/11/2017,231.00,VCS,231.20,233.00,230.00,69645.00
14/11/2017,231.20,VCS,233.00,235.50,231.00,66939.00
13/11/2017,233.00,VCS,225.00,233.80,225.00,102072.00
10/11/2017,225.10,VCS,226.00,227.50,223.00,61175.00
09/11/2017,227.00,VCS,228.60,228.60,225.00,45627.00
08/11/2017,227.90,VCS,224.00,228.50,222.50,88935.00
07/11/2017,224.50,VCS,224.00,226.00,222.00,67082.00
06/11/2017,224.00,VCS,212.00,224.00,212.00,241359.00
03/11/2017,214.90,VCS,212.00,214.90,210.50,59142.00
02/11/2017,212.00,VCS,216.00,218.50,211.00,135535.00
01/11/2017,216.20,VCS,219.50,219.80,216.00,33034.00
31/10/2017,216.90,VCS,215.00,219.50,212.20,103943.00
30/10/2017,214.80,VCS,204.00,216.00,203.60,435905.00
27/10/2017,204.40,VCS,202.00,204.40,200.60,67984.00
26/10/2017,200.40,VCS,203.00,203.80,199.20,55615.00
25/10/2017,203.00,VCS,201.50,203.30,200.00,53547.00
24/10/2017,200.90,VCS,199.00,202.00,198.50,41335.00
23/10/2017,199.50,VCS,203.20,203.50,198.90,154948.00
20/10/2017,203.20,VCS,206.00,206.00,203.20,46239.00
19/10/2017,206.00,VCS,206.00,208.80,205.50,42734.00
18/10/2017,205.90,VCS,206.80,210.00,205.00,118447.00
17/10/2017,204.80,VCS,203.80,204.90,203.50,27437.00
16/10/2017,203.50,VCS,206.50,206.80,203.50,40940.00
13/10/2017,205.60,VCS,204.00,208.70,204.00,78201.00
12/10/2017,204.00,VCS,203.30,205.50,203.30,59464.00
11/10/2017,203.30,VCS,200.00,204.30,200.00,103733.00
10/10/2017,200.00,VCS,196.80,203.00,195.40,75300.00
09/10/2017,197.10,VCS,200.00,200.20,195.20,73296.00
06/10/2017,200.20,VCS,202.50,203.00,195.00,210122.00
05/10/2017,203.90,VCS,205.00,205.00,203.70,13281.00
04/10/2017,203.90,VCS,202.00,206.00,201.00,107935.00
03/10/2017,202.00,VCS,203.50,215.90,202.00,541152.00
02/10/2017,203.50,VCS,203.60,203.60,202.50,48045.00
29/09/2017,203.60,VCS,203.80,203.80,202.60,62968.00
28/09/2017,203.80,VCS,203.50,205.90,202.90,44594.00
27/09/2017,202.90,VCS,183.60,204.00,183.60,94460.00
26/09/2017,204.00,VCS,203.20,205.60,202.40,52192.00
25/09/2017,203.20,VCS,202.30,203.90,200.80,42935.00
22/09/2017,202.30,VCS,204.00,206.50,202.00,134191.00
21/09/2017,204.80,VCS,206.90,207.00,203.00,61579.00
20/09/2017,204.40,VCS,205.00,206.00,202.50,131865.00
19/09/2017,205.00,VCS,205.00,210.20,205.00,92513.00
18/09/2017,207.00,VCS,205.00,208.00,200.00,62827.00
15/09/2017,205.00,VCS,200.00,205.00,199.00,68196.00
14/09/2017,200.00,VCS,206.00,208.50,200.00,162211.00
13/09/2017,206.00,VCS,205.00,209.50,204.00,65771.00
12/09/2017,205.00,VCS,199.50,205.00,199.00,81314.00
11/09/2017,199.50,VCS,196.80,201.20,194.00,121536.00
08/09/2017,196.80,VCS,198.20,198.20,193.00,56553.00
07/09/2017,195.60,VCS,194.00,199.50,194.00,53172.00
06/09/2017,194.00,VCS,179.10,194.00,179.10,240943.00
05/09/2017,179.30,VCS,179.00,180.50,179.00,52760.00
01/09/2017,179.00,VCS,178.50,179.90,178.50,9481.00
31/08/2017,178.50,VCS,179.90,181.50,178.00,35213.00
30/08/2017,180.00,VCS,179.90,181.50,179.60,63562.00
29/08/2017,179.90,VCS,175.20,180.90,174.70,81244.00
28/08/2017,175.10,VCS,175.00,175.80,174.00,42451.00
