DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
28/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
27/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
26/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
25/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
22/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
21/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
20/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
19/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
18/12/2017,7.20,VFC,7.20,7.20,7.20,0.00
15/12/2017,7.20,VFC,7.20,7.20,7.20,85.00
14/12/2017,7.20,VFC,7.20,7.20,7.20,100.00
13/12/2017,8.30,VFC,8.30,8.30,8.30,0.00
12/12/2017,8.30,VFC,8.30,8.30,8.30,2.00
11/12/2017,8.30,VFC,8.30,8.30,8.30,0.00
08/12/2017,8.30,VFC,8.30,8.30,8.30,0.00
07/12/2017,8.30,VFC,8.30,8.30,8.30,0.00
06/12/2017,8.00,VFC,8.00,8.50,8.00,800.00
05/12/2017,9.30,VFC,9.30,9.30,9.30,0.00
04/12/2017,9.30,VFC,9.30,9.30,9.30,0.00
01/12/2017,8.10,VFC,9.50,9.50,8.10,600.00
30/11/2017,9.20,VFC,9.20,9.20,9.20,100.00
29/11/2017,8.50,VFC,11.00,11.20,8.50,3300.00
28/11/2017,8.30,VFC,8.30,10.90,8.30,800.00
27/11/2017,9.60,VFC,9.60,9.60,9.60,0.00
24/11/2017,8.50,VFC,9.50,9.90,8.50,2994.00
23/11/2017,7.80,VFC,10.30,10.30,7.80,600.00
22/11/2017,9.00,VFC,9.00,9.00,9.00,0.00
21/11/2017,9.00,VFC,9.00,9.00,9.00,0.00
20/11/2017,9.00,VFC,9.00,9.00,9.00,0.00
17/11/2017,7.20,VFC,9.50,9.50,7.20,500.00
16/11/2017,8.30,VFC,8.30,8.30,8.30,0.00
15/11/2017,8.30,VFC,8.30,8.30,8.30,0.00
14/11/2017,8.30,VFC,8.30,8.30,8.30,297.00
13/11/2017,7.30,VFC,7.30,7.30,7.30,0.00
10/11/2017,7.30,VFC,7.20,7.30,7.20,1900.00
09/11/2017,7.00,VFC,7.00,7.00,7.00,0.00
08/11/2017,7.00,VFC,7.00,7.10,7.00,2200.00
07/11/2017,8.70,VFC,8.70,8.70,8.70,0.00
06/11/2017,8.70,VFC,8.70,8.70,8.70,0.00
03/11/2017,8.70,VFC,8.70,8.70,8.70,0.00
02/11/2017,8.70,VFC,8.70,8.70,8.70,0.00
01/11/2017,8.70,VFC,8.70,8.70,8.70,0.00
