DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,77.30,VIC,77.60,79.90,77.00,2105550.00
28/12/2017,77.40,VIC,77.50,78.50,77.40,1109290.00
27/12/2017,77.20,VIC,78.00,79.00,76.70,2925370.00
26/12/2017,78.00,VIC,78.30,79.00,77.80,2308080.00
25/12/2017,78.00,VIC,76.00,78.00,75.80,1399540.00
22/12/2017,75.60,VIC,73.70,75.60,73.40,2254940.00
21/12/2017,73.00,VIC,73.90,75.50,73.00,1721550.00
20/12/2017,73.50,VIC,73.30,73.90,72.40,1506770.00
19/12/2017,73.50,VIC,74.60,75.50,73.30,1006310.00
18/12/2017,74.00,VIC,71.40,74.00,71.40,1199690.00
15/12/2017,70.20,VIC,70.70,71.70,70.10,4185530.00
14/12/2017,72.00,VIC,71.90,72.50,71.00,477210.00
13/12/2017,72.00,VIC,71.50,72.20,70.90,547600.00
12/12/2017,71.20,VIC,73.00,73.10,69.00,1138470.00
11/12/2017,72.00,VIC,72.00,73.20,71.00,1057910.00
08/12/2017,73.00,VIC,71.20,73.50,69.50,1767290.00
07/12/2017,72.00,VIC,72.50,73.80,71.00,1010070.00
06/12/2017,73.00,VIC,73.60,73.60,69.90,2680770.00
05/12/2017,73.00,VIC,77.00,78.50,70.80,3682370.00
04/12/2017,76.10,VIC,75.10,77.20,74.50,1716220.00
01/12/2017,74.60,VIC,74.50,75.40,73.80,966230.00
30/11/2017,74.50,VIC,76.20,76.70,74.50,1728020.00
29/11/2017,76.20,VIC,77.00,77.00,76.10,1324620.00
28/11/2017,76.20,VIC,77.50,78.90,76.00,1786250.00
27/11/2017,76.00,VIC,74.00,79.50,72.00,2152690.00
24/11/2017,74.50,VIC,76.50,76.50,74.50,858280.00
23/11/2017,76.50,VIC,76.00,77.80,75.20,1302120.00
22/11/2017,76.00,VIC,77.00,78.80,73.50,1670670.00
21/11/2017,77.00,VIC,78.00,81.60,76.50,3764030.00
20/11/2017,76.30,VIC,71.80,76.30,71.50,1958970.00
17/11/2017,71.40,VIC,70.20,72.00,69.90,1572620.00
16/11/2017,69.90,VIC,68.00,69.90,68.00,1449350.00
15/11/2017,69.00,VIC,68.60,69.50,67.30,2415870.00
14/11/2017,68.60,VIC,68.50,69.50,67.40,1697460.00
13/11/2017,68.60,VIC,66.00,68.60,65.30,1213210.00
10/11/2017,66.00,VIC,67.80,70.00,65.30,2037660.00
09/11/2017,68.60,VIC,67.50,70.00,67.00,1902810.00
08/11/2017,65.50,VIC,64.00,65.60,62.50,2031740.00
07/11/2017,62.00,VIC,60.80,62.50,60.30,1645400.00
06/11/2017,60.50,VIC,60.40,60.80,60.00,1023210.00
03/11/2017,60.20,VIC,59.90,60.60,59.00,1227960.00
02/11/2017,60.00,VIC,58.60,60.00,58.50,1396970.00
01/11/2017,58.60,VIC,58.60,58.80,58.20,1443760.00
31/10/2017,58.50,VIC,58.30,58.80,57.70,1225710.00
30/10/2017,58.00,VIC,57.40,58.50,57.10,1520110.00
27/10/2017,57.00,VIC,55.80,57.40,55.20,1881040.00
26/10/2017,55.30,VIC,55.30,55.40,53.00,1424800.00
25/10/2017,55.30,VIC,55.50,55.60,55.00,639470.00
24/10/2017,55.50,VIC,55.50,55.80,54.70,1015940.00
23/10/2017,55.40,VIC,55.40,55.60,55.00,1042390.00
20/10/2017,55.30,VIC,55.00,55.80,54.60,1699930.00
19/10/2017,55.00,VIC,54.90,55.20,54.50,652270.00
18/10/2017,54.90,VIC,55.30,55.70,54.90,645210.00
17/10/2017,55.30,VIC,54.80,55.80,54.50,611740.00
16/10/2017,54.60,VIC,56.00,56.20,54.60,1164490.00
13/10/2017,56.00,VIC,54.50,56.00,54.40,1163690.00
12/10/2017,55.00,VIC,54.50,55.80,53.90,955520.00
11/10/2017,54.90,VIC,52.20,54.90,52.20,1820720.00
10/10/2017,52.20,VIC,51.50,52.20,50.70,1812200.00
09/10/2017,52.00,VIC,52.40,52.40,51.30,655850.00
06/10/2017,52.60,VIC,52.70,52.90,52.30,1246450.00
05/10/2017,52.70,VIC,52.10,53.20,52.00,1639860.00
04/10/2017,52.00,VIC,51.40,52.00,51.20,1930800.00
03/10/2017,51.10,VIC,51.10,52.50,51.10,2940110.00
02/10/2017,51.00,VIC,51.20,51.30,50.90,719100.00
