DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,16.10,VNG,16.50,16.50,16.10,268860.00
28/12/2017,16.20,VNG,15.90,16.20,15.70,260870.00
27/12/2017,15.90,VNG,16.00,16.20,15.60,271240.00
26/12/2017,16.15,VNG,15.90,16.40,15.80,313810.00
25/12/2017,16.10,VNG,16.00,16.15,15.90,302410.00
22/12/2017,16.00,VNG,15.50,16.35,15.35,409760.00
21/12/2017,15.30,VNG,15.70,15.90,15.30,278500.00
20/12/2017,15.50,VNG,15.70,15.90,15.50,289460.00
19/12/2017,15.70,VNG,16.00,16.50,15.50,281640.00
18/12/2017,16.00,VNG,15.70,16.10,15.50,307210.00
15/12/2017,15.80,VNG,16.10,16.70,15.80,401050.00
14/12/2017,16.30,VNG,15.70,16.30,15.40,340970.00
13/12/2017,15.70,VNG,15.10,15.90,15.10,271100.00
12/12/2017,15.40,VNG,15.60,15.70,15.10,389430.00
11/12/2017,15.60,VNG,15.80,16.00,15.50,297660.00
08/12/2017,15.80,VNG,15.70,15.90,15.50,290920.00
07/12/2017,15.40,VNG,15.60,15.70,14.90,268840.00
06/12/2017,14.70,VNG,15.00,15.20,14.70,346350.00
05/12/2017,15.00,VNG,15.00,15.15,14.60,382100.00
04/12/2017,14.85,VNG,14.80,14.90,14.45,252040.00
01/12/2017,14.75,VNG,14.90,14.90,14.45,299970.00
30/11/2017,14.90,VNG,14.30,15.05,14.20,440990.00
29/11/2017,14.20,VNG,14.00,14.25,14.00,295890.00
28/11/2017,14.20,VNG,14.15,14.20,13.60,318860.00
27/11/2017,14.15,VNG,14.40,14.40,13.80,318830.00
24/11/2017,14.30,VNG,13.70,14.50,13.50,369200.00
23/11/2017,13.70,VNG,14.10,14.30,13.70,489490.00
22/11/2017,14.00,VNG,14.20,14.30,13.40,518500.00
21/11/2017,14.20,VNG,14.10,14.50,14.10,393060.00
20/11/2017,14.10,VNG,13.40,14.25,13.40,342840.00
17/11/2017,13.70,VNG,13.50,13.80,13.30,301170.00
16/11/2017,13.80,VNG,13.60,14.10,13.10,232140.00
15/11/2017,13.30,VNG,13.60,13.65,13.30,670710.00
14/11/2017,13.65,VNG,12.65,13.65,12.65,705450.00
13/11/2017,12.80,VNG,12.65,12.80,12.60,345750.00
10/11/2017,12.65,VNG,13.30,14.00,12.60,235770.00
09/11/2017,13.30,VNG,14.00,14.00,13.15,225900.00
08/11/2017,14.10,VNG,13.50,14.10,13.10,269630.00
07/11/2017,13.55,VNG,13.90,14.00,13.50,364790.00
06/11/2017,13.90,VNG,13.90,14.20,13.70,326570.00
03/11/2017,14.30,VNG,14.50,14.80,14.30,326240.00
02/11/2017,14.50,VNG,14.70,15.10,14.50,871160.00
01/11/2017,14.80,VNG,15.00,15.30,14.50,201500.00
31/10/2017,15.40,VNG,14.75,15.50,14.35,335310.00
30/10/2017,15.00,VNG,14.40,15.50,14.40,701320.00
27/10/2017,14.50,VNG,14.40,14.50,14.20,439620.00
26/10/2017,14.35,VNG,14.40,14.40,14.20,307390.00
25/10/2017,14.40,VNG,14.20,14.40,14.00,229400.00
24/10/2017,14.20,VNG,14.00,14.20,13.30,80570.00
23/10/2017,13.90,VNG,13.80,14.30,13.50,72500.00
20/10/2017,14.40,VNG,14.40,14.40,14.10,31130.00
19/10/2017,14.40,VNG,14.20,14.40,14.10,89710.00
18/10/2017,14.00,VNG,14.40,14.40,14.00,127870.00
17/10/2017,14.40,VNG,14.40,14.40,14.10,80560.00
16/10/2017,14.50,VNG,14.20,14.50,14.00,105390.00
13/10/2017,14.50,VNG,14.55,14.55,14.20,139130.00
12/10/2017,14.50,VNG,14.60,14.70,14.30,106360.00
11/10/2017,14.55,VNG,13.90,14.70,13.90,246810.00
10/10/2017,14.00,VNG,14.20,14.50,13.90,118080.00
09/10/2017,14.40,VNG,13.80,14.40,13.80,117380.00
06/10/2017,14.00,VNG,13.00,14.00,12.90,116910.00
05/10/2017,13.70,VNG,14.55,14.55,13.50,135190.00
04/10/2017,14.50,VNG,14.00,14.50,14.00,132440.00
03/10/2017,14.40,VNG,14.50,14.50,13.90,124570.00
02/10/2017,14.50,VNG,14.60,14.60,14.00,114180.00
29/09/2017,14.70,VNG,14.10,14.80,14.10,420960.00
28/09/2017,14.30,VNG,14.10,14.30,13.65,332260.00
27/09/2017,14.10,VNG,13.80,14.10,13.05,223710.00
26/09/2017,13.60,VNG,14.50,14.50,13.60,135010.00
25/09/2017,14.60,VNG,13.85,14.60,13.50,352940.00
22/09/2017,13.90,VNG,14.00,14.30,13.70,126110.00
21/09/2017,14.15,VNG,13.40,14.20,13.30,363620.00
20/09/2017,13.70,VNG,12.95,13.70,12.60,351440.00
19/09/2017,12.95,VNG,12.60,12.95,12.40,137450.00
18/09/2017,12.80,VNG,12.45,12.80,12.30,200920.00
15/09/2017,12.45,VNG,11.95,12.45,11.90,267470.00
14/09/2017,11.95,VNG,12.00,12.10,11.80,201800.00
13/09/2017,11.85,VNG,12.15,12.20,11.85,108940.00
12/09/2017,12.05,VNG,11.65,12.20,11.65,231600.00
11/09/2017,11.65,VNG,12.00,12.00,11.65,144290.00
08/09/2017,12.00,VNG,11.80,12.00,11.60,303850.00
07/09/2017,11.80,VNG,12.25,12.40,11.60,347890.00
06/09/2017,11.75,VNG,10.80,11.75,10.80,537110.00
05/09/2017,11.00,VNG,11.20,11.20,10.70,65460.00
01/09/2017,11.20,VNG,11.00,11.20,10.90,60810.00
31/08/2017,11.00,VNG,11.05,11.50,10.90,296030.00
30/08/2017,11.50,VNG,11.00,11.50,10.70,225860.00
29/08/2017,10.90,VNG,10.70,11.00,10.55,100540.00
28/08/2017,10.70,VNG,10.80,10.80,10.40,138150.00
25/08/2017,10.60,VNG,10.45,10.70,10.25,111070.00
