DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,22.80,VNR,22.80,22.80,22.80,5008.00
28/12/2017,22.90,VNR,22.40,23.00,21.80,7047.00
27/12/2017,22.90,VNR,22.90,23.00,22.90,50400.00
26/12/2017,22.80,VNR,23.00,23.00,22.80,6600.00
25/12/2017,23.00,VNR,23.00,23.00,22.50,30535.00
22/12/2017,23.00,VNR,23.00,23.00,23.00,18100.00
21/12/2017,23.00,VNR,23.00,23.50,23.00,141600.00
20/12/2017,22.90,VNR,22.90,22.90,22.60,7300.00
19/12/2017,22.90,VNR,23.00,23.00,22.90,37630.00
18/12/2017,23.00,VNR,23.00,23.00,22.90,18700.00
15/12/2017,23.00,VNR,23.00,23.00,22.90,42040.00
14/12/2017,22.90,VNR,22.90,22.90,22.90,3710.00
13/12/2017,22.90,VNR,22.90,22.90,22.90,9560.00
12/12/2017,22.90,VNR,22.50,22.90,22.50,7320.00
11/12/2017,23.00,VNR,22.90,23.00,22.90,56600.00
08/12/2017,22.90,VNR,22.90,22.90,22.90,1500.00
07/12/2017,23.00,VNR,23.00,23.00,23.00,32310.00
06/12/2017,23.00,VNR,23.00,23.00,23.00,31700.00
05/12/2017,23.00,VNR,23.00,23.00,23.00,10900.00
04/12/2017,23.00,VNR,23.00,23.00,22.90,12500.00
01/12/2017,23.00,VNR,23.00,23.00,23.00,725.00
30/11/2017,23.00,VNR,23.00,23.00,23.00,8500.00
29/11/2017,23.00,VNR,22.80,23.00,22.80,118300.00
28/11/2017,22.80,VNR,22.30,22.80,22.00,7800.00
27/11/2017,22.90,VNR,22.80,22.90,22.80,1100.00
24/11/2017,22.90,VNR,22.90,22.90,22.90,110.00
23/11/2017,23.00,VNR,22.70,23.00,22.70,11700.00
22/11/2017,22.90,VNR,22.90,22.90,22.80,12100.00
21/11/2017,22.90,VNR,22.90,22.90,22.90,2864.00
20/11/2017,23.00,VNR,23.00,23.00,23.00,38700.00
17/11/2017,23.00,VNR,23.00,23.00,23.00,76242.00
