DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,15.45,VNS,16.05,16.15,15.40,173690.00
28/12/2017,16.05,VNS,16.95,16.95,16.00,133310.00
27/12/2017,16.80,VNS,16.00,16.95,16.00,227220.00
26/12/2017,15.85,VNS,14.85,15.85,14.30,383120.00
25/12/2017,14.85,VNS,14.85,14.90,14.10,179890.00
22/12/2017,14.85,VNS,14.65,14.85,14.10,404900.00
21/12/2017,13.90,VNS,13.45,13.90,13.45,502860.00
20/12/2017,13.00,VNS,12.70,13.30,12.55,324560.00
19/12/2017,12.50,VNS,12.45,12.80,12.45,341870.00
18/12/2017,12.50,VNS,12.55,12.70,12.35,116170.00
15/12/2017,12.35,VNS,12.30,12.60,12.00,342000.00
14/12/2017,12.05,VNS,12.45,12.65,12.00,430150.00
13/12/2017,12.40,VNS,13.10,13.20,12.30,207630.00
12/12/2017,12.65,VNS,13.00,13.40,12.65,206510.00
11/12/2017,13.00,VNS,13.50,13.70,13.00,44580.00
08/12/2017,13.45,VNS,13.45,13.80,13.40,98860.00
07/12/2017,13.45,VNS,13.70,13.70,13.30,46000.00
06/12/2017,13.50,VNS,13.60,13.70,13.50,79510.00
05/12/2017,13.70,VNS,14.00,14.00,13.65,111570.00
04/12/2017,14.10,VNS,14.35,14.35,13.80,94430.00
01/12/2017,14.30,VNS,14.60,14.60,14.15,69500.00
30/11/2017,14.85,VNS,14.70,15.00,14.70,276030.00
29/11/2017,14.60,VNS,14.60,14.60,14.40,71930.00
28/11/2017,14.40,VNS,14.60,15.35,14.35,317920.00
27/11/2017,14.35,VNS,14.50,14.60,14.30,47650.00
24/11/2017,14.35,VNS,14.75,14.75,14.10,183700.00
23/11/2017,14.45,VNS,14.70,14.80,14.40,86170.00
22/11/2017,14.45,VNS,14.75,14.90,14.40,42320.00
21/11/2017,14.40,VNS,14.60,14.80,14.35,40700.00
20/11/2017,14.45,VNS,15.00,15.00,14.35,118480.00
17/11/2017,15.00,VNS,15.35,15.40,14.40,43370.00
16/11/2017,15.00,VNS,14.90,15.40,14.90,51990.00
15/11/2017,14.90,VNS,14.45,14.90,14.10,179030.00
14/11/2017,14.05,VNS,13.60,14.80,13.60,34000.00
13/11/2017,14.00,VNS,14.75,14.75,13.70,12550.00
10/11/2017,14.10,VNS,14.85,15.00,14.10,85540.00
09/11/2017,15.10,VNS,15.05,15.20,14.80,57920.00
08/11/2017,15.20,VNS,14.75,15.60,14.30,52260.00
07/11/2017,14.75,VNS,13.80,14.75,13.80,121110.00
06/11/2017,13.80,VNS,13.70,14.45,13.70,220630.00
03/11/2017,13.70,VNS,13.70,14.65,13.20,187050.00
02/11/2017,13.70,VNS,14.30,14.30,13.70,1056210.00
01/11/2017,14.70,VNS,15.00,15.00,14.00,161810.00
31/10/2017,15.00,VNS,15.60,16.00,14.70,200570.00
30/10/2017,15.00,VNS,15.10,16.30,14.90,287020.00
27/10/2017,15.25,VNS,15.25,15.65,15.20,107920.00
26/10/2017,15.70,VNS,16.10,16.25,15.50,126280.00
25/10/2017,15.70,VNS,16.30,17.40,15.45,288540.00
24/10/2017,16.30,VNS,17.00,17.70,16.30,387130.00
23/10/2017,17.50,VNS,17.35,17.80,17.00,950.00
20/10/2017,17.50,VNS,17.20,17.50,17.00,13660.00
19/10/2017,17.55,VNS,17.20,17.65,17.20,11680.00
18/10/2017,17.60,VNS,17.55,17.70,17.30,3920.00
17/10/2017,17.55,VNS,17.20,17.70,17.20,7030.00
16/10/2017,17.70,VNS,18.00,18.00,17.40,750.00
13/10/2017,17.70,VNS,17.90,17.95,17.50,1660.00
12/10/2017,17.70,VNS,17.75,18.00,17.30,14110.00
11/10/2017,17.40,VNS,18.00,18.00,17.40,8100.00
10/10/2017,18.45,VNS,17.90,18.45,17.00,16690.00
09/10/2017,17.80,VNS,18.15,18.15,17.30,5250.00
06/10/2017,18.00,VNS,18.00,18.00,17.70,1520.00
05/10/2017,18.10,VNS,18.00,18.80,17.80,46930.00
04/10/2017,18.20,VNS,17.80,18.20,17.60,7050.00
03/10/2017,18.25,VNS,18.00,18.40,17.80,5400.00
02/10/2017,18.20,VNS,18.70,19.00,17.70,67690.00
29/09/2017,18.80,VNS,17.90,18.80,17.90,2400.00
28/09/2017,18.80,VNS,18.10,19.00,17.20,70130.00
27/09/2017,18.10,VNS,18.05,18.80,18.00,38860.00
26/09/2017,19.00,VNS,17.55,19.25,17.55,53010.00
25/09/2017,18.00,VNS,17.10,18.00,17.00,83820.00
22/09/2017,16.90,VNS,17.00,17.20,16.90,215590.00
21/09/2017,16.85,VNS,17.00,17.05,16.85,9510.00
20/09/2017,17.05,VNS,17.25,17.25,17.00,5260.00
19/09/2017,16.95,VNS,16.60,16.95,16.60,6640.00
18/09/2017,16.90,VNS,16.65,17.00,16.50,91580.00
15/09/2017,17.00,VNS,17.05,17.30,16.80,37340.00
14/09/2017,17.05,VNS,17.05,17.30,16.90,22020.00
13/09/2017,17.05,VNS,16.90,17.05,16.90,34760.00
12/09/2017,16.90,VNS,17.05,17.05,16.90,12800.00
11/09/2017,17.05,VNS,17.25,17.50,16.95,29310.00
08/09/2017,17.50,VNS,17.70,17.80,17.50,67510.00
07/09/2017,17.75,VNS,18.10,18.10,17.70,7220.00
06/09/2017,17.80,VNS,18.00,18.00,17.80,2430.00
05/09/2017,18.10,VNS,18.30,18.30,17.00,167960.00
01/09/2017,18.20,VNS,18.20,18.30,17.80,22540.00
31/08/2017,18.30,VNS,18.10,18.30,17.70,34130.00
30/08/2017,18.05,VNS,18.00,18.30,17.90,20620.00
29/08/2017,17.90,VNS,17.85,18.10,17.80,29790.00
28/08/2017,18.10,VNS,17.50,18.30,17.50,5390.00
25/08/2017,18.10,VNS,17.85,18.30,17.30,5730.00
24/08/2017,17.50,VNS,18.10,18.10,17.50,10340.00
23/08/2017,18.10,VNS,18.45,18.45,17.70,9050.00
22/08/2017,18.45,VNS,18.10,18.45,18.10,950.00
21/08/2017,18.10,VNS,18.25,18.50,17.05,341300.00
18/08/2017,18.25,VNS,18.30,18.30,18.25,84290.00
17/08/2017,18.25,VNS,18.30,18.60,18.25,23730.00
16/08/2017,18.30,VNS,18.75,19.00,18.20,128580.00
15/08/2017,18.30,VNS,18.90,18.90,18.30,140780.00
14/08/2017,18.35,VNS,18.75,18.75,18.35,63840.00
11/08/2017,18.50,VNS,18.70,18.90,18.40,47990.00
10/08/2017,18.40,VNS,18.90,18.90,18.20,12930.00
09/08/2017,18.90,VNS,18.90,18.90,18.60,34370.00
08/08/2017,18.90,VNS,19.00,19.00,18.50,67160.00
07/08/2017,18.80,VNS,19.10,20.00,18.70,34710.00
04/08/2017,18.80,VNS,18.70,19.00,18.50,10660.00
03/08/2017,18.90,VNS,18.40,20.00,18.40,116570.00
02/08/2017,18.75,VNS,18.70,19.00,18.70,150840.00
01/08/2017,18.80,VNS,18.70,19.00,18.50,14420.00
31/07/2017,18.85,VNS,19.10,19.40,18.10,17410.00
28/07/2017,18.85,VNS,19.00,19.00,18.85,37750.00
27/07/2017,18.85,VNS,19.25,19.25,18.30,96150.00
26/07/2017,19.25,VNS,18.80,19.70,18.80,5820.00
25/07/2017,19.25,VNS,18.00,19.50,18.00,15240.00
24/07/2017,18.70,VNS,18.70,19.55,18.55,6890.00
21/07/2017,19.60,VNS,19.80,20.90,19.60,54700.00
20/07/2017,19.80,VNS,21.65,21.65,19.75,54600.00
19/07/2017,21.00,VNS,21.00,21.00,20.00,313460.00
18/07/2017,21.50,VNS,21.00,21.50,21.00,27250.00
17/07/2017,21.50,VNS,21.10,21.60,21.10,36060.00
14/07/2017,21.60,VNS,21.50,21.60,21.00,30750.00
13/07/2017,21.60,VNS,21.20,21.70,21.00,28790.00
12/07/2017,21.25,VNS,21.00,21.65,20.60,11280.00
11/07/2017,21.70,VNS,21.40,21.70,21.00,30830.00
10/07/2017,21.75,VNS,21.50,21.75,20.95,23630.00
07/07/2017,21.80,VNS,21.85,21.85,21.10,56180.00
06/07/2017,21.80,VNS,21.70,21.80,21.60,6170.00
05/07/2017,21.70,VNS,21.90,21.90,21.20,10110.00
04/07/2017,21.70,VNS,21.70,21.70,21.00,12930.00
03/07/2017,21.80,VNS,21.90,21.90,21.65,14700.00
30/06/2017,21.90,VNS,21.90,21.95,21.55,8270.00
29/06/2017,21.90,VNS,22.00,22.00,21.45,5060.00
28/06/2017,21.55,VNS,22.00,22.35,21.35,14960.00
27/06/2017,21.30,VNS,21.90,22.05,21.30,25630.00
26/06/2017,22.55,VNS,22.60,22.80,21.20,28380.00
23/06/2017,22.60,VNS,23.70,23.70,22.60,41220.00
22/06/2017,23.20,VNS,23.50,23.60,22.80,37060.00
21/06/2017,23.80,VNS,24.00,24.00,23.10,11050.00
20/06/2017,24.00,VNS,24.95,24.95,23.90,48390.00
19/06/2017,24.00,VNS,22.90,24.05,22.90,164830.00
16/06/2017,22.75,VNS,21.90,22.80,21.90,61550.00
15/06/2017,21.90,VNS,21.80,21.90,21.75,49320.00
14/06/2017,21.85,VNS,21.90,21.90,21.70,21410.00
13/06/2017,21.80,VNS,21.85,21.85,21.65,43240.00
12/06/2017,21.80,VNS,21.80,21.80,21.80,66050.00
09/06/2017,21.80,VNS,21.80,21.85,21.55,27420.00
08/06/2017,21.80,VNS,21.50,21.90,21.50,26790.00
07/06/2017,21.95,VNS,21.90,21.95,21.60,17550.00
06/06/2017,21.90,VNS,21.70,21.90,21.30,25700.00
05/06/2017,21.70,VNS,21.10,21.95,21.10,10980.00
02/06/2017,21.50,VNS,21.10,21.65,20.80,34960.00
01/06/2017,21.10,VNS,21.90,21.90,20.80,5630.00
31/05/2017,21.95,VNS,20.50,21.95,20.50,97140.00
30/05/2017,20.80,VNS,20.95,20.95,20.40,42460.00
29/05/2017,20.90,VNS,21.30,21.30,20.65,94280.00
26/05/2017,21.80,VNS,21.95,21.95,21.30,44720.00
25/05/2017,21.40,VNS,21.25,21.40,21.15,77450.00
24/05/2017,21.20,VNS,21.15,21.25,21.05,31030.00
23/05/2017,21.15,VNS,21.40,21.40,21.00,47150.00
22/05/2017,21.25,VNS,21.00,21.40,20.80,54870.00
19/05/2017,21.00,VNS,21.35,21.35,20.65,182730.00
18/05/2017,20.95,VNS,21.10,21.50,20.90,55010.00
17/05/2017,21.25,VNS,21.55,21.90,21.25,35850.00
16/05/2017,21.65,VNS,22.40,22.40,21.65,53390.00
15/05/2017,22.20,VNS,22.30,22.35,21.75,39910.00
12/05/2017,22.35,VNS,21.90,22.50,21.90,131770.00
11/05/2017,21.70,VNS,21.15,22.00,21.10,57770.00
10/05/2017,21.20,VNS,21.20,21.30,21.10,72450.00
09/05/2017,21.35,VNS,21.00,21.50,20.95,18590.00
08/05/2017,21.50,VNS,21.70,21.70,20.70,22750.00
05/05/2017,21.00,VNS,21.05,21.30,20.80,37380.00
04/05/2017,21.30,VNS,21.80,21.80,20.80,51280.00
03/05/2017,21.80,VNS,22.00,22.25,21.50,18270.00
28/04/2017,22.45,VNS,22.55,23.00,21.60,64170.00
27/04/2017,22.55,VNS,21.00,22.55,20.80,427330.00
26/04/2017,21.10,VNS,20.80,21.75,20.80,100950.00
25/04/2017,21.90,VNS,22.50,22.90,21.05,98990.00
24/04/2017,22.60,VNS,22.10,22.95,22.10,54550.00
21/04/2017,22.10,VNS,22.25,23.50,21.70,93610.00
20/04/2017,22.25,VNS,23.90,24.50,22.25,326470.00
19/04/2017,23.90,VNS,24.60,24.60,23.20,98300.00
