DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,43.00,VSC,41.70,44.00,41.50,215710.00
28/12/2017,41.60,VSC,42.00,42.00,40.90,151210.00
27/12/2017,42.00,VSC,42.60,42.60,40.50,239310.00
26/12/2017,42.60,VSC,43.90,44.00,42.50,241480.00
25/12/2017,44.10,VSC,44.60,45.00,43.85,167650.00
22/12/2017,44.60,VSC,44.65,44.70,44.40,157990.00
21/12/2017,44.55,VSC,46.00,46.00,44.50,268770.00
20/12/2017,51.30,VSC,51.00,51.70,51.00,516040.00
19/12/2017,51.00,VSC,51.50,51.70,50.80,341770.00
18/12/2017,51.50,VSC,51.80,51.80,51.30,327540.00
15/12/2017,51.00,VSC,51.30,51.30,50.80,271460.00
14/12/2017,50.20,VSC,50.20,50.40,50.10,203270.00
13/12/2017,50.00,VSC,50.00,50.80,49.80,243110.00
12/12/2017,50.00,VSC,51.30,52.30,49.80,358660.00
11/12/2017,51.30,VSC,52.30,52.90,51.30,354340.00
08/12/2017,51.40,VSC,52.00,52.50,51.40,164890.00
07/12/2017,52.00,VSC,52.80,52.90,51.70,75150.00
06/12/2017,52.00,VSC,53.20,53.20,52.00,289520.00
05/12/2017,53.20,VSC,53.50,53.50,52.50,230680.00
04/12/2017,53.40,VSC,52.50,53.50,52.20,161130.00
01/12/2017,52.20,VSC,51.20,52.40,50.30,369510.00
30/11/2017,51.10,VSC,51.00,51.50,51.00,255950.00
29/11/2017,51.00,VSC,51.00,51.10,50.60,170300.00
28/11/2017,51.00,VSC,51.00,51.80,50.80,503860.00
27/11/2017,50.60,VSC,49.55,50.80,49.55,446320.00
24/11/2017,49.30,VSC,49.50,49.50,48.60,94380.00
23/11/2017,49.15,VSC,48.30,49.50,48.30,83440.00
22/11/2017,48.70,VSC,48.90,48.95,48.10,61830.00
21/11/2017,48.95,VSC,49.30,49.40,48.50,123320.00
20/11/2017,49.30,VSC,49.10,50.00,49.00,216550.00
17/11/2017,49.00,VSC,48.90,49.90,48.55,191920.00
16/11/2017,48.50,VSC,47.35,49.00,47.30,292330.00
15/11/2017,47.35,VSC,47.60,48.00,47.00,113660.00
14/11/2017,48.00,VSC,48.15,48.45,47.90,77690.00
13/11/2017,48.25,VSC,48.00,48.80,47.50,183770.00
10/11/2017,48.05,VSC,47.90,48.70,47.90,184730.00
09/11/2017,47.90,VSC,48.25,48.50,47.90,26740.00
08/11/2017,48.30,VSC,48.20,48.30,47.70,102140.00
07/11/2017,49.05,VSC,49.60,49.70,49.00,47700.00
06/11/2017,49.80,VSC,50.90,50.90,49.25,257630.00
03/11/2017,49.00,VSC,46.30,49.00,46.30,308950.00
02/11/2017,46.10,VSC,48.40,48.40,46.00,158710.00
01/11/2017,47.70,VSC,50.00,50.40,47.00,67030.00
31/10/2017,49.80,VSC,51.00,51.00,49.00,74200.00
30/10/2017,50.20,VSC,51.10,51.10,49.50,72820.00
27/10/2017,50.20,VSC,50.50,51.10,50.00,34590.00
26/10/2017,50.50,VSC,51.10,51.80,50.00,85850.00
25/10/2017,51.10,VSC,52.90,52.90,50.80,94550.00
24/10/2017,52.30,VSC,50.90,52.30,50.10,134230.00
23/10/2017,50.90,VSC,51.00,51.70,50.40,221550.00
20/10/2017,51.00,VSC,51.70,52.70,50.90,303980.00
19/10/2017,51.70,VSC,52.80,53.20,51.70,259660.00
18/10/2017,53.00,VSC,53.80,54.30,52.80,281660.00
17/10/2017,53.80,VSC,54.40,55.60,53.80,390290.00
16/10/2017,54.50,VSC,54.50,54.50,53.80,239530.00
13/10/2017,54.70,VSC,54.30,55.00,54.30,92740.00
12/10/2017,54.30,VSC,54.30,54.90,54.00,282660.00
11/10/2017,54.30,VSC,54.30,54.80,54.10,227690.00
10/10/2017,54.30,VSC,54.70,54.80,54.10,383160.00
09/10/2017,54.60,VSC,55.00,55.00,54.00,139430.00
06/10/2017,55.00,VSC,54.50,55.00,54.30,82960.00
05/10/2017,54.50,VSC,54.50,55.70,54.00,41170.00
04/10/2017,54.50,VSC,55.80,55.80,54.20,201340.00
03/10/2017,55.00,VSC,55.20,56.00,54.90,57580.00
02/10/2017,56.00,VSC,56.00,56.90,55.00,69140.00
29/09/2017,56.40,VSC,55.30,56.70,55.10,109220.00
28/09/2017,55.30,VSC,55.80,56.00,55.10,58860.00
27/09/2017,55.10,VSC,55.00,55.10,54.00,156020.00
26/09/2017,55.00,VSC,57.00,57.00,54.80,452480.00
25/09/2017,56.30,VSC,57.00,57.50,56.30,211250.00
