DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/12/2017,9.00,VTC,9.00,9.00,9.00,231.00
28/12/2017,8.20,VTC,8.80,8.80,8.20,5135.00
27/12/2017,8.80,VTC,9.50,9.50,8.80,3300.00
26/12/2017,9.70,VTC,9.70,9.70,9.70,5506.00
25/12/2017,9.70,VTC,9.00,9.80,9.00,8603.00
22/12/2017,9.00,VTC,8.70,9.00,8.70,7189.00
21/12/2017,8.70,VTC,8.70,8.70,8.70,20.00
20/12/2017,8.70,VTC,8.70,8.70,8.70,100.00
19/12/2017,8.20,VTC,9.00,9.30,8.20,4100.00
18/12/2017,8.90,VTC,8.50,8.90,8.50,2200.00
15/12/2017,8.80,VTC,8.80,9.00,8.30,47258.00
14/12/2017,8.80,VTC,8.50,8.90,8.50,1200.00
13/12/2017,8.50,VTC,8.00,8.50,7.70,700.00
12/12/2017,8.40,VTC,8.40,8.40,8.40,380.00
11/12/2017,8.80,VTC,8.80,8.80,8.80,10.00
08/12/2017,8.80,VTC,8.80,8.80,8.80,52.00
07/12/2017,8.80,VTC,8.80,8.80,8.80,104.00
06/12/2017,8.40,VTC,8.50,8.50,8.40,900.00
05/12/2017,9.30,VTC,9.30,9.30,9.30,0.00
04/12/2017,9.30,VTC,8.30,9.30,8.30,284.00
01/12/2017,8.90,VTC,8.60,8.90,8.60,1200.00
30/11/2017,8.50,VTC,9.40,9.40,8.50,6400.00
29/11/2017,9.20,VTC,9.20,9.20,9.20,0.00
28/11/2017,9.20,VTC,9.20,9.20,9.20,30.00
27/11/2017,9.20,VTC,9.00,9.20,9.00,200.00
24/11/2017,8.90,VTC,9.30,9.30,8.60,12636.00
23/11/2017,9.50,VTC,9.50,9.50,9.50,10000.00
22/11/2017,9.90,VTC,9.70,9.90,9.70,200.00
21/11/2017,9.40,VTC,9.40,9.40,9.40,80.00
20/11/2017,9.40,VTC,9.40,9.40,9.40,0.00
17/11/2017,9.40,VTC,8.90,9.40,8.80,1300.00
16/11/2017,8.60,VTC,8.30,8.60,8.30,200.00
15/11/2017,8.70,VTC,8.70,8.70,8.70,100.00
14/11/2017,9.00,VTC,9.00,9.00,9.00,4.00
13/11/2017,9.00,VTC,8.50,9.00,8.50,640.00
10/11/2017,9.00,VTC,9.00,9.00,9.00,10003.00
09/11/2017,8.70,VTC,9.00,9.00,8.70,1100.00
08/11/2017,9.00,VTC,8.50,9.00,8.50,1120.00
07/11/2017,9.00,VTC,8.80,9.10,8.80,1200.00
06/11/2017,9.70,VTC,9.70,9.70,9.70,0.00
03/11/2017,9.70,VTC,9.70,9.70,9.70,100.00
02/11/2017,9.00,VTC,9.60,9.70,8.10,31706.00
01/11/2017,9.00,VTC,8.70,9.00,8.70,1700.00
31/10/2017,9.50,VTC,9.50,9.50,9.50,199.00
30/10/2017,9.70,VTC,9.70,9.70,9.70,0.00
27/10/2017,9.70,VTC,9.70,9.70,9.70,4.00
26/10/2017,9.70,VTC,9.70,9.70,9.70,94.00
25/10/2017,9.70,VTC,9.70,9.70,9.70,0.00
24/10/2017,9.70,VTC,9.70,9.70,9.70,0.00
23/10/2017,9.70,VTC,9.00,9.70,9.00,728.00
20/10/2017,10.00,VTC,10.00,10.00,10.00,0.00
19/10/2017,10.00,VTC,10.00,10.00,10.00,0.00
18/10/2017,10.00,VTC,10.00,10.00,10.00,0.00
17/10/2017,10.00,VTC,10.00,10.00,10.00,12.00
16/10/2017,10.00,VTC,10.00,10.00,10.00,0.00
13/10/2017,10.00,VTC,10.00,10.00,10.00,1600.00
12/10/2017,10.00,VTC,10.00,10.00,10.00,0.00
11/10/2017,10.00,VTC,10.00,10.00,10.00,100.00
10/10/2017,10.20,VTC,9.80,10.20,9.80,1200.00
09/10/2017,10.30,VTC,10.30,10.30,10.30,0.00
06/10/2017,10.30,VTC,10.30,10.30,10.30,0.00
05/10/2017,10.30,VTC,10.30,10.30,10.30,0.00
04/10/2017,10.30,VTC,9.90,10.30,9.90,200.00
03/10/2017,9.60,VTC,9.60,9.60,9.60,100.00
02/10/2017,9.60,VTC,9.60,9.60,9.60,0.00
29/09/2017,9.60,VTC,9.00,9.60,9.00,16000.00
28/09/2017,9.60,VTC,9.50,10.20,9.50,1400.00
27/09/2017,9.50,VTC,8.90,9.60,8.90,2300.00
26/09/2017,8.90,VTC,8.10,8.90,8.10,10600.00
25/09/2017,8.30,VTC,8.30,8.30,8.30,720.00
22/09/2017,8.50,VTC,8.50,8.50,8.50,23500.00
21/09/2017,9.40,VTC,9.40,9.40,9.40,0.00
20/09/2017,9.40,VTC,9.40,9.40,9.40,100.00
19/09/2017,9.00,VTC,9.00,9.00,9.00,276.00
18/09/2017,9.70,VTC,9.70,9.70,9.70,100.00
15/09/2017,9.30,VTC,9.30,9.30,9.30,100.00
14/09/2017,9.40,VTC,9.40,9.40,9.40,0.00
13/09/2017,9.40,VTC,9.40,9.40,9.40,202.00
12/09/2017,9.90,VTC,9.90,9.90,9.90,0.00
11/09/2017,9.90,VTC,9.90,9.90,9.90,0.00
08/09/2017,9.90,VTC,9.70,9.90,8.70,384.00
07/09/2017,9.30,VTC,9.30,9.30,9.30,12.00
06/09/2017,9.30,VTC,9.30,9.30,9.30,737.00
05/09/2017,9.50,VTC,9.50,9.50,9.50,1500.00
01/09/2017,10.50,VTC,10.20,10.50,10.20,200.00
31/08/2017,10.00,VTC,9.80,10.40,9.80,801.00
30/08/2017,9.70,VTC,9.60,9.80,9.60,462.00
29/08/2017,9.20,VTC,9.20,9.20,9.20,5600.00
28/08/2017,10.20,VTC,10.20,10.20,10.20,0.00
25/08/2017,10.20,VTC,10.20,10.20,10.20,0.00
24/08/2017,10.20,VTC,9.70,10.20,9.70,300.00
23/08/2017,9.50,VTC,9.10,9.50,9.10,2277.00
22/08/2017,10.10,VTC,10.10,10.10,10.10,0.00
21/08/2017,10.10,VTC,10.10,10.10,10.10,268.00
18/08/2017,10.60,VTC,10.90,11.00,10.60,320.00
17/08/2017,10.70,VTC,10.70,10.70,10.70,0.00
16/08/2017,10.70,VTC,10.70,10.70,10.70,100.00
15/08/2017,10.40,VTC,10.40,10.40,10.40,200.00
14/08/2017,10.90,VTC,10.50,10.90,10.50,358.00
11/08/2017,10.20,VTC,9.90,10.20,9.90,200.00
10/08/2017,9.60,VTC,9.10,9.60,9.10,4600.00
09/08/2017,9.20,VTC,9.20,9.20,9.20,1900.00
08/08/2017,9.70,VTC,10.00,10.50,9.30,720.00
07/08/2017,9.70,VTC,9.50,9.70,9.00,10706.00
04/08/2017,9.70,VTC,9.70,9.70,9.70,50.00
03/08/2017,9.70,VTC,9.90,9.90,9.30,1803.00
02/08/2017,9.30,VTC,9.30,9.30,9.30,3000.00
01/08/2017,10.00,VTC,10.00,10.00,10.00,0.00
31/07/2017,10.00,VTC,10.00,10.00,10.00,100.00
28/07/2017,9.90,VTC,9.00,9.90,9.00,2800.00
27/07/2017,10.00,VTC,9.70,10.00,9.70,600.00
26/07/2017,10.00,VTC,10.50,10.50,9.50,4800.00
25/07/2017,10.00,VTC,11.50,11.50,10.00,2301.00
24/07/2017,11.10,VTC,11.10,11.10,11.10,0.00
21/07/2017,11.10,VTC,11.10,11.10,11.10,0.00
20/07/2017,11.10,VTC,10.50,11.10,10.50,366.00
19/07/2017,10.20,VTC,10.20,10.20,10.20,0.00
